frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,139.6,11,529,793,,,,,,,,,,,,,,,,34,92,1033,,,,,,
1,139.6,12,529,793,,,,,,,,,,,,,,,,31,170,1034,,,,,,
2,250.4,12,529,794,,,,,,,,,,,,,,,,22,706,784,,,,,,
3,274.1,12,529,794,,,,,,,,,,,,,,,,39,128,1029,,,,,,
4,306.5,13,528,795,,,,,,,,,,,,,,,,20,1054,105,,,,,,
5,326.2,10,957,245,,,,,,,9,529,794,,,,,,,,,,,,,,,
6,345.5,10,957,244,,,,,,,9,529,793,,,,,,,,,,,,,,,
7,356.3,10,957,243,,,,,,,9,529,794,,,,,,,,,,,,,,,
8,366.5,10,957,244,,,,,,,9,529,794,,,,,,,,,,,,,,,
9,382.4,10,957,244,,,,,,,9,529,794,,,,,,,,,,,,,,,
10,396.8,10,957,243,,,,,,,9,529,794,,,,,,,,,,,,,,,
11,407.2,10,957,244,,,,,,,9,529,794,,,,,,,,,,,,,,,
12,415.7,10,957,244,,,,,,,9,529,794,,,,,,,,,,,,,,,
13,478.5,10,957,245,,,,,,,9,529,794,,,,,,,,,,,,,,,
14,510.1,10,957,244,,,,,,,9,529,794,,,,,,,,,,,,,,,
15,551.5,10,957,244,,,,,,,10,529,794,,,,,,,,,,,,,,,
16,590.3,10,956,244,,,,,,,10,529,794,,,,,,,,,,,,,,,
17,610.3,10,957,244,,,,,,,9,529,794,,,,,,,,,,,,,,,
18,646.8,10,957,245,,,,,,,9,528,795,,,,,,,,,,,,,,,
19,678.9,10,957,245,,,,,,,9,528,795,,,,,,,,,,,,,,,
20,710.3,10,957,245,,,,,,,10,528,794,,,,,,,,,,,,,,,
21,746.2,10,957,245,,,,,,,10,528,795,,,,,,,,,,,,,,,
22,779.8,10,957,245,,,,,,,9,528,795,,,,,,,,,,,,,,,
23,810.6,10,957,244,,,,,,,10,529,794,,,,,,,,,,,,,,,
24,846.0,10,956,244,,,,,,,9,528,794,,,,,,,,,,,,,,,
25,878.1,10,957,245,,,,,,,9,528,795,,,,,,,,,,,,,,,
26,910.3,10,957,245,,,,,,,9,528,794,,,,,,,,,,,,,,,
27,942.4,10,957,245,,,,,,,10,528,795,,,,,,,,,,,,,,,
28,977.9,10,957,246,,,,,,,10,528,795,,,,,,,,,,,,,,,
29,1011.6,10,957,246,,,,,,,10,528,795,,,,,,,,,,,,,,,
30,1042.4,10,957,245,,,,,,,9,528,794,,,,,,,,,,,,,,,
31,1078.3,10,957,245,,,,,,,9,528,794,,,,,,,,,,,,,,,
32,1112.8,10,957,245,,,,,,,10,528,794,,,,,,,,,,,,,,,
33,1145.9,10,957,244,,,,,,,9,528,794,,,,,,,,,,,,,,,
34,1178.0,10,956,245,,,,,,,9,528,794,,,,,,,,,,,,,,,
35,1209.7,10,956,245,,,,,,,9,528,794,,,,,,,,,,,,,,,
36,1242.0,10,956,245,,,,,,,9,528,795,,,,,,,,,,,,,,,
37,1277.9,10,957,245,,,,,,,10,528,795,,,,,,,,,,,,,,,
38,1313.0,10,957,245,,,,,,,10,528,795,,,,,,,,,,,,,,,
39,1342.8,10,957,244,,,,,,,9,528,794,,,,,,,,,,,,,,,
40,1377.9,10,956,244,,,,,,,9,528,794,,,,,,,,,,,,,,,
41,1410.3,10,957,244,,,,,,,9,528,794,,,,,,,,,,,,,,,
42,1442.3,10,956,244,,,,,,,9,528,794,,,,,,,,,,,,,,,
43,1477.9,10,957,245,,,,,,,10,528,795,,,,,,,,,,,,,,,
44,1510.1,10,957,245,,,,,,,9,528,795,,,,,,,,,,,,,,,
45,1542.0,10,957,245,,,,,,,9,528,795,,,,,,,,,,,,,,,
46,1578.0,10,957,245,,,,,,,9,528,794,,,,,,,,,,,,,,,
47,1610.1,10,956,245,,,,,,,9,528,794,,,,,,,,,,,,,,,
48,1642.2,10,957,245,,,,,,,9,528,795,,,,,,,,,,,,,,,
49,1678.3,10,956,244,,,,,,,9,528,794,,,,,,,,,,,,,,,
50,1710.1,10,957,245,,,,,,,9,529,794,,,,,,,,,,,,,,,
51,1742.1,10,957,245,,,,,,,9,528,795,,,,,,,,,,,,,,,
52,1778.0,10,957,245,,,,,,,9,528,795,,,,,,,,,,,,,,,
53,1809.9,10,957,246,,,,,,,9,528,795,,,,,,,,,,,,,,,
54,1843.1,10,957,246,,,,,,,9,528,795,,,,,,,,,,,,,,,
55,1878.1,10,956,246,,,,,,,9,528,795,,,,,,,,,,,,,,,
56,1912.6,10,956,246,,,,,,,9,528,795,,,,,,,,,,,,,,,
57,1942.4,10,956,246,,,,,,,9,527,795,,,,,,,,,,,,,,,
58,1977.9,10,956,246,,,,,,,10,527,796,,,,,,,,,,,,,,,
59,2012.3,10,956,246,,,,,,,9,528,796,,,,,,,,,,,,,,,
60,2042.1,10,956,247,,,,,,,9,527,796,,,,,,,,,,,,,,,
61,2078.8,10,956,247,,,,,,,9,527,796,,,,,,,,,,,,,,,
62,2110.1,10,956,247,,,,,,,9,527,796,,,,,,,,,,,,,,,
63,2142.2,10,955,247,,,,,,,9,526,796,,,,,,,,,,,,,,,
64,2177.9,10,955,249,,,,,,,9,525,796,,,,,,,,,,,,,,,
65,2210.0,10,955,249,,,,,,,9,524,796,,,,,,,,,,,,,,,
66,2242.0,10,954,250,,,,,,,9,522,797,,,,,,,,,,,,,,,
67,2280.0,10,954,251,,,,,,,9,521,797,,,,,,,,,,,,,,,
68,2310.2,10,954,252,,,,,,,9,520,798,,,,,,,,,,,,,,,
69,2345.9,10,953,253,,,,,,,9,519,798,,,,,,,,,,,,,,,
70,2379.5,10,953,254,,,,,,,10,519,798,,,,,,,,,,,,,,,
71,2410.0,10,953,254,,,,,,,9,519,798,,,,,,,,,,,,,,,
72,2442.2,10,953,254,,,,,,,9,519,797,,,,,,,,,,,,,,,
73,2478.0,10,953,253,,,,,,,9,518,797,,,,,,,,,,,,,,,
74,2511.2,10,953,253,,,,,,,9,518,798,,,,,,,,,,,,,,,
75,2542.2,10,953,254,,,,,,,9,518,798,,,,,,,,,,,,,,,
76,2577.9,10,954,254,,,,,,,9,517,797,,,,,,,,,,,,,,,
77,2610.1,10,954,255,,,,,,,9,517,798,,,,,,,,,,,,,,,
78,2642.3,10,954,255,,,,,,,9,517,797,,,,,,,,,,,,,,,
79,2677.8,10,954,255,,,,,,,9,517,797,,,,,,,,,,,,,,,
80,2709.9,10,953,253,,,,,,,9,516,795,,,,,,,,,,,,,,,
81,2744.6,10,951,250,,,,,,,9,515,791,,,,,,,,,,,,,,,
82,2778.8,10,949,246,,,,,,,9,513,787,,,,,,,,,,,,,,,
83,2814.6,10,946,241,,,,,,,9,511,783,,,,,,,,,,,,,,,
84,2844.1,10,944,237,,,,,,,9,506,778,,,,,,,,,,,,,,,
85,2878.1,10,940,232,,,,,,,9,503,773,,,,,,,,,,,,,,,
86,2910.1,10,936,226,,,,,,,9,497,766,,,,,,,,,,,,,,,
87,2942.3,10,932,222,,,,,,,8,490,759,,,,,,,,,,,,,,,
88,2978.1,10,928,216,,,,,,,8,484,751,,,,,,,,,,,,,,,
89,3012.8,10,923,209,,,,,,,8,476,743,,,,,,,,,,,,,,,
90,3042.4,10,917,202,,,,,,,7,468,734,,,,,,,,,,,,,,,
91,3078.0,10,912,195,,,,,,,8,461,725,,,,,,,,,,,,,,,
92,3111.3,10,905,189,,,,,,,7,451,717,,,,,,,,,,,,,,,
93,3142.1,10,899,183,,,,,,,8,442,708,,,,,,,,,,,,,,,
94,3178.2,10,891,177,,,,,,,7,431,699,,,,,,,,,,,,,,,
95,3210.4,10,883,171,,,,,,,7,419,689,,,,,,,,,,,,,,,
96,3242.2,10,874,164,,,,,,,9,408,681,,,,,,,,,,,,,,,
97,3278.0,10,865,157,,,,,,,8,395,671,,,,,,,,,,,,,,,
98,3310.1,10,855,150,,,,,,,8,383,662,,,,,,,,,,,,,,,
99,3377.7,10,832,138,,,,,,,9,355,646,,,,,,,,,,,,,,,
100,3410.0,10,819,133,,,,,,,8,341,641,,,,,,,,,,,,,,,
101,3442.2,10,806,130,,,,,,,9,325,636,,,,,,,,,,,,,,,
102,3477.9,10,792,128,,,,,,,9,309,632,,,,,,,,,,,,,,,
103,3510.1,10,778,130,,,,,,,9,294,633,,,,,,,,,,,,,,,
104,3542.2,10,764,133,,,,,,,9,280,636,,,,,,,,,,,,,,,
105,3578.4,10,750,137,,,,,,,9,269,643,,,,,,,,,,,,,,,
106,3611.3,10,736,144,,,,,,,9,258,651,,,,,,,,,,,,,,,
