frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,139.9,21,402,155,30.657669518356013,11.820743222251696,,,,,,,,,,,,,,,,,,,,,,,54,996,570,75.95780806040445,43.46982991408689,,,,,,,,,,,,,
1,139.9,41,391,172,29.818778063873633,13.117211833724463,,,,,,,,,,,,,,,,,,,,,,,56,998,570,,,,,,,,,,,,,,,
2,259.4,46,394,173,30.047566642368828,13.193474693222862,,,,,,,,,,,,,,,,,,,,,,,56,1001,569,,,,,,,,,,,,,,,
3,280.4,21,388,154,29.589989485378442,11.744480362753299,-77.55324317568473,585.5747510336786,-995.7878581280517,8343.310280237612,,,,,,,,,,,,,,,,,,,30,254,108,19.370766312593105,8.236388825826989,,,,,,,,,,,,,
4,297.8,14,308,768,23.488960725506598,58.5698760947697,-8.929545356955591,71.93013227744125,394.65435764161975,-2734.9860181536615,14,338,561,25.77684651045854,42.7834641786013,,,,,13,931,749,71.00072219300858,57.12088176430014,,,,,,,,,,,,,,10,25,393,1.906571487459951,29.971303782870432,,,,
5,329.0,13,308,768,23.488960725506598,58.5698760947697,-38.1284303151804,263.79553532014353,1612.1957849970568,-11154.145256665686,14,339,562,25.853109369956936,42.8597270380997,,,,,13,932,748,71.07698505250697,57.04461890480174,,,,,,,,,,,,,,10,25,393,1.906571487459951,29.971303782870432,,,,
6,337.3,14,309,768,23.565223585004997,58.5698760947697,-49.25966807426386,382.85362275440514,1990.289619162176,-15468.833242602226,14,338,561,25.77684651045854,42.7834641786013,,,,,13,932,748,71.07698505250697,57.04461890480174,,,,,,,,,,,,,,10,25,393,1.906571487459951,29.971303782870432,,,,
7,350.4,14,309,768,23.565223585004997,58.5698760947697,0.7533997787139836,0.0,-26.481538794867596,0.0,14,338,562,25.77684651045854,42.8597270380997,0.0,0.10956794851989107,0.0,-50.96183652087874,13,932,748,71.07698505250697,57.04461890480174,0.7533997787138431,-0.10956794851989107,-26.48153879486266,50.96183652087874,,,,,,,,,,10,25,393,1.906571487459951,29.971303782870432,0.0,0.0,0.0,0.0
8,376.3,14,308,768,23.488960725506598,58.5698760947697,0.4743987551322092,0.0,20.059143980220256,0.0,14,338,561,25.77684651045854,42.7834641786013,-0.46895140408724123,-0.9433501592194723,48.34550557600428,28.286361595786275,14,932,748,71.07698505250697,57.04461890480174,0.4743987551322092,0.0,20.059143980220256,0.0,,,,,,,,,,10,25,393,1.906571487459951,29.971303782870432,0.0,0.0,0.0,0.0
9,386.8,14,309,768,23.565223585004997,58.5698760947697,-0.31024755173686885,0.0,-12.535254615631064,0.0,14,338,561,25.77684651045854,42.7834641786013,0.0,0.31024755173686885,0.0,12.535254615631064,14,932,748,71.07698505250697,57.04461890480174,0.6204951034737377,-0.31024755173686885,25.07050923126213,-12.535254615631064,,,,,,,,,,10,25,393,1.906571487459951,29.971303782870432,0.0,0.0,0.0,0.0
10,407.3,13,309,768,23.565223585004997,58.5698760947697,0.0,0.0,0.0,0.0,14,338,561,25.77684651045854,42.7834641786013,0.16603101434960627,-0.9443312979113664,5.835888026348195,13.917926277249324,14,932,749,71.07698505250697,57.12088176430014,0.0,0.7783002835617523,0.0,-19.753814303597792,,,,,,,,,,10,25,393,1.906571487459951,29.971303782870432,0.0,0.0,0.0,0.0
11,443.0,14,309,768,23.565223585004997,58.5698760947697,0.5660596285349364,0.0,-17.310692004126487,0.0,14,339,561,25.853109369956936,42.7834641786013,0.5660596285349101,0.0,-17.31069200412568,0.0,13,933,748,71.15324791200537,57.04461890480174,0.9534507983047465,-0.19369558488490513,-5.694764874596945,-5.807963564764771,,,,,,,,,,10,25,393,1.906571487459951,29.971303782870432,0.0,0.0,0.0,0.0
12,475.1,14,308,768,23.488960725506598,58.5698760947697,-0.28593010742304575,0.0,13.086046106317886,0.0,14,338,562,25.77684651045854,42.8597270380997,0.0,0.5175017416170741,0.0,-7.840935479046577,13,934,747,71.22951077150377,56.96835604530334,1.0350034832341481,-0.5175017416170741,-15.681870958093153,7.840935479046577,,,,,,,,,,10,25,393,1.906571487459951,29.971303782870432,0.2315716341940243,0.0,5.245110627271218,0.0
13,543.0,14,309,768,23.565223585004997,58.5698760947697,-0.4390695814142043,0.0,-6.4711802713957916,0.0,14,339,561,25.853109369956936,42.7834641786013,-0.20063257804662707,0.0,-11.239920338746625,0.0,13,932,748,71.07698505250697,57.04461890480174,0.0,-0.2384370033675679,0.0,4.768740067351358,,,,,,,,,,10,25,393,1.906571487459951,29.971303782870432,0.43906958141419666,0.0,6.471180271395679,0.0
14,575.1,13,308,768,23.488960725506598,58.5698760947697,0.18608040863334682,0.0,11.557789356108481,0.0,14,338,561,25.77684651045854,42.7834641786013,-0.24859235636174734,0.0,4.976823951186134,0.0,13,934,747,71.22951077150377,56.96835604530334,-0.6207531736284526,0.18608040863334682,-18.138754761030594,11.557789356108481,,,,,,,,,,10,25,393,1.906571487459951,29.971303782870432,0.0,0.0,0.0,0.0
15,607.1,14,309,768,23.565223585004997,58.5698760947697,0.2529497043401043,0.0,-4.921200473542887,0.0,14,338,562,25.77684651045854,42.8597270380997,0.0,-0.4170573786527787,0.0,-6.319051191708767,12,934,747,71.22951077150377,56.96835604530334,-0.4170573786527787,0.0,-6.319051191708767,0.0,,,,,,,,,,10,26,393,1.9828343469583491,29.971303782870432,0.2529497043400999,0.0,-4.921200473542801,0.0
16,643.0,14,308,768,23.488960725506598,58.5698760947697,-0.0030383609361909194,0.0,15.191804680956059,0.0,14,338,561,25.77684651045854,42.7834641786013,-0.38207540387419864,0.0,7.611063822195195,0.0,13,932,748,71.07698505250697,57.04461890480174,-0.3790370429379549,0.0,-7.580740858759096,0.0,,,,,,,,,,10,26,393,1.9828343469583491,29.971303782870432,0.3820754038742098,0.0,-7.611063822195416,0.0
17,675.0,14,309,768,23.565223585004997,58.5698760947697,0.4353796880531183,0.0,-6.566812791148088,0.0,14,338,561,25.77684651045854,42.7834641786013,0.0,0.0,0.0,0.0,13,932,748,71.07698505250697,57.04461890480174,-0.8707593761062365,0.4353796880531183,13.133625582296176,-6.566812791148088,,,,,,,,,,10,25,393,1.906571487459951,29.971303782870432,0.24712238809873543,0.0,4.947395157131842,0.0
18,709.9,14,309,768,23.565223585004997,58.5698760947697,-0.2482288581604384,0.0,-4.829355217129154,0.0,14,338,561,25.77684651045854,42.7834641786013,0.0,-0.1710268232419432,0.0,11.105637872853428,13,933,747,71.15324791200537,56.96835604530334,-0.66748453956282,0.2482288581604384,1.4469274385951187,4.829355217129154,,,,,,,,,,10,26,393,1.9828343469583491,29.971303782870432,0.0,0.0,0.0,0.0
19,743.4,14,309,768,23.565223585004997,58.5698760947697,0.1835867635160854,0.0,-11.474172719755332,0.0,14,338,561,25.77684651045854,42.7834641786013,0.0,0.0,0.0,0.0,13,931,748,71.00072219300858,57.04461890480174,-0.18358676351605127,0.0,11.474172719753193,0.0,,,,,,,,,,10,26,393,1.9828343469583491,29.971303782870432,0.0,0.0,0.0,0.0
