frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,149.4,15,182,908,19.82834346958349,98.92382346363632,,,,,,,,,,,,,,,,,,,,,,,30,865,721,94.23910495159187,78.55074528334998,,,,,,,,,,,,,
1,149.4,12,181,911,19.719396527442925,99.25066429005803,,,,,,,,,,,,,,,,,,,,,,,44,591,283,64.38764280507607,30.831984625780926,,,,,,,,,,,,,
2,246.9,13,162,1010,17.64940462677212,110.03641156197432,,,,,,,,,,,,,,,,,,,,,,,44,592,281,,,,,,,,,,,,,,,
3,268.2,19,1001,943,109.0558890827092,102.73696643855622,-1012.4906078176085,86.4448609329268,-29689.63340218368,914.9444081544689,,,,,,,,,,,,,,,,,,,43,521,909,56.76135685523626,99.03277040577689,,,,,5,944,817,102.8459133806968,89.00965172884457,,,,
4,288.3,20,1000,945,108.94694214056864,102.95486032283736,-1471.3664860026631,103.03972146328012,-30435.614448699376,1099.6636929230824,,,,,,,,,,,,,,,,,,,41,529,915,57.63293239236081,99.6864520586203,,,,,,,,,,,,,
5,299.2,14,161,996,17.54045768463155,108.51115437200636,-0.9645637611433974,-14.801015880680742,42.77444617043889,549.2390637982495,14,974,854,106.11432164491386,93.04068858804561,,,,,15,1000,944,108.94694214056864,102.8459133806968,,,,,,,,,,,,,,,,,,,,,,
6,319.7,15,161,995,17.54045768463155,108.4022074298658,-716.5649321407831,46.22701965636242,41181.89265176912,-2476.802321807454,14,974,854,106.11432164491386,93.04068858804561,,,,,15,1000,944,108.94694214056864,102.8459133806968,,,,,,,,,,,,,,,,,,,,,,
7,331.3,14,161,995,17.54045768463155,108.4022074298658,-943.2421001951451,57.9791740125937,54999.53936997929,-3195.503109234079,14,975,854,106.22326858705442,93.04068858804561,,,,,15,1001,943,109.0558890827092,102.73696643855622,,,,,,,,,,,,,,,,,,,,,,
8,344.3,15,161,995,17.54045768463155,108.4022074298658,0.0,-1.0007796395553712,0.0,62.744804987797615,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1001,944,109.0558890827092,102.8459133806968,1.0007796395553712,0.0,-62.744804987797615,0.0,,,,,,,,,,,,,,,,,,
9,354.5,14,161,996,17.54045768463155,108.51115437200636,0.0,1.0942678150330407,0.0,-117.03399091262479,14,974,854,106.11432164491386,93.04068858804561,0.8025642375697917,0.0,46.12438146952824,0.0,15,1000,944,108.94694214056864,102.8459133806968,0.8025642375697917,0.0,46.12438146952824,0.0,,,,,,,,,,,,,,,,,,
10,365.6,15,161,996,17.54045768463155,108.51115437200636,0.0,1.7741471417316383,0.0,-81.75793279869306,14,974,854,106.11432164491386,93.04068858804561,-2.2035551344027744,0.0,56.719565879093295,0.0,15,1000,944,108.94694214056864,102.8459133806968,-2.2035551344027744,2.2035551344030617,56.719565879093295,-56.7195658791007,,,,,,,,,,,,,,,,,,
11,376.2,15,161,995,17.54045768463155,108.4022074298658,0.0,0.0,0.0,0.0,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1001,944,109.0558890827092,102.8459133806968,-0.2625640055456038,0.0,-16.46169313765542,0.0,,,,,,,,,,,,,,,,,,
12,408.0,15,161,995,17.54045768463155,108.4022074298658,0.0,-0.950180652841163,0.0,40.60601080517789,14,975,854,106.22326858705442,93.04068858804561,0.950180652841163,0.0,-40.60601080517789,0.0,15,1001,944,109.0558890827092,102.8459133806968,0.950180652841163,0.0,-40.60601080517789,0.0,,,,,,,,,,,,,,,,,,
13,443.3,15,161,995,17.54045768463155,108.4022074298658,0.0,-0.779238643892312,0.0,16.03371695251671,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1000,944,108.94694214056864,102.8459133806968,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
14,476.4,14,161,995,17.54045768463155,108.4022074298658,0.0,0.0,0.0,0.0,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1000,944,108.94694214056864,102.8459133806968,-5.388614469130194e-16,0.0,21.70249165153972,0.0,,,,,,,,,,,,,,,,,,
15,508.3,15,161,996,17.54045768463155,108.51115437200636,0.0,-0.0032586323671162007,0.0,-21.724215780770184,14,974,854,106.11432164491386,93.04068858804561,-0.5422919565843776,0.0,10.845839131687557,0.0,15,1000,944,108.94694214056864,102.8459133806968,0.0032586323671162007,0.0,21.724215780770184,0.0,,,,,,,,,,,,,,,,,,
16,540.5,14,161,995,17.54045768463155,108.4022074298658,0.0,0.0,0.0,0.0,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1000,944,108.94694214056864,102.8459133806968,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
17,576.6,15,161,995,17.54045768463155,108.4022074298658,0.0,0.0,0.0,0.0,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1001,944,109.0558890827092,102.8459133806968,0.027499674732777125,0.0,-21.153595948290658,0.0,,,,,,,,,,,,,,,,,,
18,608.3,15,161,995,17.54045768463155,108.4022074298658,0.0,-0.583210396588885,0.0,10.125180496334805,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1001,944,109.0558890827092,102.8459133806968,0.583210396588885,0.0,-10.125180496334805,0.0,,,,,,,,,,,,,,,,,,
19,640.4,14,161,995,17.54045768463155,108.4022074298658,0.0,0.0,0.0,0.0,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1000,944,108.94694214056864,102.8459133806968,0.5428323522790591,0.0,10.867514560141325,0.0,,,,,,,,,,,,,,,,,,
20,679.4,14,161,995,17.54045768463155,108.4022074298658,0.0,0.0,0.0,0.0,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1000,944,108.94694214056864,102.8459133806968,0.061058157193954105,0.0,21.806484712126792,0.0,,,,,,,,,,,,,,,,,,
21,723.5,15,161,995,17.54045768463155,108.4022074298658,0.0,0.7265446177914833,0.0,12.61362183665769,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1001,944,109.0558890827092,102.8459133806968,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
22,740.6,15,161,995,17.54045768463155,108.4022074298658,0.0,0.5428345190107663,0.0,10.835020339536252,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1001,944,109.0558890827092,102.8459133806968,0.001084042703630494,0.0,-21.680854072624925,0.0,,,,,,,,,,,,,,,,,,
23,776.6,15,161,995,17.54045768463155,108.4022074298658,0.0,0.5378104017798963,0.0,11.066057649792098,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1001,944,109.0558890827092,102.8459133806968,0.0302933328163051,0.0,-22.43950578985619,0.0,,,,,,,,,,,,,,,,,,
24,809.4,15,161,996,17.54045768463155,108.51115437200636,0.0,0.17115020799655167,0.0,-25.544807163664256,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1001,944,109.0558890827092,102.8459133806968,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
25,840.9,15,161,996,17.54045768463155,108.51115437200636,0.0,-0.005441937820833026,0.0,-21.767751283336843,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1000,944,108.94694214056864,102.8459133806968,0.005441937820833026,0.0,21.767751283336843,0.0,,,,,,,,,,,,,,,,,,
26,876.5,15,161,996,17.54045768463155,108.51115437200636,0.0,0.007588389532514541,0.0,-21.68111295003999,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1000,944,108.94694214056864,102.8459133806968,-0.007588389532514541,0.0,21.68111295003999,0.0,,,,,,,,,,,,,,,,,,
27,908.7,15,161,995,17.54045768463155,108.4022074298658,0.0,-0.5499523700371772,0.0,11.021089579903357,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1001,944,109.0558890827092,102.8459133806968,-0.5444556292171415,0.0,-10.965873700244536,0.0,,,,,,,,,,,,,,,,,,
28,940.7,15,161,995,17.54045768463155,108.4022074298658,0.0,-0.0032716864940821704,0.0,21.81124329389298,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1001,944,109.0558890827092,102.8459133806968,0.0032716864940821704,0.0,-21.81124329389298,0.0,,,,,,,,,,,,,,,,,,
29,977.1,14,161,995,17.54045768463155,108.4022074298658,0.0,-0.5393241759834274,0.0,10.808099719106755,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1001,944,109.0558890827092,102.8459133806968,-0.008681135004845193,0.0,-21.70283751211416,0.0,,,,,,,,,,,,,,,,,,
30,1008.5,14,161,995,17.54045768463155,108.4022074298658,0.0,0.0,0.0,0.0,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1000,944,108.94694214056864,102.8459133806968,-0.004357895117203838,0.0,21.78947558601483,0.0,,,,,,,,,,,,,,,,,,
31,1040.8,15,161,996,17.54045768463155,108.51115437200636,0.0,-0.0054637602427949844,0.0,-21.855040971189933,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1000,944,108.94694214056864,102.8459133806968,0.0054637602427949844,0.0,21.855040971189933,0.0,,,,,,,,,,,,,,,,,,
32,1076.9,15,161,995,17.54045768463155,108.4022074298658,0.0,0.5458263634296721,0.0,10.938404076746927,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1000,944,108.94694214056864,102.8459133806968,-0.5458263634296707,0.0,10.938404076746915,0.0,,,,,,,,,,,,,,,,,,
33,1108.7,14,161,995,17.54045768463155,108.4022074298658,0.0,0.0,0.0,0.0,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1001,944,109.0558890827092,102.8459133806968,0.0032456562141554065,0.0,-21.63770809437094,0.0,,,,,,,,,,,,,,,,,,
34,1140.4,15,161,995,17.54045768463155,108.4022074298658,0.0,-0.044259616209572555,0.0,21.076007718845002,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1001,944,109.0558890827092,102.8459133806968,0.5582157832011605,0.0,-10.75560275917458,0.0,,,,,,,,,,,,,,,,,,
35,1176.7,15,161,996,17.54045768463155,108.51115437200636,0.0,0.0021833054537193208,0.0,-21.83305453718687,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1000,944,108.94694214056864,102.8459133806968,0.5441894307121184,0.0,10.905599813870117,0.0,,,,,,,,,,,,,,,,,,
36,1209.2,14,161,995,17.54045768463155,108.4022074298658,0.0,0.5485571442161911,0.0,10.916560083904299,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1000,944,108.94694214056864,102.8459133806968,-0.539858655345355,0.0,10.829662093186656,0.0,,,,,,,,,,,,,,,,,,
37,1244.2,15,161,996,17.54045768463155,108.51115437200636,0.0,-0.07706364849254525,0.0,-21.708069997900353,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1001,944,109.0558890827092,102.8459133806968,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
38,1276.7,15,161,995,17.54045768463155,108.4022074298658,0.0,-0.5452789012229948,0.0,10.883810403652587,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1001,944,109.0558890827092,102.8459133806968,0.5452789012229948,0.0,-10.883810403652587,0.0,,,,,,,,,,,,,,,,,,
39,1308.9,15,161,996,17.54045768463155,108.51115437200636,0.0,-0.0010971362092372346,0.0,-21.94272418471529,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1000,944,108.94694214056864,102.8459133806968,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
40,1340.9,14,161,995,17.54045768463155,108.4022074298658,0.0,-0.5733378011969572,0.0,11.443868287364435,14,974,854,106.11432164491386,93.04068858804561,0.0,0.0,0.0,0.0,15,1001,944,109.0558890827092,102.8459133806968,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
