frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,139.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,19,333,1.2971949244203704,22.735047885893863,,,,,,,,,,,,,
1,139.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,19,333,1.2971949244203704,22.735047885893863,,,,,,,,,,,,,
2,238.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,19,333,,,,,,,,,,,,,,,
3,261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,936,814,63.90391838197194,55.574561498851665,,,,,,,,,,,,,
4,283.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,953,826,65.0645664722428,56.39384250374874,,,,,,,,,,,,,
5,296.9,17,352,870,24.032242810314234,59.39787285503802,,,,,12,90,275,6.144607536728071,18.775189695557994,,,,,15,992,858,67.7272297381583,58.578591850140945,,,,,,,,,,,,,,14,81,342,5.5301467830552635,23.349508639566668,,,,
6,307.2,17,353,870,24.10051622738899,59.39787285503802,,,,,12,91,276,6.212880953802827,18.84346311263275,,,,,15,992,857,67.7272297381583,58.51031843306619,,,,,,,,,,,,,,14,82,342,5.59842020013002,23.349508639566668,,,,
7,318.4,17,352,870,24.032242810314234,59.39787285503802,,,,,12,91,276,6.212880953802827,18.84346311263275,,,,,15,992,857,67.7272297381583,58.51031843306619,,,,,,,,,,,,,,15,81,342,5.5301467830552635,23.349508639566668,,,,
8,328.2,17,353,870,24.10051622738899,59.39787285503802,1.3799281451384364,0.0,-51.203270691593154,0.0,12,90,277,6.144607536728071,18.911736529707508,-1.8613481359497859,1.3638451883145288,-118.93598312778182,-191.60852872902296,15,992,857,67.7272297381583,58.51031843306619,-0.46533703398749643,-0.9145911111509883,-29.733995781948646,80.9372664735387,,,,,,,,,,15,81,342,5.5301467830552635,23.349508639566668,0.0,0.0,0.0,0.0
9,338.2,17,353,870,24.10051622738899,59.39787285503802,-0.26085180876780795,0.0,-16.829148952761802,0.0,12,90,276,6.144607536728071,18.84346311263275,-3.128812942583612,-0.7825554263034239,-59.770622570937434,-50.487446858285416,15,992,857,67.7272297381583,58.51031843306619,-0.2608518087678351,0.26085180876780795,-16.829148952763553,16.829148952761802,,,,,,,,,,14,81,342,5.5301467830552635,23.349508639566668,-1.5637020899767713,0.0,41.20427114563295,0.0
