frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,161.0,8,757,572,82.47283520041046,62.31765090440526,,,,,,,,,,,,,,,,,,,,,,,44,917,646,99.90434594290144,70.37972462280734,,,,
1,161.0,14,153,1012,16.668882147507002,110.25430544625546,,,,,,,,,,,,,,,,,,,,,,,39,459,913,50.006646442521,99.46855817433917,,,,
2,266.7,20,993,944,108.18431354558466,102.8459133806968,,,,,,,,,,,,,,,,,,,,,,,32,469,917,,,,,,
3,289.1,21,992,947,108.0753666034441,103.1727542071185,-1940.8347341152753,185.48482510288798,-33422.300815583105,-2083.4739164469206,,,,,,,,,,,,,,,,,,,39,502,918,54.69136495456546,100.013292885042,,,,
4,306.3,21,992,947,108.0753666034441,103.1727542071185,-2720.296378552884,156.188195484041,-46103.019479328774,2820.72462205003,,,,,,,,,,,,,,,,,,,38,501,915,54.58241801242489,99.6864520586203,,,,
5,316.4,14,149,996,16.233094378944728,108.51115437200636,-700.7348945546256,43.17323994886312,46253.128353440625,-2849.7188085058156,14,1082,811,117.88059139609527,88.35597007600117,,,,,16,992,946,108.0753666034441,103.06380726497794,,,,,,,,,,,,,
6,325.2,14,149,996,16.233094378944728,108.51115437200636,-1183.6467774633902,68.90770427066818,75371.77209823605,-4375.0923346455975,14,1082,811,117.88059139609527,88.35597007600117,,,,,16,991,946,107.96641966130352,103.06380726497794,,,,,,,,,,,,,
7,333.7,14,149,996,16.233094378944728,108.51115437200636,-1843.824457661077,107.17366361256545,110079.07209916877,-6398.427678362116,14,1082,811,117.88059139609527,88.35597007600117,,,,,16,992,946,108.0753666034441,103.06380726497794,,,,,,,,,,,,,
8,346.7,14,149,996,16.233094378944728,108.51115437200636,0.0,0.0,0.0,0.0,14,1083,811,117.98953833823583,88.35597007600117,0.09249154087469472,0.0,-231.22885218673352,0.0,16,991,946,107.96641966130352,103.06380726497794,-1.821228486348208,0.0,117.12080298059206,0.0,,,,,,,,,
9,356.7,14,150,996,16.342041321085297,108.51115437200636,1.4069015934213993,0.0,-130.26866605753685,0.0,14,1082,811,117.88059139609527,88.35597007600117,0.0,0.0,0.0,0.0,16,992,946,108.0753666034441,103.06380726497794,1.4069015934214912,0.7639425762150265,-130.26866605754535,48.50429055333501,,,,,,,,,
