frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
1140,38512.9,11,264,601,23.96832727,54.56426019,8.16829385,9.106046591,-34.05207805,1088.119939,11,265,454,24.05911639,41.21825978,10.53003745,-24.08631233,12.71512188,-1028.758008
1141,38543.1,11,266,624,24.14990551,56.65240991,6.792658439,33.48111892,-9.101272907,541.6879388,11,269,427,24.42227286,38.76695358,11.31989291,-47.06914591,8.921049681,-469.2832579
1142,38578.4,12,269,646,24.42227286,58.64977052,6.425829106,61.03100043,-2.034008277,-10.04818835,11,273,401,24.78542934,36.4064365,12.37829434,-73.02218738,5.352160028,50.9251934
1143,38610.6,11,271,668,24.6038511,60.64713112,6.875805459,61.97136938,7.593769106,-5.922952171,10,277,374,25.14858581,33.9551303,12.36308179,-72.11678289,24.80881551,45.5344548
1144,38643.4,11,273,691,24.78542934,62.73528085,6.819857333,60.89155136,9.643623738,4.881003138,10,282,349,25.6025314,31.68540234,12.27283208,-70.88867173,10.0807285,-5.682361862
1145,38678.9,12,276,713,25.05779669,64.73264146,7.258764543,60.73908659,18.60983785,4.238957723,10,287,323,26.056477,29.32488526,12.23530453,-70.71117544,-8.197728476,-4.934906006
1146,38710.7,12,279,736,25.33016405,66.82079118,7.206180598,60.36427264,-0.992867214,-26.18687278,10,292,297,26.51042259,26.96436818,12.62332617,-69.80361948,-19.60912748,0.68259621
1147,38742.9,11,281,758,25.51174228,68.81815179,7.712921362,60.83175087,8.307412024,-6.083023012,10,296,271,26.87357906,24.6038511,12.71111212,-70.81905326,-1.271079435,7.081728282
1148,38778.7,12,285,780,25.87489876,70.81551239,7.725725059,61.34321218,-9.251911666,7.867767401,10,300,245,27.23673554,22.24333402,12.26791467,-70.88654085,8.851238326,1.420569114
1149,38812.2,12,287,802,26.056477,72.812873,7.729613338,60.85016378,11.30681282,35.76108239,10,305,219,27.69068113,19.88281694,12.26870705,-70.34279848,12.62155849,-11.30681282
1150,38843.4,12,290,825,26.32884435,74.90102272,8.179789964,61.35388318,0.983505417,16.47371573,10,310,193,28.14462672,17.52229986,12.72411772,-69.97173056,1.529897315,9.780414978
1151,38878.7,12,293,848,26.60121171,76.98917245,7.717075068,61.28265495,9.078911845,-9.078911845,11,314,167,28.50778319,15.16178278,13.16442218,-69.45367561,9.078911845,27.23673554
1152,38910.8,12,296,870,26.87357906,78.98653305,8.699116632,62.30044781,8.358568405,-6.343556379,11,319,142,28.96172879,12.89205482,13.73350104,-69.63915706,17.09028719,25.57945822
1153,38942.7,12,299,893,27.14594642,81.07468278,8.652273191,61.50261493,8.53277308,-13.47811146,11,324,117,29.41567438,10.62232686,13.66013661,-68.79143448,17.32244686,13.99191285
1154,38978.7,12,302,915,27.41831377,83.07204338,8.962713175,60.1811207,15.83385029,-12.95177321,11,329,92,29.86961997,8.352598897,13.91272625,-67.36692616,5.887169643,14.4982536
1155,39010.4,12,306,938,27.78147025,85.16019311,8.82997247,59.2198729,-5.730941134,-55.5153776,11,335,67,30.41435468,6.082870936,13.715986,-62.51706398,-17.44199476,117.434459
1156,39042.7,12,309,960,28.0538376,87.15755371,9.538085424,60.85916939,9.183471579,0.60920059,11,340,42,30.86830027,3.813142975,13.62427838,-52.21398018,-18.0396115,317.5571732
1158,39116.9,12,316,1004,28.68936143,91.15227492,9.150117339,42.83825807,11.74305135,-252.1205816,5,350,1,31.77619146,0.090789118,10.62767312,-11.86322919,-40.55449129,833.8112647
1159,39142.6,12,320,1027,29.0525179,93.24042465,8.565509249,29.49074416,-28.65446607,-628.6057018,10,354,2,32.13934793,0.181578237,10.38336228,0.4625851,-46.84359356,737.0287183
1161,39210.5,11,326,1036,29.59725261,94.05752671,8.082745446,-1.086076934,-34.55014308,-686.4335852,10,359,29,32.59329352,2.632884435,8.898545669,34.21968018,3.607323524,150.866286
1162,39244.9,12,328,1024,29.77883085,92.96805729,7.255002807,-20.67318267,3.033616752,-352.1162302,10,363,45,32.95645,4.08551033,8.161878158,40.41294719,3.412818846,44.01452877
1164,39310.5,12,333,997,30.23277644,90.5167511,6.778668222,-36.61345498,8.468598603,-24.11397568,10,369,75,33.50118471,6.809183884,9.043027953,42.04647724,-0.717677848,5.669654997
1165,39343,12,336,983,30.5051438,89.24570344,6.896162556,-38.11323574,-10.34942207,-3.440407337,10,372,91,33.77355206,8.261809779,8.719342974,42.70603148,7.952416958,2.735405833
1166,39379.7,12,339,969,30.77751115,87.97465578,6.82565545,-37.82537829,-7.836086718,-16.37870584,11,376,106,34.13670854,9.623646556,8.648146624,42.84591547,-7.487408386,26.48120172
1167,39411.3,12,341,955,30.95908939,86.70360812,7.256583293,-38.09706229,1.013843282,-5.322677232,10,379,122,34.40907589,11.07627245,9.070729116,43.09230616,1.267304103,15.08091882
1168,39442.6,12,343,941,31.14066763,85.43256046,7.260579397,-38.60244361,17.66702932,-6.383044048,11,382,138,34.68144325,12.52889835,9.083676342,43.59528476,-0.636485874,15.12108583
1169,39478.4,12,346,927,31.41303498,84.1615128,6.844532576,-38.81570299,8.218601926,-3.688663857,11,385,154,34.9538106,13.98152424,8.6714566,44.29647506,7.959748322,2.912103045
1170,39510.7,12,349,913,31.68540234,82.89046515,7.746299418,-38.7388187,8.839599875,-7.589926712,11,389,170,35.31696708,15.43415014,9.115446849,44.20808681,-0.36755093,7.369396154
1171,39542.9,12,352,898,31.95776969,81.52862837,8.146580918,-38.92255327,5.56E-12,-2.68E-11,10,392,187,35.58933443,16.97756515,9.504344404,44.35360722,9.024682528,3.19E-11
1172,39578.5,12,354,884,32.13934793,80.25758071,7.700782795,-39.41361189,8.889294564,-8.257568047,10,395,203,35.86170179,18.43019105,9.512944458,44.85009688,8.853195906,8.149272073
