frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,134.1,,,,,,,,,,24,944,16,85.70492781724735,1.4526258952075821,,,,,,,,,,,,,
1,134.1,,,,,,,,,,30,935,18,84.88782575119309,1.63420413210853,,,,,,,,,,,,,
2,241.7,,,,,,,,,,43,949,26,,,,,,,,,,,,,,,
3,262.3,,,,,,,,,,32,966,27,87.70228842315778,2.451306198162795,,,,,,,,,,,,,
4,282.0,,,,,,,,,,19,976,17,88.61017960766252,1.543415013658056,,,,,,,,,,,,,
5,303.1,10,611,24,55.47215137323955,2.178938842811373,,,,,,,,,,,,,,8,901,48,81.80099572387698,4.357877685622746,,,,
6,317.7,10,610,29,55.381362254789074,2.6328844350637426,,,,,,,,,,,,,,9,905,53,82.16415219767887,4.811823277875116,,,,
7,328.1,10,609,30,55.2905731363386,2.7236735535142165,,,,,,,,,,,,,,9,909,55,82.52730867148077,4.993401514776064,,,,
8,339.1,10,610,29,55.381362254789074,2.6328844350637426,2.7620351605552442,0.3524958942335361,293.5530620840467,-680.950216141917,,,,,,,,,,9,909,53,82.52730867148077,4.811823277875116,9.769730033829994,4.335747309017557,-578.0905345461541,-459.65847087613884
9,349.4,10,613,17,55.653729610140495,1.543415013658056,8.596564175016194,-26.96025854275621,0.28605916387469776,467.3729972441058,,,,,,,,,,9,905,46,82.16415219767887,4.176299448721799,-0.4790966553102385,-15.507231516257272,-30.22691831610338,286.4882526206095
10,376.3,10,617,12,56.01688608394239,1.0894694214056866,11.3489524672745,-21.401236362408252,-154.34775458511123,518.8138456986388,,,,,,,,,,9,903,45,81.98257396077793,4.085510330271325,-6.149481956764746,-12.119237239613447,213.7787575857683,278.7003921724584
11,408.9,10,620,11,56.28925343929381,0.9986803029552128,6.990767895079184,-9.898928745205524,-172.3859350203233,387.21312045598376,,,,,,,,,,9,901,44,81.80099572387698,3.9947212118208513,-1.8198689044761343,-4.405318399777681,246.0103357408207,209.19813538057304
12,444.3,10,622,12,56.470831676194756,1.0894694214056866,0.02348929580383569,4.143143151627097,-180.96203132851872,188.12545785354013,,,,,,,,,,10,903,44,81.98257396077793,3.9947212118208513,4.737729541893656,2.5373921981487935,140.17056841523703,93.79886464822215
13,476.3,10,621,17,56.38004255774428,1.543415013658056,-4.08551033027131,6.809183883785543,-154.34150136580493,45.39455922523699,,,,,,,,,,9,908,47,82.4365195530303,4.267088567172273,6.8091838837855105,2.723673553514218,45.39455922523677,18.157823690094798
14,510.7,10,618,22,56.10767520239286,1.9973606059104256,-6.104531331089581,6.226170672281227,-84.88909889261902,-70.41352482756042,,,,,,,,,,9,913,51,82.89046514528266,4.6302450409741684,6.662468788818801,2.1028258888515454,-79.36322978217757,-81.33675446447822
15,544.6,10,612,27,55.56294049169002,2.451306198162795,-5.4292508172192555,3.6044293550437563,72.2334149172906,-198.86750763585997,,,,,,,,,,9,916,52,83.16283250063408,4.721034159424642,4.061991127666836,0.893421031978696,-153.64491366402706,-126.57994473137461
16,576.3,10,608,27,55.19978401788813,2.451306198162795,-3.191666538785065,-0.8870522720701908,172.21837719552985,-199.31928234235178,,,,,,,,,,9,918,51,83.34441073753503,4.6302450409741684,-0.8870522720701864,-0.8979252203876177,-199.31928234235082,-90.58979916813155
17,608.2,10,607,25,55.10899489943765,2.269727961261847,0.14965155617320436,-4.374425813563848,213.18002991339407,-147.03460821541535,,,,,,,,,,9,916,49,83.16283250063408,4.448666804073221,-5.710960279377353,-3.172373135219088,-174.45069982184594,-26.872456285688543
18,644.7,10,610,20,55.381362254789074,1.8157823690094779,5.01637000919302,-6.358446141860927,136.47029789813942,-0.19094385074703465,,,,,,,,,,9,912,46,82.79967602683219,4.176299448721799,-8.188777066594197,-4.0834829116501306,-91.1256796279016,27.14130449903047
19,676.5,10,614,15,55.74451872859097,1.3618367767571082,6.809893025825133,-5.428323522790901,27.41355024179943,108.67514560141946,,,,,,,,,,9,906,45,82.25494131612935,4.085510330271325,-7.248648529204073,-2.7141617613954505,72.34131313808165,54.33757280070973
20,708.6,10,619,12,56.198464320843335,1.0894694214056866,6.325867641443744,-3.143963035655743,-90.14783697971794,171.54581893071625,,,,,,,,,,9,900,44,81.7102066054265,3.9947212118208513,-2.6816620572508634,0.4677212027094716,234.79528591998314,99.38429568665589
21,744.5,10,623,13,56.56162079464523,1.1802585398561605,3.2885596545891205,0.35048372116524523,-171.0957559062336,134.63843609576054,,,,,,,,,,10,898,43,81.52862836852555,3.9039320933703774,2.035299988650097,3.517808497401288,296.01700338029235,125.18918466031664
22,776.4,10,623,15,56.56162079464523,1.3618367767571082,0.44881134522552435,3.338805934570838,-154.7625328363862,66.84296165306984,,,,,,,,,,9,902,45,81.89178484232745,4.085510330271325,4.80873719286711,3.7561566763921905,169.04779040688703,75.19833185970352
23,808.7,10,621,18,56.38004255774428,1.63420413210853,-2.750565068795727,4.998689001947421,-91.19946991817353,-8.855468529054676,,,,,,,,,,9,910,50,82.61809778993124,4.539455922523694,6.3512058686669315,3.171049800797815,-54.31840428326407,-45.371736284291416
24,845.8,10,617,21,56.01688608394239,1.9065714874599518,-4.043409265076536,3.558220123518989,26.338225409379504,-71.3070165033865,,,,,,,,,,9,917,54,83.25362161908456,4.90261239632559,5.243036391003906,3.0595604399221865,-232.685583787917,-134.23653031637
25,882.1,10,614,23,55.74451872859097,2.0881497243608993,-2.7057031108598926,1.312150854566107,95.07446365785422,-105.19026685656519,,,,,,,,,,9,918,54,83.34441073753503,4.90261239632559,1.6406749895537747,1.2302630314922625,-228.99220295775427,-122.99196752479202
26,908.3,10,613,23,55.653729610140495,2.0881497243608993,-2.747384484562795,0.47126662832345934,91.26333707144526,-82.05662732684824,,,,,,,,,,9,914,51,82.98125426373313,4.6302450409741684,-2.2505948108918092,-1.8084973772512505,-118.40851699301601,-54.61917090544895
27,945.6,10,614,21,55.74451872859097,1.9065714874599518,-1.3563124857401303,0.0,27.511409447061464,0.0,,,,,,,,,,9,910,50,82.61809778993124,4.539455922523694,-4.55425620514369,-4.124295100570279,36.34705480700343,-9.728510575262465
28,978.6,10,616,19,55.926096965491915,1.724993250559004,0.4860630903873182,-0.97212618077464,-28.923868813352446,57.84773762670515,,,,,,,,,,9,908,49,82.4365195530303,4.448666804073221,-4.274521527644508,-3.7509410800666987,106.39745648732352,19.754576611652926
29,1008.3,10,615,19,55.83530784704144,1.724993250559004,1.3613850950046544,-0.9124224848108499,-9.087945480096282,54.38284506416205,,,,,,,,,,9,905,46,82.16415219767887,4.176299448721799,-2.2792440539742125,-2.2719954217626106,117.83553213136793,45.34921001522175
30,1044.2,10,614,21,55.74451872859097,1.9065714874599518,0.9014911459432711,0.0,18.285824461323955,0.0,,,,,,,,,,10,907,45,82.34573043457982,4.085510330271325,0.8628182962990534,-1.4166914683219405,73.53275252449237,64.64947674662837
