frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,130.1,,,,,,,,,,48,842,246,,,,,,,,,,,,,,,
1,130.1,,,,,,,,,,35,5,448,,,,,,,,,,,,,,,
2,225.7,,,,,,,,,,47,48,1033,,,,,,,,,,,,,,,
3,247.7,10,610,20,55.381362254789074,1.8157823690094779,,,,,,,,,,,,,,9,987,158,89.60885991061772,14.344680715174874,,,,
4,270.7,10,610,23,55.381362254789074,2.0881497243608993,,,,,,,,,,,,,,10,986,164,89.51807079216725,14.889415425877718,,,,
5,291.3,10,611,24,55.47215137323955,2.178938842811373,,,,,,,,,,,,,,10,985,168,89.42728167371678,15.252571899679614,,,,
6,291.3,10,611,24,55.47215137323955,2.178938842811373,-0.9541061357211271,-7.418823072623716,-139.28556725855827,-722.3899080130974,,,,,,,,,,10,985,169,89.42728167371678,15.343361018130087,-12.501381847514438,-10.495167492932456,-382.4194213983277,-1532.1412398441494
7,291.3,10,611,24,55.47215137323955,2.178938842811373,2.306730535841493,-0.8418483195116329,-203.9328372708952,-509.6201047809091,,,,,,,,,,10,983,169,89.24570343681583,15.343361018130087,-12.3177553595584,7.48547986518204,87.76319608123734,-1412.6906731530685
8,307.9,10,611,21,55.47215137323955,1.9065714874599518,-0.736301813165526,-15.734946456932414,-88.71106182717199,81.05127134811981,,,,,,,,,,10,981,165,89.06412519991488,14.980204544328192,-18.934645794894447,-19.66188946048194,354.48797798408185,-392.07439173013245
9,321.2,10,610,18,55.381362254789074,1.63420413210853,-2.773005992955902,-16.400083109968357,17.620024968606696,121.63672825760251,,,,,,,,,,10,979,158,88.88254696301394,14.344680715174874,-15.21031887113263,-32.168735856885,201.21962048741153,82.40422553294111
10,346.3,10,609,15,55.2905731363386,1.3618367767571082,-2.125397638713391,-13.143238239848223,42.764540014353955,62.29683495048772,,,,,,,,,,9,977,150,88.70096872611299,13.618367767571083,-8.328346842851753,-30.928124164691063,57.30620452627712,15.832344794046678
11,378.4,10,608,11,55.19978401788813,0.9986803029552128,-1.8858915332028663,-10.561204169894365,56.098587499871556,65.72155948983908,,,,,,,,,,10,976,139,88.61017960766252,12.61968746461587,-6.034996036573878,-32.06093394664838,11.45953289026059,40.32844886016259
12,414.1,11,608,7,55.19978401788813,0.6355238291533172,-0.13148116548393152,-7.761635205070321,39.24810909968113,64.33631598132179,,,,,,,,,,9,973,129,88.3378122523111,11.711796280111132,-4.353593443587915,-28.300809880424612,32.50966751139821,0.8665166944083676
13,445.7,10,609,4,55.2905731363386,0.36315647380189553,0.8811998709098118,-6.405265553173644,17.730379696374488,73.27605612948369,,,,,,,,,,9,971,117,88.15623401541015,10.622326858705446,-1.8915996273495852,-25.82479569134455,72.20581188221726,86.85032066564172
14,478.1,9,609,3,55.2905731363386,0.27236735535142165,2.2517459820931953,-4.557749544345239,26.903168072767567,54.708824172129326,,,,,,,,,,10,970,106,88.06544489695968,9.623646555750232,0.3942830302545184,-22.27690660112755,117.51296594280652,155.9409061151801
15,513.7,9,610,2,55.381362254789074,0.18157823690094776,2.7277748026153263,-2.735986850667952,18.16666937620758,36.5803176412157,,,,,,,,,,9,970,98,88.06544489695968,8.897333608146441,3.16780473984657,-18.23352518930098,118.5224245254388,201.28779437233104
16,547.5,8,611,1,55.47215137323955,0.09078911845047388,,,,,,,,,,,,,,9,973,93,88.3378122523111,8.443388015894072,5.117053655008763,-10.975272618234193,65.488751621876,204.88883597699797
17,578.8,8,613,1,55.653729610140495,0.09078911845047388,,,,,,,,,,,,,,10,977,90,88.70096872611299,8.17102066054265,6.812251176046993,-3.9482134913764573,9.954127320202037,208.0847763029153
18,613.6,7,614,1,55.74451872859097,0.09078911845047388,,,,,,,,,,,,,,10,980,89,88.97333608146441,8.080231542092177,6.787300936790571,1.53092937737992,-46.06003820023358,194.3969817373968
