frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,133.7,,,,,,,,,,,,,,,,,,,20,1064,187,96.59962203130422,16.97756515023862,,,,,,,,,,,,,
1,133.7,5,1090,230,98.96013911101655,20.881497243608994,,,,,,,,,,,,,,14,1063,182,96.50883291285375,16.523619557986247,,,,,,,,,,,,,
2,239.6,,,,,,,,,,,,,,,,,,,12,1064,180,,,,,,,,,,,,,,,
3,260.4,,,,,,,,,,,,,,,,,,,25,1097,73,99.59566294016986,6.627605646884594,,,,,,,,,,,,,
4,278.5,5,1062,211,96.41804379440327,19.15650399304999,,,,,,,,,,,,,,23,1093,138,99.23250646636797,12.528898346165397,,,,,,,,,,,,,
5,296.0,,,,,,,,,,10,1057,238,95.96409820215091,21.607810191212785,,,,,,,,,,,,,,10,608,17,55.19978401788813,1.543415013658056,,,,
6,311.9,,,,,,,,,,10,1053,235,95.600941728349,21.335442835861365,,,,,,,,,,,,,,10,608,16,55.19978401788813,1.4526258952075821,,,,
7,322.4,,,,,,,,,,10,1052,233,95.51015260989853,21.153864598960418,,,,,,,,,,,,,,10,607,16,55.10899489943765,1.4526258952075821,,,,
8,332.5,,,,,,,,,,10,1050,232,95.32857437299758,21.06307548050994,-10.71893197629947,-11.6471121623212,366.72217979868304,179.56857463407087,,,,,,,,,,10,608,16,55.19978401788813,1.4526258952075821,0.7485301425414222,-2.4402054554144827,41.015350276242316,2.584528921516667
9,343.1,,,,,,,,,,10,1050,230,95.32857437299758,20.881497243608994,-5.635782335802818,-11.345626607411965,198.3295251363656,205.37894909006545,,,,,,,,,,10,609,15,55.2905731363386,1.3618367767571082,2.6457089878323314,-2.4364958398601457,-16.935811205836092,30.346910434823275
10,354.1,,,,,,,,,,10,1051,229,95.41936349144805,20.79070812515852,-1.520883993033793,-8.957300879967372,84.73981405189024,157.6491673853474,,,,,,,,,,10,609,15,55.2905731363386,1.3618367767571082,4.856777401540677,-2.428388700770261,-54.967993058173896,27.48399652908563
11,410.1,,,,,,,,,,10,1053,228,95.600941728349,20.699919006708047,3.9893789216388047,-1.8102140675843486,12.357997983231144,73.95972677667267,,,,,,,,,,10,610,14,55.381362254789074,1.2710476583066344,1.714866532546168,-1.7148665325461763,-16.10977321426433,16.109773214264408
12,444.9,,,,,,,,,,10,1055,229,95.78251996524995,20.79070812515852,3.5884388389746786,0.020615353035914843,-17.107105199675974,17.92639394427411,,,,,,,,,,10,611,14,55.47215137323955,1.2710476583066344,0.8816481949667155,-0.9022635480026348,-17.721571758124934,-0.20482218614918019
