frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,133.6,15,115,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,133.6,18,518,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,246.6,20,497,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,268.9,,,,,,,,,,16,130,396,8.615887341,26.24531836,,,,,13,468,464,31.01719443,30.7520902,,,,,9,558,387,36.98203951,25.64883385,,,,,,,,,,,,,
4,296.6,,,,,,,,,,16,130,396,8.615887341,26.24531836,,,,,9,454,447,30.08932964,29.62539724,,,,,,,,,,,,,,,,,,,,,,
5,307.7,,,,,,,,,,16,130,396,8.615887341,26.24531836,,,,,11,447,420,29.62539724,27.83594372,,,,,,,,,,,,,,,,,,,,,,
6,323.7,,,,,,,,,,16,130,396,8.615887341,26.24531836,0,0,0,0,13,444,392,29.42656907,25.98021414,23.19687341,-128.3791397,1905.944655,-1507.339756,,,,,,,,,,,,,,,,,,
7,334.3,,,,,,,,,,16,130,396,8.615887341,26.24531836,0,0,0,0,14,445,363,29.49284513,24.0582085,39.35821748,-137.1118831,2927.325609,560.1541579,,,,,,,,,,,,,,,,,,
8,345.4,,,,,,,,,,16,130,396,8.615887341,26.24531836,0,0,0,0,14,454,337,30.08932964,22.33503103,55.89743047,-118.1012854,2312.548085,1475.412093,,,,,,,,,,,,,,,,,,
9,358.8,,,,,,,,,,16,130,396,8.615887341,26.24531836,0,0,0,0,14,474,310,31.41485077,20.54557751,63.78705668,-111.4140063,406.8863002,2474.014022,,,,,,,,,,,,,,,,,,
10,370.3,,,,,,,,,,16,130,396,8.615887341,26.24531836,0,0,0,0,14,495,294,32.80664795,19.4851606,82.28170359,-92.70209235,-542.6874908,1907.056438,,,,,,,,,,,,,,,,,,
11,386,,,,,,,,,,16,130,396,8.615887341,26.24531836,0,0,0,0,14,517,283,34.26472119,18.75612398,87.96961378,-63.70748379,-732.6375768,1204.085524,,,,,,,,,,,,,,,,,,
12,418.2,,,,,,,,,,16,130,396,8.615887341,26.24531836,0,0,0,0,14,542,276,35.92162261,18.29219159,66.39413242,-19.81684605,-319.1059722,610.0654494,,,,,,,,,,,,,,,,,,
13,450.1,,,,,,,,,,16,130,396,8.615887341,26.24531836,0,0,0,0,14,568,274,37.64480007,18.15963947,54.01634868,0.762780408,-165.7173943,435.4215758,,,,,,,,,,,,,,,,,,
14,488.6,,,,,,,,,,16,130,396,8.615887341,26.24531836,0,0,0,0,14,595,280,39.4342536,18.55729581,44.78382255,15.46263047,-109.1907123,339.1915567,,,,,,,,,,,,,,,,,,
15,518,,,,,,,,,,16,130,396,8.615887341,26.24531836,0,0,0,0,14,618,292,40.9586029,19.35260849,40.45835263,24.11110771,-200.6491337,270.2542652,10,558,386,36.98203951,25.5825578,,,,,,,,,,,,,
16,550.1,,,,,,,,,,16,130,396,8.615887341,26.24531836,-0.331380282,0,-6.627605647,0,14,637,308,42.21784797,20.41302539,,,,,,,,,,,,,,,,,,,,,,
17,586,,,,,,,,,,16,130,396,8.615887341,26.24531836,0,0,0,0,14,653,327,43.27826487,21.67227047,27.2298282,44.17027639,-251.2609171,250.2878256,10,558,387,36.98203951,25.64883385,,,,,,,,,,,,,
18,618.3,,,,,,,,,,16,130,396,8.615887341,26.24531836,0,0,0,0,14,664,349,44.0073015,23.13034371,,,,,,,,,,,,,,,,,,,,,,
19,650.1,,,,,,,,,,16,129,396,8.549611284,26.24531836,-0.010437174,0,13.04646781,0,,,,,,,,,,10,558,386,36.98203951,25.5825578,,,,,,,,,,,,,
20,682.6,,,,,,,,,,16,130,396,8.615887341,26.24531836,0,0,0,0,8,675,409,44.73633812,27.1069071,-3.456221846,47.87439509,-384.06103,-173.5979974,10,557,386,36.91576345,25.5825578,-0.348461171,-0.348461171,6.990194,6.990194,,,,,,,,,
21,718.5,,,,,,,,,,16,130,396,8.615887341,26.24531836,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
