frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,138.1,65,238,268,14.909389031936819,16.788723783861627,,,,,,,,,,,,,,,,,,,,,,,14,268,153,,,,,,,,,,,,,,,
1,138.1,61,237,264,14.846744540205991,16.538145816938318,,,,,,,,,,,,,,,,,,,,,,,72,288,72,,,,,,,,,,,,,,,
2,248.3,63,255,257,15.974345391360877,16.099634374822532,,,,,,,,,,,,,,,,,,,,,,,68,310,50,,,,,,,,,,,,,,,
3,271.8,13,459,491,28.753821704449578,30.75844543983604,29.557965616278047,27.163282316791953,-1106.8140776234518,-1156.653624024508,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,446,753,27.93944331194883,47.171302273312705,,,,
4,294.9,13,459,490,28.753821704449578,30.695800948105212,11.588508509179832,11.831374236053188,-983.4768577874607,-1000.7626746467744,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,422,750,26.43597551040898,46.983368798120225,,,,
5,314.1,13,459,489,28.753821704449578,30.633156456374387,47.32643291015622,53.82221781939335,-4464.757821712853,-5077.567718810696,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,391,744,24.493996266753346,46.607501847735264,,,,
6,323.0,13,460,489,28.816466196180404,30.633156456374387,-1.3247032273389165,-0.1265360340578998,-99.54017408033607,90.64509469443527,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,358,731,22.426728039636053,45.793123455234515,-136.96219663203934,-77.26765773341421,-1144.2178308468924,-1966.8008864384597
7,323.0,13,458,489,28.691177212718753,30.633156456374387,-0.9215231437606093,-0.9215231437606093,93.08314583440519,93.08314583440519,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,323,715,20.23417082905711,44.790811587541285,-179.7201797136319,-90.76268711490545,2917.0543214974678,-906.458371474284
8,335.3,13,459,489,28.753821704449578,30.633156456374387,-0.40988973154534664,0.40988973154534664,-38.66884259861763,38.66884259861763,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,292,693,18.292191585401476,43.41263276946309,-231.10283298898597,-144.2301408077333,5795.766384769359,610.4934725357407
9,361.6,13,458,490,28.691177212718753,30.695800948105212,-1.932526873654906,0.966263436827453,68.04672090334181,-34.023360451670904,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,260,660,16.287567850015012,41.3453645423458,-117.00607303205595,-113.67546158513682,2178.2138722968093,80.38617909532034
10,370.9,13,459,490,28.753821704449578,30.695800948105212,0.5410557542876473,0.5410557542876473,-32.01513338980154,-32.01513338980154,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,239,629,14.972033523667646,39.40338529869016,-79.45601771243014,-101.22592428530113,1269.3407516216057,469.5799927521263
11,382.6,13,458,490,28.691177212718753,30.695800948105212,-0.8991227827580812,0.6979629416943984,17.982455655161623,-26.488157180053072,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,221,595,13.84443267251276,37.27347257984204,-67.65975455603531,-110.44277506836329,1115.1460225435637,818.1477849429077
12,418.4,13,458,490,28.691177212718753,30.695800948105212,0.0,-0.22618502678152522,0.0,-7.96426150639174,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,210,559,13.155343263473663,35.018270877532274,-35.872879065659426,-96.42525744986735,678.5887321537748,527.0153749634645
13,452.6,13,458,489,28.691177212718753,30.633156456374387,-0.41815648068560457,-0.1275329372283432,8.533805728277644,15.64821315685197,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,203,522,12.716831821357875,32.700424683491676,-10.984903696280359,-76.71133321366018,406.818710218045,130.53239578253522
14,482.6,12,458,489,28.691177212718753,30.633156456374387,0.0,-0.002495796483299553,0.0,12.478982416499113,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,202,484,12.654187329627048,30.319933997720252,3.6888021472063515,-67.52903445664901,311.8251115212694,40.12702729137789
15,518.6,13,458,489,28.691177212718753,30.633156456374387,0.0,0.0031353787775922418,0.0,12.54151511036614,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,207,447,12.967409788281183,28.002087803679654,13.237338005979364,-66.1034476839437,301.6551215715499,78.21036886734674
16,550.6,12,458,490,28.691177212718753,30.695800948105212,0.0,0.3231624452433492,0.0,-6.450348208450087,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,217,412,13.593854705589452,25.80953059310071,22.45366726359389,-63.678468386200386,275.6011052895926,135.44443743093035
17,583.0,12,458,490,28.691177212718753,30.695800948105212,0.0,0.31181911718357275,0.0,-6.217729156202849,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,233,379,14.596166573282684,23.74226236598342,31.22483543654037,-58.36118570885053,236.7014480272173,142.49944178827312
18,618.3,13,458,490,28.691177212718753,30.695800948105212,0.0,0.314950758801102,0.0,-6.28644229143916,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,252,348,15.786411916168396,21.800283122327784,39.42982992795478,-53.630832483003026,223.77099521832832,171.99254388973822
19,650.8,13,458,490,28.691177212718753,30.695800948105212,0.31589988356548476,0.0,6.305386897514669,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,275,321,17.227235225977417,20.108881845595455,46.49807826671774,-47.30063225306634,204.32725804621313,191.4584793980926
20,683.3,12,458,490,28.691177212718753,30.695800948105212,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,302,297,18.918636502709745,18.60541404405561,52.22537038286138,-40.70571748549006,182.0529875923442,209.55376306437802
21,718.5,13,458,490,28.691177212718753,30.695800948105212,0.0,0.31447785929003397,0.0,6.2770031794417935,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,333,276,20.86061574636538,17.289879717708242,57.03200142570046,-32.52528050831017,127.56975323966957,249.2759585991409
22,750.3,12,459,490,28.753821704449578,30.695800948105212,0.004398353465087908,0.31150153010041465,-12.566724185964857,6.261337288450546,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,365,261,22.865239481751843,16.350212341745838,60.827148651336316,-24.872522085837197,83.69425722250186,259.3578053703323
