frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,130.8,11,169,1008,10.586919102509757,63.14564766467358,,,,,,,,,,,,,,,,,,,,,,,75,85,1009,,,,,,,,,,,,,,,
1,130.8,15,165,1001,10.33634113558645,62.70713622255779,,,,,,,,,,,,,,,,,,,,,,,70,61,1003,,,,,,,,,,,,,,,
2,239.4,15,174,1006,10.900141561163892,63.02035868121193,,,,,,,,,,,,,,,,,,,,,,,20,585,466,,,,,,,,,,,,,,,
3,260.7,12,458,492,28.691177212718753,30.821089931566867,31.945940413660118,-59.14375215454747,-1653.9613820869552,2920.679118743085,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,586,506,36.7096721542646,31.698112815798446,,,,
4,277.3,13,457,492,28.628532720987923,30.821089931566867,24.13344877717939,-42.068237765699685,-1375.1252864489693,2397.0505849401557,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,580,534,36.33380520387964,33.4521585842616,,,,
5,286.5,13,457,493,28.628532720987923,30.883734423297696,190.5149277391912,-347.7691292446505,-7893.164981503084,14205.397803373768,,,,,,,,,,14,906,501,56.755909508129236,31.38489035714431,,,,,,,,,,,,,,15,568,561,35.582071303109714,35.14355986099393,,,,
6,301.2,13,457,492,28.628532720987923,30.821089931566867,-0.9049282730799285,-0.4552521308422154,31.69626175411307,-22.48158670825755,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,550,583,34.45447045195483,36.52173867907212,-70.36334469078105,86.5238058683145,-724.9062736373888,-1608.7934468610752
7,312.4,13,457,492,28.628532720987923,30.821089931566867,0.0,-0.4118013716124246,0.0,-23.464465618941595,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,527,602,33.013647142145814,37.71198402195783,-95.42555952294798,81.9985605601765,-47.53058420247051,-2242.9622519850313
8,335.1,13,456,491,28.565888229257098,30.75844543983604,0.1062189499317448,-0.5127677974360998,57.41564861175318,84.9874413675592,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,500,614,31.322245865413485,38.46371792272776,-108.08481727527293,29.905474821296345,-840.908975496653,-1580.680439481467
9,358.3,13,457,491,28.628532720987923,30.75844543983604,0.0,0.07821736283638453,0.0,41.16703307178117,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,467,620,29.254977638296193,38.83958487311272,-94.41716832931039,5.008486025544638,-117.60944049673881,-1246.3841308191281
10,370.0,13,457,491,28.628532720987923,30.75844543983604,0.0,-0.22707672139913077,0.0,29.878515973569847,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,438,618,27.438287378102213,38.71429588965107,-82.92611635950054,-6.249339075973874,481.53902737772836,-821.2009298257445
11,380.0,13,457,492,28.628532720987923,30.821089931566867,0.9571268925185712,0.9571268925185712,-19.51329036735109,-19.51329036735109,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,409,610,25.62159711790823,38.21313995580445,-99.93083705029798,-15.457770229514209,1204.1152215979878,-439.9540839399396
12,411.6,13,457,492,28.628532720987923,30.821089931566867,0.0,0.7626409830608449,0.0,-15.485096102758272,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,384,596,24.055484824637556,37.33611707157287,-74.24123854177203,-34.38147870031526,874.6799766145015,-231.66332606116805
13,442.8,13,457,492,28.628532720987923,30.821089931566867,0.0,0.49713413863031125,0.0,-9.982613225508262,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,362,576,22.677306006559363,36.08322723695633,-46.015597343080486,-42.65831221564865,532.4862203261193,-179.04558500048532
14,478.1,13,457,492,28.628532720987923,30.821089931566867,0.0,-0.3097520359959911,0.0,-6.315026218063018,,,,,,,,,,8,906,507,56.755909508129236,31.76075730752927,,,,,,,,,,,,,,15,345,552,21.612349647135304,34.579759435416484,-24.04796584517272,-45.65405557000452,342.9361791181234,-175.6684510343786
15,510.1,13,457,492,28.628532720987923,30.821089931566867,0.0,-0.3113235430736341,0.0,-6.321290214693076,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,335,524,20.985904729827034,32.825713666953334,-12.889663940872673,-49.83083408503827,371.03727416518115,-82.02916906011099
16,542.4,13,457,492,28.628532720987923,30.821089931566867,0.0,-0.3130645119500566,0.0,-6.286435982932866,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,331,494,20.735326762903725,30.94637891502852,-0.6846809265152662,-51.1843946741327,377.7731454683631,7.839109930524856
17,578.2,13,457,491,28.628532720987923,30.75844543983604,-0.31197393957128816,-0.3132218340841692,-6.233245545879882,6.2456995829345825,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,334,465,20.92326023809621,29.12968865483454,11.217334984924946,-49.4004492748853,361.66523606864297,100.81542995783958
18,610.0,13,457,491,28.628532720987923,30.75844543983604,-0.3130657690800135,-0.3136928410693112,-6.267582964564836,6.273856821386223,,,,,,,,,,9,914,501,57.25706544197585,31.38489035714431,,,,,,,,,,,,,,14,344,438,21.549705155404478,27.438287378102213,22.233313252585152,-45.44846470768261,332.12543241055124,169.76429172989384
19,642.3,13,457,491,28.628532720987923,30.75844543983604,-0.31400731979278856,-0.3133789911461984,-6.286432828684457,6.280140103130224,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,360,413,22.552017023097708,25.872175084831536,31.696517768321257,-38.88601303393287,270.49910067451043,238.37473672012223
20,678.5,13,456,491,28.565888229257098,30.75844543983604,-0.3111920554689223,0.31558161212141206,6.248836455199243,6.292753980486783,,,,,,,,,,11,913,500,57.19442095024502,31.322245865413485,,,,,,,,,,,,,,14,381,394,23.867551349445076,24.681929741945826,39.556973964631794,-30.6153394655723,203.4322510640958,273.7630308460091
21,710.0,13,456,491,28.565888229257098,30.75844543983604,-0.31400356204229257,0.0,6.248827105319254,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,406,379,25.43366364271575,23.74226236598342,45.27183526162307,-21.013305525796937,128.64500777020717,318.9388919078195
22,742.1,13,456,491,28.565888229257098,30.75844543983604,-0.3168095401236691,0.0,6.2302761086267315,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,432,370,27.06242042771725,23.178461940405978,48.43722463349331,-10.57198430334324,64.98600684396719,329.0406687025152
23,778.1,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0012604424055098972,0.0,-12.604424055103287,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,460,367,28.816466196180404,22.990528465213497,49.95169789432249,0.5930387839101933,5.2971451144325945,352.91123119179184
24,810.5,13,456,491,28.565888229257098,30.75844543983604,0.3135334963614633,0.0,6.23947256440723,0.0,,,,,,,,,,10,907,505,56.81855399986006,31.63546832406762,,,,,,,,,,,,,,14,489,371,30.633156456374387,23.241106432136807,48.07742019030752,11.620665943625875,-72.81247187598946,330.4933761403955
25,843.8,13,456,491,28.565888229257098,30.75844543983604,0.0,0.3225863440652891,0.0,6.343880905905395,,,,,,,,,,11,909,504,56.943842983321716,31.57282383233679,,,,,,,,,,,,,,14,516,380,32.324557733106715,23.804906857714247,44.503077773825474,22.387381057485996,-142.35369336644166,319.12777497160994
26,877.9,13,456,491,28.565888229257098,30.75844543983604,0.3087271988444996,-0.006843115458261371,6.186917812515025,12.442028105929518,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,540,396,33.828025534646564,24.80721872540748,38.52089469453525,31.071170232740247,-234.37135753501894,257.8729661795521
27,910.6,13,457,491,28.628532720987923,30.75844543983604,0.3133777429440823,0.3115077655589929,-6.242584520798455,6.223931379800056,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,560,416,35.0809153692631,26.06010856002402,30.66052941912336,38.39960414608601,-275.1773537220952,204.55034418847845
28,942.4,13,456,492,28.565888229257098,30.821089931566867,0.3054807220589861,0.3218036780776486,6.196363530608235,-6.359756483748001,,,,,,,,,,12,910,500,57.00648747505254,31.322245865413485,0.32180367807763033,0.2401888979843522,-6.35975648374764,56.420843588034245,,,,,,,,,,14,575,440,36.020582745225504,27.563576361563864,21.430262783053642,44.66312061555578,-325.65472429627306,132.71278401560681
29,978.8,13,457,492,28.628532720987923,30.821089931566867,0.30825993836000665,0.30825993836000665,-6.196179665527771,-6.196179665527771,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,583,467,36.52173867907212,29.254977638296193,10.085221173570876,48.19709188361155,-329.26934654752586,81.5902974650723
30,1011.0,13,457,492,28.628532720987923,30.821089931566867,0.0,0.31009896185288394,0.0,-6.25199519864685,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,587,494,36.77231664599543,30.94637891502852,-0.8390833007693876,49.281810969111575,-352.30497137537026,12.226684158644105
31,1043.6,13,457,492,28.628532720987923,30.821089931566867,0.3071974447773219,0.0,-6.1624362041589125,0.0,,,,,,,,,,9,910,505,57.00648747505254,31.63546832406762,0.0,1.5359872238866443,0.0,-30.812181020795265,,,,,,,,,,14,583,523,36.52173867907212,32.763069175222505,-11.785399021232305,47.653132373441984,-330.78127974099925,-73.6216425554054
32,1078.3,13,457,492,28.628532720987923,30.821089931566867,0.0,-0.3129070357828808,0.0,-6.289588658952378,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,573,550,35.89529376176385,34.45447045195483,-21.92870142899503,44.329126116188064,-314.22658516234145,-159.33835309167497
33,1110.2,13,457,492,28.628532720987923,30.821089931566867,0.0,-0.3114965104989292,0.0,-6.2801715826396975,,,,,,,,,,13,908,502,56.88119849159089,31.447534848875137,,,,,,,,,,,,,,14,558,573,34.955626385801445,35.89529376176385,-31.314307082789608,38.76261653615474,-262.11486293955335,-224.30721708116076
34,1143.3,13,457,492,28.628532720987923,30.821089931566867,0.0,-0.31134874504303645,0.0,-6.245712036971641,,,,,,,,,,9,910,505,57.00648747505254,31.63546832406762,0.6226974900861082,-1.5567437252152174,12.49142407394399,-31.228560184858914,,,,,,,,,,14,538,593,33.702736551184906,37.14818359638039,-39.087734780328496,30.775286247470813,-216.90850479453107,-264.95099788534
35,1178.2,13,457,491,28.628532720987923,30.75844543983604,0.0,-0.008666345360478713,0.0,12.380493372113575,,,,,,,,,,8,914,493,57.25706544197585,30.883734423297696,,,,,,,,,,,,,,14,513,608,32.136624257914235,38.0878509723428,-44.73536954579064,21.07508588659422,-142.36336712585864,-306.2079978511443
36,1210.3,13,457,491,28.628532720987923,30.75844543983604,0.0,0.001881219734098076,0.0,12.541464893988902,,,,,,,,,,12,908,502,56.88119849159089,31.447534848875137,,,,,,,,,,,,,,14,487,617,30.507867472912732,38.65165139792024,-48.90053587456083,10.604146102040598,-89.25833969323867,-338.29958479924227
37,1243.6,13,457,491,28.628532720987923,30.75844543983604,0.0,0.008201440048548336,0.0,12.61760007469018,,,,,,,,,,11,912,500,57.131776458514196,31.322245865413485,,,,,,,,,,,,,,14,458,621,28.691177212718753,38.90222936484355,-50.2958937616526,-0.8665404334285501,-6.5841967273854065,-365.9927046251162
38,1279.5,13,457,492,28.628532720987923,30.821089931566867,0.0,0.30518318528294597,0.0,-6.184056439370735,,,,,,,,,,12,907,503,56.81855399986006,31.510179340605966,-0.5289147659946462,3.373305359026723,75.0231933181634,-55.49360474519554,,,,,,,,,,15,429,617,26.87448695252477,38.65165139792024,-48.78148000996658,-12.362606123721925,62.479646214191376,-353.9636114344659
39,1310.1,13,457,492,28.628532720987923,30.821089931566867,0.0,0.31650065708559666,0.0,-6.2364661494698845,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,402,607,25.18308567579244,38.02520648061197,-44.95581538988557,-22.13622845783526,168.31085441618964,-317.82014585959286
40,1342.6,13,457,492,28.628532720987923,30.821089931566867,0.0,0.31750091887995746,0.0,-6.369125754863737,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,378,591,23.679617874252592,37.02289461291874,-39.17463352559537,-32.37827486434143,231.25612068813763,-270.60799094888114
