frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,140.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,643,579,,,,,,,,,,,,,,,
1,245.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,628,604,,,,,,,,,,,,,,,
2,245.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,616,622,,,,,,,,,,,,,,,
5,302.7,13,456,492,28.565888229257098,30.821089931566867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,545,677,34.141247993300695,42.41032090176986,,,,
6,311.6,13,456,492,28.565888229257098,30.821089931566867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,521,686,32.63778019176085,42.9741213273473,,,,
7,321.3,13,456,492,28.565888229257098,30.821089931566867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,495,693,31.009023406759347,43.41263276946309,,,,
8,331.1,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,470,697,29.442911113488673,43.6632107363864,-142.99263709795704,23.210516533381103,1580.405639332562,-1472.2058249070465
9,340.1,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,437,696,27.375642886371384,43.60056624465557,-151.31427703597598,11.321817930381139,2338.3943610074425,-747.9793322066043
10,349.9,12,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,411,692,25.746886101369885,43.34998827773226,-152.82130723269657,-6.096101437889912,2179.685849025251,-273.1282932975267
11,382.5,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,386,685,24.18077380809921,42.911476835616476,-81.88184856408253,-18.322002942434256,797.4460545925165,-143.845516564369
12,417.8,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,362,674,22.677306006559363,42.22238742657738,-51.31885268572448,-23.942011750319466,235.490435652828,-159.71255146651302
13,448.9,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,340,661,21.29912718848117,41.40800903407663,-39.349491041160135,-27.22475176653878,112.67407403609066,-153.71312748325866
14,481.1,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,319,645,19.983592862133804,40.40569716638339,-35.43998714344175,-32.10193358785262,144.57953203305686,-135.6662612331636
15,513.1,13,456,492,28.565888229257098,30.821089931566867,0.0,0.30614733903719366,0.0,6.424917923131032,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,301,626,18.855992010978916,39.21545182349768,-31.84878130535957,-36.965950669728834,173.115469496488,-113.61250455467005
16,549.3,12,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,286,605,17.91632463501651,37.89991749715031,-25.605495274666513,-40.05790792699682,161.11070218888187,-101.92743348204085
17,581.0,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,15,907,498,56.81855399986006,31.19695688195183,,,,,,,,,,,,,,15,274,583,17.164590734246588,36.52173867907212,-20.060716310931582,-43.190149738185475,163.31377792710677,-86.3200480828094
18,613.0,13,456,493,28.565888229257098,30.883734423297696,0.0,0.0,0.0,-12.553993779731506,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,264,558,16.538145816938318,34.955626385801445,-14.109119759195265,-45.46271922407362,182.03290980610078,-56.492972008789295
19,649.2,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,258,533,16.162278866553358,33.389514092530774,-8.14125175299909,-46.7669123838456,188.5238027494046,-32.38697005847508
20,681.2,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,13,910,500,57.00648747505254,31.322245865413485,,,,,,,,,,,,,,14,255,507,15.974345391360877,31.76075730752927,-2.7529152533562185,-46.7911015181628,182.1513130424612,14.444763053321665
21,712.9,13,456,492,28.565888229257098,30.821089931566867,0.0,-0.0031228684725975063,0.0,12.491473890390216,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,256,481,16.036989883091703,30.132000522527772,3.7093665581851454,-47.23102548912783,174.69354299430785,21.091445180877393
22,748.9,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,9,910,505,57.00648747505254,31.63546832406762,,,,,,,,,,,,,,14,260,456,16.287567850015012,28.565888229257098,9.712392575553709,-46.76691238384564,169.62352580732184,32.386970058474304
23,784.6,13,456,492,28.565888229257098,30.821089931566867,0.0,0.33424429108947523,0.0,6.465073328616542,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,266,431,16.663434800399973,26.999775935986424,15.923585652183343,-44.6575490393179,179.09628667783983,26.82317657617377
24,813.3,13,456,493,28.565888229257098,30.883734423297696,0.0,-0.0037511971191877096,0.0,-12.5039903972944,,,,,,,,,,14,907,499,56.81855399986006,31.259601373682656,,,,,,,,,,,,,,14,276,407,17.289879717708242,25.496308134446576,21.015957569837806,-42.21916520646238,170.05926600275728,78.74640905548604
25,848.8,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,14,908,500,56.88119849159089,31.322245865413485,-0.6276990612868507,-1.5692476532171624,12.54143978595106,31.35359946487836,,,,,,,,,,14,289,384,18.104258110208992,24.055484824637556,25.981854924679464,-39.47738474234708,156.0914361371379,113.54951926081627
26,881.4,13,456,493,28.565888229257098,30.883734423297696,0.0,0.016292896278815337,0.0,-13.034317023051667,,,,,,,,,,16,904,496,56.63062052466758,31.071667898490176,,,,,,,,,,,,,,14,304,364,19.0439254861714,22.802594990021017,31.137229285324665,-36.90367926572055,135.23519334574135,133.38074436592004
27,913.1,13,456,492,28.565888229257098,30.821089931566867,0.0,-0.31650065708561415,0.0,6.236466149470229,,,,,,,,,,15,905,497,56.693265016398406,31.134312390221,0.590948484988764,0.2849610351987656,37.000984386313604,30.868971364470667,,,,,,,,,,14,323,346,20.23417082905711,21.67499413886613,34.76471511937253,-31.546038073821308,105.46693739473207,135.14391424393406
28,948.9,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,14,908,500,56.88119849159089,31.322245865413485,-0.3138495306434431,2.510796245147456,-6.270719892975885,50.1657591438053,,,,,,,,,,14,343,330,21.48706066367365,20.6726822711729,38.221986619773354,-26.609553985966333,88.46663968891383,143.54999635118648
29,980.7,13,456,492,28.565888229257098,30.821089931566867,0.0,-0.3168534665681863,0.0,6.324420490382957,,,,,,,,,,15,905,497,56.693265016398406,31.134312390221,0.3168534665681863,0.3168534665681683,-6.324420490382957,-6.324420490382599,,,,,,,,,,14,364,316,22.802594990021017,19.79565938694132,41.41667565919742,-21.743894464261942,71.8030014956031,171.95228285378988
