frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,139.8,47,248,368,15.535833949245088,23.053172956944323,,,,,,,,,,,,,,,,,,,,,,,67,221,94,,,,,,,,,,,,,,,
1,139.8,71,158,275,9.89782969347066,17.227235225977417,,,,,,,,,,,,,,,,,,,,,,,39,235,94,,,,,,,,,,,,,,,
2,242.3,70,157,278,9.835185201739835,17.415168701169897,,,,,,,,,,,,,,,,,,,,,,,17,235,106,,,,,,,,,,,,,,,
3,263.5,28,227,363,14.220299622897722,22.739950498290188,186.76540530579078,103.75606497572778,3191.597132430952,1718.4830820846144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,282.6,24,344,251,21.549705155404478,15.723767424437568,184.96566370218682,354.6664796264787,1447.7576633338106,5114.775429014842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,296.8,13,457,489,28.628532720987923,30.633156456374387,143.8336953835403,102.09930687452977,-7376.086942745656,-5153.489120809776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,316.4,13,456,489,28.565888229257098,30.633156456374387,75.12824838002851,44.76226004423296,-7412.283594652592,-3948.872682519204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,316.4,13,457,489,28.628532720987923,30.633156456374387,95.17801043092037,206.46036620907867,-6760.636555124736,-13884.367938920193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,335.8,13,457,490,28.628532720987923,30.695800948105212,-0.705343970408429,2.2483128892391364,-36.17148566197072,32.92532669230872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,335.8,13,457,491,28.628532720987923,30.75844543983604,2.389359016846937,5.125333497608804,-86.57097887126594,-137.4084047616302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,345.2,13,456,492,28.565888229257098,30.821089931566867,-1.8254157785687897,4.74102709424332,24.287512799103894,-123.91949961003193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,378.3,13,456,492,28.565888229257098,30.821089931566867,-1.0343775724388118,1.5082517978123904,20.68755144877623,-67.75173099474382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,410.4,13,456,491,28.565888229257098,30.75844543983604,-0.48136039590468177,-0.26681642910516756,9.607991934225181,-7.15325547198841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,442.5,13,455,490,28.50324373752627,30.695800948105212,-0.32728208720451724,-0.6545641744090159,6.506602131302528,13.013204262604686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,478.3,13,456,489,28.565888229257098,30.633156456374387,0.0,-0.6273838023321741,0.0,25.039018991852544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,510.6,13,456,490,28.565888229257098,30.695800948105212,-0.31495075880111983,-0.31181538002352743,-6.286442291439516,6.255072818927336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,543.1,13,455,490,28.50324373752627,30.695800948105212,0.31275193176674115,0.31275193176674115,6.217732241883519,6.217732241883519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,578.4,13,456,490,28.565888229257098,30.695800948105212,0.0,0.31337774294408255,0.0,-6.24258452079846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,610.3,13,455,490,28.50324373752627,30.695800948105212,-0.0037587033321806506,0.0,12.529011107265784,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,643.4,13,456,491,28.565888229257098,30.75844543983604,-0.006289740218500813,-0.006289740218500813,-12.579480437003003,-12.579480437003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,678.8,12,456,490,28.565888229257098,30.695800948105212,-0.3166902803092444,-0.3166902803092264,-6.308571320901285,-6.308571320900928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,710.6,13,456,490,28.565888229257098,30.695800948105212,-0.0006233245545888927,0.0,-12.466491091760464,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,742.7,13,455,490,28.50324373752627,30.695800948105212,-0.3166959904010108,-0.3166959904010108,6.327592215804418,6.327592215804418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,778.2,13,455,489,28.50324373752627,30.633156456374387,-0.3160613214433493,-0.0037813576497475413,6.321226428866984,12.604525499160056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,810.8,13,455,490,28.50324373752627,30.695800948105212,-0.012833905272031675,0.0,12.222766925743642,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,842.8,13,455,490,28.50324373752627,30.695800948105212,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,878.2,13,455,490,28.50324373752627,30.695800948105212,0.0,0.3135353682032326,0.0,-6.258190982100454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,913.1,13,456,490,28.565888229257098,30.695800948105212,0.2988246283309619,-0.32897161284687015,-6.129735965763321,-6.431507582539001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,943.0,13,455,490,28.50324373752627,30.695800948105212,0.31495075880111933,-0.31495075880110146,6.286442291439505,-6.2864422914391485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,978.4,13,455,490,28.50324373752627,30.695800948105212,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1010.6,13,456,489,28.565888229257098,30.633156456374387,0.0,-0.014177700466302621,0.0,12.888818605730128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1042.7,13,456,489,28.565888229257098,30.633156456374387,0.3143224296818645,0.3130632515114661,-6.299046687011316,18.884516720979114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
