frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,139.7,,,,,,,,,,16,1091,654,,,,,,
1,139.7,,,,,,,,,,43,629,37,,,,,,
2,252.6,,,,,,,,,,50,1085,497,,,,,,
3,275.3,,,,,,,,,,19,599,8,,,,,,
4,294.2,,,,,,,,,,10,598,3,,,,,,
5,304.5,10,575,108,,,,,,,,,,,,,,,
6,315.5,11,575,108,,,,,,,,,,,,,,,
7,324.6,11,575,108,,,,,,,,,,,,,,,
8,335.4,11,575,108,,,,,,,,,,,,,,,
9,345.1,11,575,107,,,,,,,,,,,,,,,
10,360.5,11,575,107,,,,,,,,,,,,,,,
11,378.6,11,575,107,,,,,,,,,,,,,,,
12,412.3,11,575,107,,,,,,,,,,,,,,,
13,446.7,11,575,108,,,,,,,,,,,,,,,
14,476.8,11,575,107,,,,,,,,,,,,,,,
15,512.6,11,575,108,,,,,,,,,,,,,,,
16,544.6,11,576,108,,,,,,,,,,,,,,,
17,576.8,11,576,108,,,,,,,,,,,,,,,
18,613.0,11,576,108,,,,,,,,,,,,,,,
19,644.6,11,576,108,,,,,,,,,,,,,,,
20,680.1,11,576,108,,,,,,,,,,,,,,,
21,712.6,11,576,108,,,,,,,,,,,,,,,
22,746.4,11,576,108,,,,,,,,,,,,,,,
23,779.1,11,576,108,,,,,,,,,,,,,,,
24,812.6,11,576,108,,,,,,,,,,,,,,,
25,844.4,11,576,108,,,,,,,,,,,,,,,
26,876.4,11,576,108,,,,,,,,,,,,,,,
27,912.6,11,576,108,,,,,,,,,,,,,,,
28,944.4,11,576,108,,,,,,,,,,,,,,,
29,976.5,11,576,108,,,,,,,,,,,,,,,
30,1012.4,11,576,108,,,,,,,,,,,,,,,
31,1044.4,11,576,108,,,,,,,,,,,,,,,
32,1076.8,11,576,108,,,,,,,,,,,,,,,
33,1112.6,11,576,108,,,,,,,,,,,,,,,
34,1144.6,11,576,107,,,,,,,,,,,,,,,
35,1176.4,11,576,107,,,,,,,,,,,,,,,
36,1212.3,11,577,107,,,,,,,,,,,,,,,
37,1244.6,11,577,108,,,,,,,,,,,,,,,
38,1277.2,11,577,107,,,,,,,,,,,,,,,
39,1314.0,11,578,107,,,,,,,,,,,,,,,
40,1344.6,11,578,106,,,,,,,,,,,,,,,
41,1376.5,11,578,106,,,,,,,,,,,,,,,
42,1412.4,11,578,105,,,,,,,,,,,,,,,
43,1444.7,11,578,104,,,,,,,,,,,,,,,
44,1476.5,11,577,103,,,,,,,,,,,,,,,
45,1512.5,11,576,102,,,,,,,,,,,,,,,
46,1544.4,11,576,102,,,,,,,,,,,,,,,
47,1576.8,11,575,102,,,,,,,,,,,,,,,
48,1612.7,11,576,102,,,,,,,,,,,,,,,
49,1644.5,11,576,103,,,,,,,,,,,,,,,
50,1676.5,11,577,103,,,,,,,,,,,,,,,
51,1716.5,11,577,103,,,,,,,,,,,,,,,
52,1745.7,11,577,104,,,,,,,,,,,,,,,
53,1777.0,11,577,104,,,,,,,,,,,,,,,
54,1812.6,11,577,104,,,,,,,,,,,,,,,
55,1844.6,11,578,105,,,,,,,,,,,,,,,
56,1877.1,11,578,105,,,,,,,,,,,,,,,
57,1912.4,11,578,105,,,,,,,,,,,,,,,
58,1944.6,11,578,105,,,,,,,,,,,,,,,
59,1976.6,11,578,105,,,,,,,,,,,,,,,
60,2012.8,11,578,104,,,,,,,,,,,,,,,
61,2044.6,11,578,104,,,,,,,,,,,,,,,
62,2076.5,11,578,103,,,,,,,,,,,,,,,
63,2116.6,11,578,103,,,,,,,,,,,,,,,
64,2153.6,11,579,103,,,,,,,,,,,,,,,
65,2177.2,11,579,103,,,,,,,,,,,,,,,
66,2212.3,11,579,102,,,,,,,,,,,,,,,
67,2250.6,11,578,101,,,,,,,,,,,,,,,
68,2277.1,11,579,101,,,,,,,,,,,,,,,
69,2312.4,11,578,101,,,,,,,,,,,,,,,
70,2344.7,11,579,101,,,,,,,,,,,,,,,
71,2376.7,11,579,101,,,,,,,,,,,,,,,
72,2412.3,11,578,101,,,,,,,,,,,,,,,
73,2444.7,11,579,100,,,,,,,,,,,,,,,
