frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,134.3,,,,,,,,,,,,,,,,,,,7,55,93,,,,,,
1,134.3,,,,,,,,,,,,,,,,,,,50,979,211,,,,,,
2,242.4,,,,,,,,,,,,,,,,,,,51,11,454,,,,,,
3,266.3,12,345,455,,,,,,,,,,,,,,,,,,,,,,,,
4,286.7,12,345,454,,,,,,,,,,,,,,,,,,,,,,,,
5,300.3,,,,,,,,,,9,345,455,,,,,,,7,675,865,,,,,,
6,311.7,,,,,,,,,,9,345,455,,,,,,,7,675,864,,,,,,
7,334.3,,,,,,,,,,9,345,454,,,,,,,8,675,864,,,,,,
8,334.3,,,,,,,,,,9,345,455,,,,,,,7,675,864,,,,,,
9,342.5,,,,,,,,,,9,345,455,,,,,,,8,675,864,,,,,,
10,355.2,,,,,,,,,,9,345,455,,,,,,,8,676,864,,,,,,
11,381.0,,,,,,,,,,9,345,455,,,,,,,8,676,864,,,,,,
12,413.2,,,,,,,,,,9,345,455,,,,,,,8,676,864,,,,,,
13,445.2,,,,,,,,,,9,345,455,,,,,,,8,675,864,,,,,,
14,480.9,,,,,,,,,,9,346,455,,,,,,,8,675,865,,,,,,
15,513.1,,,,,,,,,,9,346,455,,,,,,,7,675,865,,,,,,
16,545.3,,,,,,,,,,9,346,455,,,,,,,7,675,865,,,,,,
17,581.1,,,,,,,,,,9,346,456,,,,,,,7,675,864,,,,,,
18,613.8,,,,,,,,,,9,345,455,,,,,,,7,675,864,,,,,,
19,644.9,,,,,,,,,,9,345,455,,,,,,,8,675,864,,,,,,
20,680.7,,,,,,,,,,9,345,455,,,,,,,8,676,864,,,,,,
21,713.3,,,,,,,,,,9,345,454,,,,,,,8,676,864,,,,,,
22,745.2,,,,,,,,,,9,345,455,,,,,,,8,676,864,,,,,,
23,784.5,,,,,,,,,,8,346,455,,,,,,,8,675,864,,,,,,
24,815.0,,,,,,,,,,9,346,455,,,,,,,8,676,865,,,,,,
25,847.2,,,,,,,,,,9,346,455,,,,,,,7,675,865,,,,,,
26,896.9,,,,,,,,,,9,345,456,,,,,,,8,675,865,,,,,,
27,918.0,,,,,,,,,,9,346,455,,,,,,,7,675,865,,,,,,
28,948.9,,,,,,,,,,9,346,455,,,,,,,7,675,865,,,,,,
29,981.4,,,,,,,,,,9,346,455,,,,,,,7,675,864,,,,,,
30,1014.5,,,,,,,,,,9,345,454,,,,,,,8,675,864,,,,,,
31,1046.4,,,,,,,,,,9,345,455,,,,,,,8,675,863,,,,,,
32,1081.3,,,,,,,,,,9,345,455,,,,,,,7,675,863,,,,,,
33,1131.3,,,,,,,,,,9,345,455,,,,,,,8,676,864,,,,,,
34,1145.4,,,,,,,,,,9,346,456,,,,,,,8,675,864,,,,,,
35,1181.7,,,,,,,,,,9,345,455,,,,,,,7,675,864,,,,,,
36,1213.6,,,,,,,,,,9,345,455,,,,,,,7,675,865,,,,,,
37,1245.6,,,,,,,,,,9,346,455,,,,,,,7,675,865,,,,,,
38,1282.1,,,,,,,,,,8,345,455,,,,,,,7,675,865,,,,,,
39,1313.0,,,,,,,,,,8,345,455,,,,,,,7,675,865,,,,,,
40,1348.6,,,,,,,,,,9,346,456,,,,,,,7,675,864,,,,,,
41,1381.6,,,,,,,,,,9,345,455,,,,,,,8,675,864,,,,,,
42,1413.1,,,,,,,,,,9,345,455,,,,,,,8,675,864,,,,,,
43,1451.6,,,,,,,,,,8,345,456,,,,,,,8,676,864,,,,,,
44,1484.5,,,,,,,,,,9,345,455,,,,,,,8,676,864,,,,,,
45,1513.1,,,,,,,,,,8,345,455,,,,,,,8,675,864,,,,,,
46,1548.5,,,,,,,,,,9,345,455,,,,,,,7,676,864,,,,,,
47,1581.5,,,,,,,,,,9,346,456,,,,,,,8,676,865,,,,,,
48,1613.1,,,,,,,,,,9,346,456,,,,,,,7,675,865,,,,,,
49,1645.0,,,,,,,,,,9,345,455,,,,,,,7,675,865,,,,,,
50,1681.0,,,,,,,,,,9,345,455,,,,,,,8,675,865,,,,,,
51,1712.8,,,,,,,,,,8,345,456,,,,,,,7,675,864,,,,,,
52,1745.8,,,,,,,,,,8,345,455,,,,,,,8,675,864,,,,,,
53,1781.4,,,,,,,,,,8,345,455,,,,,,,8,676,864,,,,,,
54,1813.0,,,,,,,,,,8,345,455,,,,,,,8,675,864,,,,,,
55,1844.8,,,,,,,,,,9,345,455,,,,,,,8,675,863,,,,,,
56,1882.0,,,,,,,,,,9,345,456,,,,,,,8,675,864,,,,,,
57,1913.1,,,,,,,,,,8,345,455,,,,,,,8,675,864,,,,,,
58,1945.1,,,,,,,,,,8,345,455,,,,,,,8,675,864,,,,,,
59,1981.1,,,,,,,,,,8,345,455,,,,,,,7,675,864,,,,,,
60,2013.0,,,,,,,,,,8,345,455,,,,,,,7,675,864,,,,,,
61,2044.9,,,,,,,,,,8,344,454,,,,,,,8,676,863,,,,,,
62,2081.3,,,,,,,,,,8,344,454,,,,,,,7,677,861,,,,,,
63,2113.2,,,,,,,,,,9,344,453,,,,,,,7,678,859,,,,,,
64,2145.1,,,,,,,,,,8,345,454,,,,,,,7,680,857,,,,,,
65,2181.3,,,,,,,,,,8,345,453,,,,,,,7,683,855,,,,,,
66,2213.3,,,,,,,,,,9,346,453,,,,,,,7,685,852,,,,,,
67,2245.3,,,,,,,,,,8,346,451,,,,,,,8,688,849,,,,,,
68,2282.2,,,,,,,,,,8,346,450,,,,,,,8,691,845,,,,,,
69,2316.0,,,,,,,,,,8,346,448,,,,,,,7,695,841,,,,,,
70,2346.1,,,,,,,,,,8,347,447,,,,,,,7,700,836,,,,,,
71,2380.9,,,,,,,,,,8,347,446,,,,,,,7,707,829,,,,,,
72,2416.3,,,,,,,,,,8,347,444,,,,,,,7,713,820,,,,,,
73,2445.0,,,,,,,,,,8,347,441,,,,,,,7,720,810,,,,,,
74,2480.9,,,,,,,,,,8,346,438,,,,,,,7,727,798,,,,,,
75,2514.4,,,,,,,,,,8,345,435,,,,,,,7,737,784,,,,,,
76,2545.1,,,,,,,,,,8,345,433,,,,,,,7,745,770,,,,,,
77,2580.9,,,,,,,,,,8,344,429,,,,,,,7,755,756,,,,,,
78,2613.3,,,,,,,,,,8,345,426,,,,,,,7,762,743,,,,,,
79,2645.3,,,,,,,,,,8,346,423,,,,,,,7,770,730,,,,,,
80,2680.9,,,,,,,,,,8,346,419,,,,,,,7,777,717,,,,,,
81,2713.4,,,,,,,,,,8,347,415,,,,,,,7,784,705,,,,,,
82,2745.2,,,,,,,,,,8,347,411,,,,,,,7,791,693,,,,,,
83,2780.9,,,,,,,,,,8,348,407,,,,,,,7,797,681,,,,,,
84,2815.8,,,,,,,,,,8,349,404,,,,,,,7,803,669,,,,,,
85,2848.6,,,,,,,,,,8,350,399,,,,,,,7,808,657,,,,,,
86,2882.7,,,,,,,,,,8,352,395,,,,,,,7,813,646,,,,,,
87,2913.3,,,,,,,,,,8,353,390,,,,,,,8,817,635,,,,,,
88,2945.0,,,,,,,,,,8,355,386,,,,,,,7,822,625,,,,,,
89,2981.3,,,,,,,,,,8,356,383,,,,,,,7,827,615,,,,,,
90,3012.9,,,,,,,,,,8,358,379,,,,,,,7,832,605,,,,,,
91,3044.8,,,,,,,,,,8,359,375,,,,,,,7,836,596,,,,,,
92,3081.2,,,,,,,,,,8,361,371,,,,,,,7,840,588,,,,,,
93,3113.1,,,,,,,,,,8,362,368,,,,,,,8,844,579,,,,,,
94,3145.3,,,,,,,,,,8,363,365,,,,,,,7,847,571,,,,,,
95,3181.1,,,,,,,,,,8,364,362,,,,,,,8,851,563,,,,,,
96,3220.9,,,,,,,,,,8,365,359,,,,,,,8,854,555,,,,,,
97,3255.2,,,,,,,,,,8,366,356,,,,,,,8,857,547,,,,,,
98,3280.8,,,,,,,,,,8,367,353,,,,,,,7,859,540,,,,,,
99,3312.9,,,,,,,,,,8,368,350,,,,,,,8,861,533,,,,,,
100,3348.9,,,,,,,,,,8,368,347,,,,,,,8,864,527,,,,,,
101,3380.8,,,,,,,,,,8,369,346,,,,,,,8,866,521,,,,,,
102,3414.8,,,,,,,,,,8,370,344,,,,,,,8,868,516,,,,,,
