frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,148.4,7,1029,860,70.25334616992428,58.71513868429046,,,,,,,,,,,,,,,,,,,,,,,49,89,483,6.076334119653315,32.976060447107315,,,,,,,,,,,,,
1,148.4,16,1083,755,73.94011069196112,51.54642989144104,,,,,,,,,,,,,,,,,,,,,,,39,104,470,7.100435375774659,32.08850602513548,,,,,,,,,,,,,
2,250.7,16,1079,719,73.6670170236621,49.08858687674981,,,,,,,,,,,,,,,,,,,,,,,28,956,1018,,,,,,,,,,,,,,,
3,274.1,9,1063,696,72.574642350466,47.518298284030415,-739.5772368735226,163.00544650625454,-12061.16454053558,4010.8408063416055,,,,,,,,,,,,,,,,,,,40,104,469,7.100435375774659,32.020232608060724,,,,,,,,,,,,,
4,289.7,11,1026,862,70.04852591870001,58.85168551843997,-1200.6628387246947,22.041115101010327,-16604.69278432534,-419.8047814251519,,,,,,,,,,,,,,,,,,,40,99,473,6.759068290400878,32.29332627635975,,,,,,,,,,,,,
5,311.2,16,374,870,25.534257985958874,59.39787285503802,-364.2856700178672,77.30000090000811,14257.756165082857,-3077.732900123062,12,142,320,9.694825224615402,21.84749346392203,,,,,12,1020,859,69.63888541625147,58.6468652672157,,,,,,,,,,,,,,14,104,343,7.100435375774659,23.417782056641425,,,,
6,320.3,17,374,869,25.534257985958874,59.32959943796326,-484.8524465523308,122.59237258908786,23088.21174058718,-5760.3245256994705,12,142,320,9.694825224615402,21.84749346392203,,,,,15,1014,859,69.22924491380293,58.6468652672157,,,,,,,,,,,,,,14,104,343,7.100435375774659,23.417782056641425,,,,
7,320.3,16,374,869,25.534257985958874,59.32959943796326,-841.5704519234798,9.720417943667206,40074.783424927606,-385.46954258420186,12,142,320,9.694825224615402,21.84749346392203,,,,,15,1014,859,69.22924491380293,58.6468652672157,,,,,,,,,,,,,,15,103,343,7.032161958699904,23.417782056641425,,,,
8,362.3,17,374,869,25.534257985958874,59.32959943796326,0.0,-0.3000592645282975,0.0,40.548549260580714,12,142,320,9.694825224615402,21.84749346392203,0.0,0.0,0.0,0.0,15,1015,859,69.2975183308777,58.6468652672157,-5.077349610301321,-3.5770532876594925,62.74066068020413,-140.00208562268068,,,,,,,,,,14,103,343,7.032161958699904,23.417782056641425,-0.3000592645282936,0.0,40.548549260580195,0.0
9,362.3,16,374,870,25.534257985958874,59.39787285503802,0.0,0.2628146936154005,0.0,-64.89251694207451,12,142,320,9.694825224615402,21.84749346392203,-0.6214462534517887,0.0,-29.59267873579946,0.0,15,1015,859,69.2975183308777,58.6468652672157,0.26281469361542786,0.0,-64.89251694208126,0.0,,,,,,,,,,14,103,343,7.032161958699904,23.417782056641425,-0.8842609470671777,0.6214462534517887,35.299838206274586,29.59267873579946
10,362.3,17,374,870,25.534257985958874,59.39787285503802,0.0,0.7949806993410995,0.0,-39.55127857418407,13,142,320,9.694825224615402,21.84749346392203,-0.2808713985702927,0.0,-13.37482850334727,0.0,15,1014,859,69.22924491380293,58.6468652672157,0.0,-0.2808713985702927,0.0,-13.37482850334727,,,,,,,,,,14,104,343,7.100435375774659,23.417782056641425,0.7949806993410894,0.0,-39.551278574183556,0.0
11,377.1,16,374,869,25.534257985958874,59.32959943796326,0.0,0.08851415142426386,0.0,11.961371814089702,12,142,320,9.694825224615402,21.84749346392203,-0.08851415142426386,0.0,-11.961371814089702,0.0,15,1014,858,69.22924491380293,58.578591850140945,-4.016794336335377,-3.928280184910695,80.57761958546395,92.53899139954525,,,,,,,,,,14,103,343,7.032161958699904,23.417782056641425,0.0,0.0,0.0,0.0
12,412.4,16,374,869,25.534257985958874,59.32959943796326,0.0,-0.6806907371546282,0.0,27.227629486185094,13,141,320,9.626551807540645,21.84749346392203,-0.9081928086813238,0.0,18.145710463163308,0.0,15,1014,859,69.22924491380293,58.6468652672157,-0.9081928086814184,0.0,18.145710463165198,0.0,,,,,,,,,,14,103,344,7.032161958699904,23.48605547371618,0.0,0.6806907371546282,0.0,-27.227629486185094
13,444.5,16,374,869,25.534257985958874,59.32959943796326,0.0,-0.1478426793103002,0.0,16.61153700115731,13,141,320,9.626551807540645,21.84749346392203,-0.1478426793103002,0.0,16.61153700115731,0.0,15,1014,858,69.22924491380293,58.578591850140945,0.30801728230217185,-0.1478426793103002,7.494337768909291,16.61153700115731,,,,,,,,,,14,103,343,7.032161958699904,23.417782056641425,-0.14784267931029826,0.0,16.611537001157092,0.0
14,476.8,16,374,870,25.534257985958874,59.39787285503802,0.0,0.0013709480207343486,0.0,-13.709480207340043,13,141,320,9.626551807540645,21.84749346392203,-0.3427373486073542,0.0,6.861608580727809,0.0,15,1014,859,69.22924491380293,58.6468652672157,0.0,0.3427373486073542,0.0,-6.861608580727809,,,,,,,,,,14,103,343,7.032161958699904,23.417782056641425,0.34136640058661544,0.0,6.847871626612146,0.0
15,512.5,16,374,870,25.534257985958874,59.39787285503802,0.0,-0.0006820521186290047,0.0,-13.641042372578726,13,141,320,9.626551807540645,21.84749346392203,0.3415376836173478,0.0,6.82392974260435,0.0,15,1014,859,69.22924491380293,58.6468652672157,0.0,-0.3415376836173478,0.0,-6.82392974260435,,,,,,,,,,14,103,343,7.032161958699904,23.417782056641425,0.0,-0.34085563149871884,0.0,6.817112629974375
16,544.5,16,374,870,25.534257985958874,59.39787285503802,0.0,0.0,0.0,-13.654683414951306,12,142,320,9.694825224615402,21.84749346392203,0.3413670853737827,0.0,-6.827341707475653,0.0,15,1015,859,69.2975183308777,58.6468652672157,0.0,0.3413670853737827,-13.654683414952727,-6.827341707475653,,,,,,,,,,14,104,343,7.100435375774659,23.417782056641425,0.0,0.0,-13.654683414951126,0.0
17,576.7,17,374,869,25.534257985958874,59.32959943796326,0.0,-0.345931591920891,0.0,6.7564764047049035,13,141,320,9.626551807540645,21.84749346392203,0.0,0.0,0.0,0.0,15,1014,859,69.22924491380293,58.6468652672157,0.0,0.0,0.0,0.0,,,,,,,,,,14,104,343,7.100435375774659,23.417782056641425,0.016684999715231363,0.0,-13.347999772185396,0.0
18,612.5,16,374,869,25.534257985958874,59.32959943796326,0.0,-0.3439082795577066,0.0,6.776517823797175,13,142,320,9.694825224615402,21.84749346392203,0.3439082795577066,0.0,-6.776517823797175,0.0,15,1014,858,69.22924491380293,58.578591850140945,0.33381861200974783,-0.010089667547993498,6.676372240194955,13.452890063991434,,,,,,,,,,14,103,343,7.032161958699904,23.417782056641425,0.0,0.0,0.0,0.0
