frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,127.6,,,,,,,,,,37,135,128,,,,,,,,,,,,,,,
1,127.6,,,,,,,,,,43,138,134,,,,,,,,,,,,,,,
2,234.7,,,,,,,,,,42,138,133,,,,,,,,,,,,,,,
3,258.2,11,289,828,26.238055232186955,75.17339007699238,,,,,,,,,,,,,,10,228,219,20.699919006708047,19.882816940653782,,,,
4,284.3,11,311,829,28.235415838097378,75.26417919544285,,,,,,,,,,,,,,10,229,220,20.79070812515852,19.973606059104256,,,,
5,297.6,11,332,829,30.14198732555733,75.26417919544285,,,,,,,,,,,,,,10,229,220,20.79070812515852,19.973606059104256,,,,
6,307.3,11,352,827,31.95776969456681,75.0826009585419,114.28837900349394,-17.028770459496968,-89.72507440096892,-618.3179189656814,,,,,,,,,,10,229,221,20.79070812515852,20.06439517755473,0.8055124632518528,0.25908676014994625,-42.50725399745928,-140.0832724085136
7,324.4,11,369,824,33.50118470822486,74.81023360319048,117.41763585035014,-22.040342519116138,-693.1818490288606,-534.6635192121814,,,,,,,,,,10,229,221,20.79070812515852,20.06439517755473,0.0,-0.5294435451552624,0.0,-139.32724872506964
8,334.1,11,384,819,34.86302148498197,74.35628801093812,94.82963317087031,-19.98880141126809,-1891.1653949151791,267.6673792358029,,,,,,,,,,10,229,221,20.79070812515852,20.06439517755473,0.0,0.5093966714026612,0.0,-108.38227051120481
9,345.2,11,399,815,36.22485826173908,73.99313153713622,77.78535661400001,-19.339262402119697,-1836.5557904799782,496.3922227850624,,,,,,,,,,10,229,220,20.79070812515852,19.973606059104256,0.0,-1.5300087119487402,0.0,45.67190184921612
10,356.9,11,407,813,36.951171209342874,73.81155330023527,79.2272176614656,-22.629027764260492,-1656.9977318255699,498.4367348956055,,,,,,,,,,10,229,220,20.79070812515852,19.973606059104256,0.0,-2.0571843422054994,0.0,45.31243044505505
11,380.0,11,410,812,37.223538564694294,73.7207641817848,35.544603077304316,-9.207791195153762,-692.0603172227749,202.0934144946691,,,,,,,,,,10,229,220,20.79070812515852,19.973606059104256,0.2851409232463925,-1.3561331597714505,12.424441100060683,27.095567627801202
12,412.2,11,411,813,37.31432768314477,73.81155330023527,9.72130533156605,-1.6202175552609979,-195.20693436879614,32.53448906146581,,,,,,,,,,10,229,220,20.79070812515852,19.973606059104256,0.3665846420605422,0.3665846420605422,10.942825136135587,10.942825136135587
13,447.7,11,411,813,37.31432768314477,73.81155330023527,2.096184820012963,0.0,-41.92369640025924,0.0,,,,,,,,,,10,229,220,20.79070812515852,19.973606059104256,0.43205723036179144,0.43205723036179144,9.516679082858841,9.516679082858841
14,480.1,11,411,813,37.31432768314477,73.81155330023527,0.4623753930053435,0.4623753930053435,-8.883292853128594,-8.883292853128594,,,,,,,,,,10,230,220,20.881497243608994,19.973606059104256,0.4623753930053435,0.0,-8.883292853128594,0.0
15,511.8,11,411,813,37.31432768314477,73.81155330023527,-0.45303588164665143,-0.45303588164665143,-9.097106057161673,-9.097106057161673,,,,,,,,,,10,230,221,20.881497243608994,20.06439517755473,0.4566820309820111,0.003646149335359686,-9.133640619640229,-18.2307466768019
16,547.7,11,411,813,37.31432768314477,73.81155330023527,-0.9078911845047345,-0.45394559225236725,-18.15782369009468,-9.07891184504734,,,,,,,,,,10,230,221,20.881497243608994,20.06439517755473,-4.336808689942013e-16,-4.336808689942013e-16,-18.157823690094673,-18.157823690094673
