Input Size,Chaining,Probing,Double Hashing
10,27,7,7,
10,4,5,6,
10,4,5,5,
10,3,5,12,
10,5,8,8,
10,4,6,7,
10,4,6,8,
10,5,6,7,
10,4,7,6,
10,4,11,11,
10,10,9,9,
10,7,7,7,
10,7,7,7,
10,5,9,11,
10,7,10,9,
10,6,7,13,
10,7,10,10,
10,5,8,10,
10,7,9,10,
10,7,8,9,
10,5,7,8,
10,4,9,9,
10,5,7,7,
10,4,6,6,
10,4,8,9,
10,6,7,6,
10,4,9,8,
10,5,5,6,
10,7,9,7,
10,4,6,6,
50,56,39,36,
50,49,39,37,
50,52,35,34,
50,49,32,36,
50,43,30,35,
50,49,32,34,
50,49,34,32,
50,44,31,56,
50,83,36,37,
50,50,41,38,
50,47,31,52,
50,51,35,35,
50,52,36,34,
50,47,36,37,
50,51,38,40,
50,52,32,35,
50,44,29,33,
50,50,34,36,
50,48,32,33,
50,50,35,36,
50,49,37,38,
50,48,32,34,
50,44,30,31,
50,43,35,36,
50,48,35,32,
50,45,31,32,
50,43,30,35,
50,53,38,37,
50,49,31,33,
50,44,29,40,
100,101,65,76,
100,100,62,70,
100,103,85,84,
100,111,64,76,
100,99,60,72,
100,96,68,73,
100,116,63,72,
100,99,62,70,
100,106,98,83,
100,102,60,71,
100,97,64,80,
100,111,69,81,
100,100,62,73,
100,102,74,76,
100,92,62,61,
100,99,59,70,
100,89,80,76,
100,91,58,62,
100,101,60,73,
100,91,65,78,
100,91,59,60,
100,97,61,70,
100,86,66,74,
100,100,60,65,
100,102,63,73,
100,97,68,89,
100,98,64,64,
100,105,62,77,
100,99,63,80,
100,92,59,62,
500,433,292,338,
500,435,308,325,
500,437,293,326,
500,425,303,352,
500,421,307,325,
500,414,309,348,
500,429,289,318,
500,421,308,332,
500,418,301,355,
500,435,304,308,
500,427,315,327,
500,421,288,308,
500,423,300,313,
500,413,281,306,
500,447,292,303,
500,414,291,311,
500,421,304,308,
500,419,313,330,
500,411,292,312,
500,425,302,325,
500,414,293,358,
500,419,283,314,
500,409,297,337,
500,422,286,312,
500,477,298,322,
500,427,287,307,
500,408,286,325,
500,419,297,315,
500,427,340,349,
500,413,284,354,
1000,867,572,630,
1000,913,636,632,
1000,849,583,658,
1000,877,652,639,
1000,892,604,660,
1000,891,663,666,
1000,840,586,628,
1000,829,745,631,
1000,841,615,635,
1000,833,599,605,
1000,923,585,622,
