Input Size,Trial,Chaining,Probing,Double Hashing
10,1,0,0,0
10,2,0,0,0
10,3,0,0,0
10,4,0,0,0
10,5,0,0,0
10,6,0,0,0
10,7,0,0,0
10,8,0,0,0
10,9,0,0,0
10,10,0,0,0
50,1,0,0,0
50,2,0,0,0
50,3,0,0,0
50,4,0,0,0
50,5,0,0,0
50,6,0,0,0
50,7,0,0,0
50,8,0,0,0
50,9,0,0,0
50,10,0,0,0
100,1,0,0,0
100,2,0,0,0
100,3,0,0,0
100,4,0,0,0
100,5,0,0,0
100,6,0,0,0
100,7,0,0,0
100,8,0,0,0
100,9,0,0,0
100,10,0,0,0
500,1,1,0,0
500,2,1,0,0
500,3,1,0,0
500,4,1,0,0
500,5,1,0,0
500,6,1,0,0
500,7,1,0,0
500,8,1,0,0
500,9,1,0,0
500,10,1,0,0
1000,1,2,0,0
1000,2,2,0,0
1000,3,2,0,0
1000,4,2,0,0
1000,5,2,0,0
1000,6,2,0,0
1000,7,2,0,0
1000,8,2,0,0
1000,9,2,0,0
1000,10,2,0,0
5000,1,9,4,3
5000,2,9,4,3
5000,3,9,3,3
5000,4,10,3,4
5000,5,9,4,3
5000,6,9,3,3
5000,7,9,3,4
5000,8,8,3,3
5000,9,9,4,3
5000,10,8,3,3
10000,1,19,7,8
10000,2,18,7,7
10000,3,19,7,8
10000,4,19,7,7
10000,5,19,7,8
10000,6,17,7,7
10000,7,17,7,8
10000,8,18,7,7
10000,9,19,7,7
10000,10,19,8,7
50000,1,154,63,62
50000,2,143,57,59
50000,3,146,63,62
50000,4,147,56,58
50000,5,170,58,59
50000,6,141,57,58
50000,7,143,56,59
50000,8,148,56,59
50000,9,147,58,58
50000,10,142,57,66
100000,1,292,122,123
100000,2,303,119,127
100000,3,293,118,122
100000,4,318,140,152
100000,5,292,115,116
100000,6,296,119,122
100000,7,299,115,131
100000,8,298,120,127
100000,9,294,119,122
100000,10,293,119,122
500000,1,1274,564,568
500000,2,1217,548,575
500000,3,1183,575,596
500000,4,1277,554,581
500000,5,1225,540,568
500000,6,1207,523,616
500000,7,1282,619,636
500000,8,1273,585,657
500000,9,1233,605,908
500000,10,1231,639,680
1000000,1,1364,744,858
1000000,2,1375,802,855
1000000,3,1379,744,916
1000000,4,1408,692,716
1000000,5,1350,695,726
1000000,6,1361,704,719
1000000,7,1370,683,755
1000000,8,1389,698,720
1000000,9,1362,691,876
1000000,10,1366,778,838
