position_px_x-green,position_px_y-green,position_px_x-hotpink,position_px_y-hotpink,position_px_x-lightorange,position_px_y-lightorange
,,,,29,263
,,,,1053,11
,,,,119,906
,,,,985,42
,,,,879,39
246,827,62,1008,62,828
245,827,63,1007,63,827
245,827,62,1007,64,828
245,827,63,1006,62,827
245,826,62,1006,63,826
245,826,62,1006,61,826
244,825,62,1006,62,826
244,825,62,1006,60,826
244,824,62,1005,62,825
244,824,62,1005,61,825
243,824,62,1005,62,826
244,824,63,1005,61,826
244,824,63,1005,61,826
244,823,63,1005,60,825
244,823,64,1004,62,825
244,823,64,1004,62,826
245,823,64,1004,62,825
244,823,64,1004,61,825
245,823,64,1004,63,826
245,822,64,1004,62,825
245,823,63,1005,61,825
244,823,63,1004,62,826
243,822,63,1004,62,825
244,823,63,1004,62,826
244,824,63,1004,61,825
244,823,62,1004,61,825
244,823,62,1004,61,825
245,825,61,1004,62,825
245,824,62,1004,62,824
245,825,61,1005,63,825
245,825,62,1005,63,825
246,826,62,1004,64,825
245,826,62,1004,63,826
245,826,62,1004,64,826
246,826,62,1005,64,826
246,827,62,1005,63,826
245,827,62,1006,63,826
245,827,63,1006,64,826
244,827,62,1007,63,827
244,827,62,1006,62,827
244,827,62,1007,62,828
244,827,62,1008,62,828
244,827,62,1008,60,829
244,827,62,1008,61,829
244,828,62,1008,63,831
244,828,63,1010,63,831
245,829,63,1009,62,831
244,829,63,1010,,
245,830,63,1009,62,831
244,830,63,1010,64,831
244,830,63,1009,62,831
245,830,63,1009,63,830
245,829,62,1008,63,829
245,829,62,1008,63,830
244,829,62,1008,63,829
245,828,62,1008,62,829
245,828,62,1007,61,829
245,828,62,1008,63,829
245,827,62,1008,62,829
243,827,63,1009,62,829
243,826,64,1008,61,828
244,826,64,1008,61,829
245,826,64,1007,61,828
245,826,64,1008,61,829
245,825,64,1008,62,828
244,824,64,1007,62,828
245,825,63,1007,61,828
245,824,63,1007,61,827
244,824,63,1006,61,828
244,824,62,1007,62,827
244,824,62,1007,62,827
244,824,62,1007,61,827
244,825,62,1006,61,826
244,825,62,1006,61,827
245,826,62,1006,60,826
245,826,62,1007,62,827
245,826,63,1006,62,827
244,827,63,1006,62,826
245,827,63,1006,63,826
244,827,62,1006,64,826
245,827,63,1006,63,826
245,827,62,1007,64,827
245,827,62,1007,63,827
245,828,63,1007,63,828
245,827,62,1007,63,828
245,828,62,1007,63,828
245,828,62,1008,63,828
245,828,61,1008,62,830
244,829,61,1008,61,830
245,829,61,1009,62,829
245,829,61,1010,62,830
244,829,62,1010,60,831
244,828,62,1010,61,831
245,828,63,1009,62,831
244,828,65,1010,63,832
245,828,64,1009,62,831
245,828,65,1009,61,831
244,827,65,1009,62,830
244,827,64,1009,62,831
244,827,65,1009,62,829
244,827,64,1009,62,830
243,827,64,1009,61,830
243,827,64,1009,,
244,826,63,1008,61,829
244,827,62,1008,63,828
244,827,62,1007,62,828
245,827,62,1006,62,828
244,827,63,1006,62,827
244,828,62,1007,64,829
245,827,63,1007,63,828
245,827,63,1007,62,828
244,827,63,1007,62,828
244,827,63,1007,62,828
244,826,63,1007,62,828
244,826,63,1007,62,829
244,826,63,1007,60,828
244,826,62,1007,62,828
244,827,63,1007,61,829
244,827,62,1007,60,828
244,826,60,1006,62,827
244,825,59,1006,61,826
244,823,,,61,825
243,821,,,61,823
246,818,,,64,818
247,818,,,66,816
248,818,,,68,816
250,818,,,68,816
251,817,,,69,813
251,818,,,70,812
251,816,,,70,811
252,815,,,71,809
252,815,,,72,810
253,815,,,71,809
254,815,,,72,810
257,816,,,74,810
260,816,,,78,809
262,819,,,80,809
265,820,,,84,809
275,825,,,94,813
283,827,,,102,812
304,831,,,124,808
310,831,,,131,806
315,832,,,136,805
316,832,,,137,803
315,831,,,135,803
311,831,,,132,802
306,829,,,126,800
300,824,,,120,800
295,819,,,114,801
289,816,,,108,802
279,806,,,97,803
267,791,,,86,811
255,777,,,78,822
241,758,,,,
201,730,,,,
182,733,,,,
172,749,,,,
174,773,420,843,,
189,802,444,788,,
218,830,455,734,,
,,441,646,,
376,864,424,617,,
,,402,599,,
497,823,382,596,,
549,784,367,606,,
591,737,362,625,,
637,630,391,679,490,530
635,532,473,722,456,541
619,496,529,728,452,562
599,472,588,722,,
576,461,646,703,,
556,463,702,671,,
543,476,749,629,,
542,500,785,580,,
553,528,810,527,,
581,554,823,472,,
669,592,809,381,,
726,594,792,350,,
786,584,769,330,,
845,560,747,325,,
898,525,729,331,,
978,429,721,373,880,276
998,373,738,402,857,258
989,230,862,456,808,281
967,200,921,454,810,305
942,186,955,444,815,325
915,182,969,434,811,339
863,183,995,404,815,364
838,188,1005,384,820,372
818,196,1013,364,828,382
798,206,1019,341,838,387
769,230,1023,290,864,386
758,244,1020,263,878,383
751,257,1014,235,891,375
747,284,991,182,918,352
749,295,976,157,930,335
754,305,957,134,939,315
772,317,913,93,952,270
783,318,888,77,955,246
795,317,862,63,954,219
808,312,833,51,951,191
822,305,806,44,,
835,294,779,39,934,137
847,280,752,38,921,111
858,263,726,40,904,85
857,236,675,52,859,49
848,245,675,51,859,57
838,251,674,50,857,64
818,265,673,49,854,81
808,272,673,49,853,89
797,278,673,50,851,97
786,284,673,50,849,106
764,295,673,51,842,124
742,305,672,52,834,141
730,309,674,54,829,150
719,313,673,55,825,159
707,317,673,57,819,167
694,320,673,58,815,175
634,332,671,72,782,218
622,334,670,75,774,227
610,335,669,79,766,235
597,336,668,82,758,243
585,336,667,86,748,251
573,337,665,90,740,260
561,337,664,95,730,267
549,336,662,99,720,274
537,336,660,104,710,281
524,335,657,109,700,288
512,334,655,114,689,295
501,332,651,120,679,302
487,331,649,125,668,309
476,329,645,130,657,315
465,327,641,136,645,322
452,324,637,142,633,327
440,322,632,148,621,333
429,320,628,154,608,338
417,317,623,160,596,343
406,313,618,167,582,348
395,310,614,174,571,353
384,307,608,180,556,357
373,303,603,186,543,361
361,298,596,193,530,365
351,295,589,200,515,369
329,287,575,214,487,376
318,282,568,221,472,378
309,278,559,227,458,380
299,273,551,235,445,384
288,268,542,242,428,384
278,264,534,248,414,386
269,260,524,255,398,387
259,255,515,262,383,388
249,250,504,269,368,388
240,245,494,275,354,390
230,240,483,282,338,388
202,226,449,301,290,388
193,221,437,307,274,386
185,217,424,313,258,385
176,212,411,319,242,384
167,208,398,325,227,382
159,203,384,330,210,379
150,199,370,336,194,378
142,195,356,341,178,375
134,191,342,345,163,372
118,183,311,354,130,366
109,179,296,359,114,363
101,176,280,364,98,359
94,173,264,368,82,355
85,169,248,370,66,349
76,172,250,366,67,355
67,176,252,360,70,360
64,178,253,357,72,360
67,175,254,356,72,358
69,172,254,356,71,354
71,169,253,354,71,352
74,165,253,354,71,348
76,163,252,354,70,345
78,160,252,353,70,343
80,158,251,351,68,339
81,156,251,350,68,336
82,154,249,350,68,332
,,247,348,65,326
,,246,346,65,324
,,247,344,66,322
,,247,341,66,321
,,249,340,67,319
,,249,337,67,316
,,249,332,67,313
,,247,328,66,309
,,248,326,66,307
,,246,324,65,305
,,246,321,65,304
,,247,318,65,302
,,247,315,66,301
,,248,312,65,300
,,248,309,65,298
,,247,302,65,296
,,247,298,64,295
,,247,294,64,293
,,248,292,66,292
,,250,289,67,291
,,251,288,69,289
,,252,284,71,288
,,253,283,71,286
,,254,280,72,285
,,256,277,74,283
,,256,275,75,281
,,257,272,75,280
,,257,269,75,279
,,258,262,76,272
,,259,260,76,270
,,258,258,77,267
,,258,254,77,264
,,258,251,76,261
,,256,250,74,258
,,255,247,74,255
,,255,246,73,253
,,253,244,73,250
,,252,242,72,248
,,251,241,69,245
,,249,238,66,239
67,49,247,237,66,236
67,48,247,234,65,233
65,46,247,232,66,232
65,43,248,227,67,228
66,42,250,223,67,226
65,41,250,221,68,223
64,39,251,218,68,221
64,37,250,217,69,219
64,33,249,215,68,218
65,32,248,216,66,215
64,30,247,217,65,214
65,32,248,217,66,215
65,32,247,219,65,217
66,32,246,220,65,218
65,32,247,219,64,217
66,33,246,219,64,217
66,34,246,221,65,217
66,35,246,221,66,218
66,35,247,222,65,219
66,35,247,222,65,218
66,35,247,222,67,218
67,35,246,221,63,219
66,35,247,222,64,218
65,36,247,222,66,220
65,35,247,220,65,219
64,35,247,220,65,219
64,35,246,220,65,219
64,34,246,219,65,218
64,35,246,219,65,218
65,33,247,219,65,217
65,33,247,218,65,217
66,32,247,218,65,217
66,32,246,218,65,216
65,31,247,217,65,215
65,30,247,216,65,214
64,29,247,216,64,214
64,29,247,216,65,214
62,29,247,215,65,215
62,30,246,214,65,215
61,29,246,214,63,214
62,29,246,215,63,214
63,30,247,216,66,215
63,30,246,216,64,215
64,30,248,216,65,214
64,31,248,216,66,214
66,31,248,216,66,215
64,32,248,216,65,214
