frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,152.4,11,63,1010,,,,,,,,,,,,,,,,,,,,,,,,,31,29,263,,,,,,
1,152.4,12,60,1009,,,,,,,,,,,,,,,,,,,,,,,,,46,1053,11,,,,,,
2,240.6,9,54,1012,,,,,,,,,,,,,,,,,,,,,,,,,41,119,906,,,,,,
3,260.2,13,62,1009,,,,,,,,,,,,,,,,,,,,,,,,,52,985,42,,,,,,
4,279.1,13,62,1009,,,,,,,,,,,,,,,,,,,,,,,,,6,879,39,,,,,,
5,288.3,,,,,,,,,,9,246,827,,,,,,,9,62,1008,,,,,,,6,62,828,,,,,,
6,300.7,,,,,,,,,,9,245,827,,,,,,,9,63,1007,,,,,,,6,63,827,,,,,,
7,314.2,,,,,,,,,,9,245,827,,,,,,,10,62,1007,,,,,,,5,64,828,,,,,,
8,327.2,,,,,,,,,,9,245,827,,,,,,,9,63,1006,,,,,,,6,62,827,,,,,,
9,345.1,,,,,,,,,,9,245,826,,,,,,,10,62,1006,,,,,,,6,63,826,,,,,,
10,408.6,,,,,,,,,,9,245,826,,,,,,,10,62,1006,,,,,,,7,61,826,,,,,,
11,448.9,,,,,,,,,,9,244,825,,,,,,,9,62,1006,,,,,,,6,62,826,,,,,,
12,477.5,,,,,,,,,,9,244,825,,,,,,,9,62,1006,,,,,,,7,60,826,,,,,,
13,514.0,,,,,,,,,,9,244,824,,,,,,,9,62,1005,,,,,,,5,62,825,,,,,,
14,552.4,,,,,,,,,,9,244,824,,,,,,,9,62,1005,,,,,,,6,61,825,,,,,,
15,578.1,,,,,,,,,,9,243,824,,,,,,,9,62,1005,,,,,,,6,62,826,,,,,,
16,609.5,,,,,,,,,,9,244,824,,,,,,,9,63,1005,,,,,,,7,61,826,,,,,,
17,647.4,,,,,,,,,,9,244,824,,,,,,,9,63,1005,,,,,,,7,61,826,,,,,,
18,677.0,,,,,,,,,,9,244,823,,,,,,,9,63,1005,,,,,,,7,60,825,,,,,,
19,709.8,,,,,,,,,,9,244,823,,,,,,,9,64,1004,,,,,,,6,62,825,,,,,,
20,745.1,,,,,,,,,,9,244,823,,,,,,,9,64,1004,,,,,,,6,62,826,,,,,,
21,776.9,,,,,,,,,,9,245,823,,,,,,,9,64,1004,,,,,,,7,62,825,,,,,,
22,809.5,,,,,,,,,,9,244,823,,,,,,,9,64,1004,,,,,,,7,61,825,,,,,,
23,844.6,,,,,,,,,,9,245,823,,,,,,,9,64,1004,,,,,,,6,63,826,,,,,,
24,876.9,,,,,,,,,,9,245,822,,,,,,,9,64,1004,,,,,,,6,62,825,,,,,,
25,909.3,,,,,,,,,,9,245,823,,,,,,,9,63,1005,,,,,,,7,61,825,,,,,,
26,945.0,,,,,,,,,,9,244,823,,,,,,,9,63,1004,,,,,,,6,62,826,,,,,,
27,979.3,,,,,,,,,,9,243,822,,,,,,,9,63,1004,,,,,,,6,62,825,,,,,,
28,1009.0,,,,,,,,,,9,244,823,,,,,,,9,63,1004,,,,,,,7,62,826,,,,,,
29,1047.3,,,,,,,,,,9,244,824,,,,,,,9,63,1004,,,,,,,6,61,825,,,,,,
30,1079.3,,,,,,,,,,9,244,823,,,,,,,9,62,1004,,,,,,,7,61,825,,,,,,
31,1110.8,,,,,,,,,,10,244,823,,,,,,,9,62,1004,,,,,,,7,61,825,,,,,,
32,1176.4,,,,,,,,,,9,245,825,,,,,,,9,61,1004,,,,,,,7,62,825,,,,,,
33,1209.1,,,,,,,,,,9,245,824,,,,,,,9,62,1004,,,,,,,7,62,824,,,,,,
34,1245.3,,,,,,,,,,9,245,825,,,,,,,9,61,1005,,,,,,,7,63,825,,,,,,
35,1277.3,,,,,,,,,,9,245,825,,,,,,,9,62,1005,,,,,,,7,63,825,,,,,,
36,1310.1,,,,,,,,,,9,246,826,,,,,,,9,62,1004,,,,,,,7,64,825,,,,,,
37,1344.7,,,,,,,,,,9,245,826,,,,,,,9,62,1004,,,,,,,7,63,826,,,,,,
38,1377.2,,,,,,,,,,9,245,826,,,,,,,9,62,1004,,,,,,,7,64,826,,,,,,
39,1408.9,,,,,,,,,,9,246,826,,,,,,,9,62,1005,,,,,,,7,64,826,,,,,,
40,1444.7,,,,,,,,,,9,246,827,,,,,,,9,62,1005,,,,,,,7,63,826,,,,,,
41,1476.7,,,,,,,,,,10,245,827,,,,,,,9,62,1006,,,,,,,7,63,826,,,,,,
42,1508.9,,,,,,,,,,9,245,827,,,,,,,9,63,1006,,,,,,,6,64,826,,,,,,
43,1545.3,,,,,,,,,,9,244,827,,,,,,,9,62,1007,,,,,,,6,63,827,,,,,,
44,1576.8,,,,,,,,,,9,244,827,,,,,,,9,62,1006,,,,,,,7,62,827,,,,,,
45,1609.2,,,,,,,,,,9,244,827,,,,,,,9,62,1007,,,,,,,6,62,828,,,,,,
46,1647.3,,,,,,,,,,9,244,827,,,,,,,9,62,1008,,,,,,,6,62,828,,,,,,
47,1708.6,,,,,,,,,,10,244,827,,,,,,,9,62,1008,,,,,,,7,60,829,,,,,,
48,1744.7,,,,,,,,,,10,244,827,,,,,,,9,62,1008,,,,,,,6,61,829,,,,,,
49,1777.3,,,,,,,,,,9,244,828,,,,,,,9,62,1008,,,,,,,5,63,831,,,,,,
50,1844.6,,,,,,,,,,9,244,828,,,,,,,9,63,1010,,,,,,,6,63,831,,,,,,
51,1877.1,,,,,,,,,,9,245,829,,,,,,,8,63,1009,,,,,,,6,62,831,,,,,,
52,1909.9,,,,,,,,,,9,244,829,,,,,,,8,63,1010,,,,,,,,,,,,,,,
53,1976.6,,,,,,,,,,9,245,830,,,,,,,8,63,1009,,,,,,,7,62,831,,,,,,
54,2009.1,,,,,,,,,,9,244,830,,,,,,,8,63,1010,,,,,,,6,64,831,,,,,,
55,2047.2,,,,,,,,,,9,244,830,,,,,,,9,63,1009,,,,,,,7,62,831,,,,,,
56,2076.9,,,,,,,,,,9,245,830,,,,,,,9,63,1009,,,,,,,6,63,830,,,,,,
57,2110.6,,,,,,,,,,9,245,829,,,,,,,9,62,1008,,,,,,,7,63,829,,,,,,
58,2145.1,,,,,,,,,,9,245,829,,,,,,,9,62,1008,,,,,,,6,63,830,,,,,,
59,2177.4,,,,,,,,,,9,244,829,,,,,,,9,62,1008,,,,,,,6,63,829,,,,,,
60,2209.1,,,,,,,,,,9,245,828,,,,,,,9,62,1008,,,,,,,7,62,829,,,,,,
61,2245.0,,,,,,,,,,9,245,828,,,,,,,9,62,1007,,,,,,,7,61,829,,,,,,
62,2280.3,,,,,,,,,,9,245,828,,,,,,,9,62,1008,,,,,,,6,63,829,,,,,,
63,2308.9,,,,,,,,,,10,245,827,,,,,,,9,62,1008,,,,,,,6,62,829,,,,,,
64,2344.6,,,,,,,,,,9,243,827,,,,,,,9,63,1009,,,,,,,5,62,829,,,,,,
65,2408.4,,,,,,,,,,9,243,826,,,,,,,9,64,1008,,,,,,,6,61,828,,,,,,
66,2444.5,,,,,,,,,,10,244,826,,,,,,,9,64,1008,,,,,,,6,61,829,,,,,,
67,2476.8,,,,,,,,,,9,245,826,,,,,,,10,64,1007,,,,,,,6,61,828,,,,,,
68,2514.3,,,,,,,,,,9,245,826,,,,,,,9,64,1008,,,,,,,6,61,829,,,,,,
69,2547.1,,,,,,,,,,9,245,825,,,,,,,9,64,1008,,,,,,,6,62,828,,,,,,
70,2579.3,,,,,,,,,,9,244,824,,,,,,,9,64,1007,,,,,,,6,62,828,,,,,,
71,2610.7,,,,,,,,,,9,245,825,,,,,,,9,63,1007,,,,,,,7,61,828,,,,,,
72,2644.6,,,,,,,,,,9,245,824,,,,,,,9,63,1007,,,,,,,7,61,827,,,,,,
73,2676.6,,,,,,,,,,9,244,824,,,,,,,9,63,1006,,,,,,,7,61,828,,,,,,
74,2709.9,,,,,,,,,,9,244,824,,,,,,,9,62,1007,,,,,,,6,62,827,,,,,,
75,2744.7,,,,,,,,,,10,244,824,,,,,,,9,62,1007,,,,,,,6,62,827,,,,,,
76,2776.4,,,,,,,,,,9,244,824,,,,,,,9,62,1007,,,,,,,7,61,827,,,,,,
77,2808.9,,,,,,,,,,9,244,825,,,,,,,9,62,1006,,,,,,,6,61,826,,,,,,
78,2845.5,,,,,,,,,,9,244,825,,,,,,,9,62,1006,,,,,,,6,61,827,,,,,,
79,2877.1,,,,,,,,,,10,245,826,,,,,,,9,62,1006,,,,,,,7,60,826,,,,,,
80,2913.1,,,,,,,,,,9,245,826,,,,,,,9,62,1007,,,,,,,6,62,827,,,,,,
81,2944.7,,,,,,,,,,9,245,826,,,,,,,9,63,1006,,,,,,,7,62,827,,,,,,
82,2977.3,,,,,,,,,,10,244,827,,,,,,,9,63,1006,,,,,,,7,62,826,,,,,,
83,3010.1,,,,,,,,,,9,245,827,,,,,,,9,63,1006,,,,,,,7,63,826,,,,,,
84,3044.5,,,,,,,,,,9,244,827,,,,,,,9,62,1006,,,,,,,6,64,826,,,,,,
85,3076.5,,,,,,,,,,9,245,827,,,,,,,9,63,1006,,,,,,,7,63,826,,,,,,
86,3109.3,,,,,,,,,,9,245,827,,,,,,,9,62,1007,,,,,,,6,64,827,,,,,,
87,3144.7,,,,,,,,,,9,245,827,,,,,,,9,62,1007,,,,,,,6,63,827,,,,,,
88,3177.6,,,,,,,,,,9,245,828,,,,,,,9,63,1007,,,,,,,6,63,828,,,,,,
89,3211.1,,,,,,,,,,9,245,827,,,,,,,9,62,1007,,,,,,,7,63,828,,,,,,
90,3246.6,,,,,,,,,,9,245,828,,,,,,,9,62,1007,,,,,,,6,63,828,,,,,,
91,3276.9,,,,,,,,,,9,245,828,,,,,,,9,62,1008,,,,,,,5,63,828,,,,,,
92,3309.0,,,,,,,,,,9,245,828,,,,,,,9,61,1008,,,,,,,6,62,830,,,,,,
93,3344.7,,,,,,,,,,9,244,829,,,,,,,8,61,1008,,,,,,,6,61,830,,,,,,
94,3376.6,,,,,,,,,,9,245,829,,,,,,,8,61,1009,,,,,,,6,62,829,,,,,,
95,3409.1,,,,,,,,,,9,245,829,,,,,,,8,61,1010,,,,,,,7,62,830,,,,,,
96,3444.7,,,,,,,,,,9,244,829,,,,,,,9,62,1010,,,,,,,7,60,831,,,,,,
97,3508.4,,,,,,,,,,9,244,828,,,,,,,8,62,1010,,,,,,,7,61,831,,,,,,
98,3544.7,,,,,,,,,,9,245,828,,,,,,,8,63,1009,,,,,,,7,62,831,,,,,,
99,3577.1,,,,,,,,,,9,244,828,,,,,,,8,65,1010,,,,,,,6,63,832,,,,,,
100,3608.9,,,,,,,,,,9,245,828,,,,,,,8,64,1009,,,,,,,7,62,831,,,,,,
101,3644.4,,,,,,,,,,9,245,828,,,,,,,9,65,1009,,,,,,,7,61,831,,,,,,
102,3677.4,,,,,,,,,,9,244,827,,,,,,,9,65,1009,,,,,,,6,62,830,,,,,,
103,3708.6,,,,,,,,,,9,244,827,,,,,,,8,64,1009,,,,,,,7,62,831,,,,,,
104,3744.9,,,,,,,,,,9,244,827,,,,,,,9,65,1009,,,,,,,6,62,829,,,,,,
105,3777.3,,,,,,,,,,10,244,827,,,,,,,8,64,1009,,,,,,,6,62,830,,,,,,
106,3809.1,,,,,,,,,,9,243,827,,,,,,,9,64,1009,,,,,,,7,61,830,,,,,,
107,3844.6,,,,,,,,,,10,243,827,,,,,,,8,64,1009,,,,,,,,,,,,,,,
