frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,146.8,,,,,,,,,,39,451,4,,,,,,
1,146.8,,,,,,,,,,49,473,4,,,,,,
2,261.9,,,,,,,,,,41,466,5,,,,,,
3,261.9,,,,,,,,,,28,1055,986,,,,,,
4,277.8,,,,,,,,,,24,1060,985,,,,,,
195,6640.6,5,407,1,,,,,,,,,,,,,,,
206,7008.7,9,433,77,,,,,,,,,,,,,,,
207,7043.7,9,433,76,,,,,,,,,,,,,,,
208,7073.4,9,433,78,,,,,,,,,,,,,,,
209,7108.8,10,434,84,,,,,,,,,,,,,,,
210,7140.9,9,434,83,,,,,,,,,,,,,,,
211,7173.2,10,435,85,,,,,,,,,,,,,,,
212,7208.7,10,435,85,,,,,,,,,,,,,,,
213,7272.6,10,436,86,,,,,,,,,,,,,,,
214,7308.5,10,436,86,,,,,,,,,,,,,,,
215,7340.7,10,436,86,,,,,,,,,,,,,,,
216,7372.9,10,436,87,,,,,,,,,,,,,,,
217,7408.8,9,436,88,,,,,,,,,,,,,,,
218,7441,10,437,90,,,,,,,,,,,,,,,
219,7472.9,10,437,92,,,,,,,,,,,,,,,
220,7509.1,9,437,96,,,,,,,,,,,,,,,
221,7573.1,10,437,105,,,,,,,,,,,,,,,
222,7609.1,9,437,111,,,,,,,,,,,,,,,
223,7641.1,10,438,118,,,,,,,,,,,,,,,
224,7673.1,10,439,125,,,,,,,,,,,,,,,
225,7709.3,10,439,133,,,,,,,,,,,,,,,
226,7747.1,10,440,142,,,,,,,,,,,,,,,
227,7773.5,10,441,152,,,,,,,,,,,,,,,
228,7809,10,442,162,,,,,,,,,,,,,,,
229,7841.3,10,443,174,,,,,,,,,,,,,,,
230,7873.2,10,444,186,,,,,,,,,,,,,,,
231,7908.7,10,444,199,,,,,,,,,,,,,,,
232,7940.8,10,446,212,,,,,,,,,,,,,,,
233,7973.6,10,447,226,,,,,,,,,,,,,,,
234,8008.7,10,448,241,,,,,,,,,,,,,,,
235,8042.9,10,449,257,,,,,,,,,,,,,,,
236,8072.8,10,451,273,,,,,,,,,,,,,,,
237,8108.9,10,452,290,,,,,,,,,,,,,,,
238,8140.8,10,454,308,,,,,,,,,,,,,,,
239,8173.1,10,455,326,,,,,,,,,,,,,,,
240,8208.9,10,456,345,,,,,,,,,,,,,,,
241,8241,10,458,365,,,,,,,,,,,,,,,
242,8273,10,460,385,,,,,,,,,,,,,,,
243,8308.9,9,461,403,,,,,,,,,,,,,,,
244,8340.7,8,462,430,,,,,,,,,,,,,,,
245,8373.3,7,466,447,,,,,,,,,,,,,,,
246,8409.3,10,467,472,,,,,,,,,,,,,,,
346,11809.2,5,595,934,,,,,,,,,,,,,,,
367,12508.9,6,615,932,,,,,,,,,,,,,,,
376,12808.8,8,623,917,,,,,,,,,,,,,,,
377,12841.3,9,624,918,,,,,,,,,,,,,,,
378,12873,8,625,920,,,,,,,,,,,,,,,
379,12908.6,8,626,923,,,,,,,,,,,,,,,
382,13008.9,6,629,924,,,,,,,,,,,,,,,
