frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,142.7,,,,,,,,,,,,,,,,,,,7,431,947,,,,,,
1,142.7,,,,,,,,,,,,,,,,,,,13,424,946,,,,,,
2,234.7,,,,,,,,,,,,,,,,,,,13,409,947,,,,,,
3,257.8,,,,,,,,,,,,,,,,,,,13,1055,11,,,,,,
4,276.9,,,,,,,,,,,,,,,,,,,5,1060,16,,,,,,
5,291.7,6,845,519,,,,,,,8,734,592,,,,,,,,,,,,,,,
6,303.2,6,845,519,,,,,,,,,,,,,,,,,,,,,,,,
7,317.1,6,845,519,,,,,,,8,733,592,,,,,,,,,,,,,,,
8,326.8,6,844,519,,,,,,,8,732,592,,,,,,,,,,,,,,,
9,337.1,6,845,519,,,,,,,8,733,592,,,,,,,,,,,,,,,
10,347.8,7,845,519,,,,,,,8,734,592,,,,,,,,,,,,,,,
11,377.4,6,845,518,,,,,,,8,734,592,,,,,,,,,,,,,,,
12,415.2,6,845,518,,,,,,,8,734,592,,,,,,,,,,,,,,,
13,445.4,6,845,518,,,,,,,8,734,592,,,,,,,,,,,,,,,
14,479.9,6,845,519,,,,,,,8,734,593,,,,,,,,,,,,,,,
15,532.7,6,845,519,,,,,,,8,734,592,,,,,,,,,,,,,,,
16,547.4,6,845,519,,,,,,,8,734,592,,,,,,,,,,,,,,,
17,579.4,6,845,518,,,,,,,8,734,592,,,,,,,,,,,,,,,
18,623.5,6,845,518,,,,,,,,,,,,,,,,,,,,,,,,
19,645.9,6,845,518,,,,,,,7,734,592,,,,,,,,,,,,,,,
20,677.4,6,845,518,,,,,,,7,734,592,,,,,,,,,,,,,,,
21,710.3,6,845,518,,,,,,,6,733,589,,,,,,,,,,,,,,,
22,745.8,6,845,519,,,,,,,5,734,595,,,,,,,,,,,,,,,
23,809.4,6,845,518,,,,,,,,,,,,,,,,,,,,,,,,
24,845.2,6,845,519,,,,,,,,,,,,,,,,,,,,,,,,
25,877.3,6,845,518,,,,,,,7,735,592,,,,,,,,,,,,,,,
26,909.5,6,845,518,,,,,,,,,,,,,,,,,,,,,,,,
27,945.3,6,845,518,,,,,,,,,,,,,,,,,,,,,,,,
28,977.5,6,845,518,,,,,,,7,732,592,,,,,,,,,,,,,,,
29,1010,6,845,518,,,,,,,,,,,,,,,,,,,,,,,,
30,1045.3,6,845,518,,,,,,,,,,,,,,,,,,,,,,,,
31,1077.3,6,845,518,,,,,,,,,,,,,,,,,,,,,,,,
32,1109.7,6,845,518,,,,,,,,,,,,,,,,,,,,,,,,
33,1145.5,6,845,518,,,,,,,,,,,,,,,,,,,,,,,,
34,1177.5,6,845,518,,,,,,,6,735,592,,,,,,,,,,,,,,,
35,1211.5,6,845,519,,,,,,,7,735,592,,,,,,,,,,,,,,,
36,1245.4,6,845,518,,,,,,,,,,,,,,,,,,,,,,,,
37,1279.8,6,845,519,,,,,,,,,,,,,,,,,,,,,,,,
38,1345.1,6,845,518,,,,,,,7,733,592,,,,,,,,,,,,,,,
39,1377.4,6,845,519,,,,,,,7,734,592,,,,,,,,,,,,,,,
40,1410.3,6,845,519,,,,,,,8,733,592,,,,,,,,,,,,,,,
41,1446.5,6,845,518,,,,,,,8,735,592,,,,,,,,,,,,,,,
42,1478.5,6,845,518,,,,,,,7,734,592,,,,,,,,,,,,,,,
43,1512.5,6,845,518,,,,,,,8,734,592,,,,,,,,,,,,,,,
44,1546,6,845,518,,,,,,,8,733,592,,,,,,,,,,,,,,,
45,1577.2,6,845,519,,,,,,,8,733,592,,,,,,,,,,,,,,,
