frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,132.3,,,,,,,,,,35,996,988,,,,,,,,,,,,,,,
1,132.3,,,,,,,,,,40,1004,995,,,,,,,,,,,,,,,
2,253.3,,,,,,,,,,49,297,871,,,,,,,,,,,,,,,
3,275.2,,,,,,,,,,44,1058,912,,,,,,,,,,,,,,,
4,293.2,,,,,,,,,,44,1060,913,,,,,,,,,,,,,,,
5,313.8,9,937,960,,,,,,,8,957,991,,,,,,,,,,,,,,,
6,327.8,7,938,961,,,,,,,34,924,938,,,,,,,,,,,,,,,
7,338.6,7,937,961,,,,,,,28,928,931,,,,,,,,,,,,,,,
8,350.3,7,937,961,,,,,,,31,926,935,,,,,,,,,,,,,,,
9,359.2,7,936,961,,,,,,,34,924,939,,,,,,,,,,,,,,,
10,369.1,7,936,961,,,,,,,31,926,935,,,,,,,,,,,,,,,
11,379.7,7,936,960,,,,,,,37,924,943,,,,,,,,,,,,,,,
12,406.9,7,936,961,,,,,,,33,924,937,,,,,,,,,,,,,,,
13,441.5,8,936,960,,,,,,,37,923,944,,,,,,,,,,,,,,,
14,472.0,6,937,961,,,,,,,34,924,940,,,,,,,,,,,,,,,
15,507.0,7,936,961,,,,,,,37,923,943,,,,,,,,,,,,,,,
16,538.5,8,936,961,,,,,,,40,924,949,,,,,,,,,,,,,,,
17,571.1,8,936,960,,,,,,,39,923,948,,,,,,,,,,,,,,,
18,608.0,7,936,961,,,,,,,40,924,949,,,,,,,,,,,,,,,
19,638.5,7,936,960,,,,,,,36,923,941,,,,,,,,,,,,,,,
20,670.9,8,936,960,,,,,,,39,923,948,,,,,,,,,,,,,,,
21,706.8,7,936,960,,,,,,,41,925,951,,,,,,,,,,,,,,,
22,739.4,8,936,961,,,,,,,37,923,942,,,,,,,,,,,,,,,
23,777.8,7,936,961,,,,,,,39,923,947,,,,,,,,,,,,,,,
24,811.6,7,936,961,,,,,,,40,924,948,,,,,,,,,,,,,,,
25,842.5,7,935,961,,,,,,,39,922,946,,,,,,,,,,,,,,,
26,871.1,7,934,960,,,,,,,39,921,947,,,,,,,,,,,,,,,
27,906.5,8,935,960,,,,,,,39,921,947,,,,,,,,,,,,,,,
28,938.9,8,935,960,,,,,,,38,921,945,,,,,,,,,,,,,,,
29,971.0,7,935,960,,,,,,,39,923,947,,,,,,,,,,,,,,,
30,1038.3,7,936,961,,,,,,,40,924,950,,,,,,,,,,,,,,,
31,1070.7,7,935,960,,,,,,,39,922,946,,,,,,,,,,,,,,,
32,1107.8,7,935,961,,,,,,,39,922,946,,,,,,,,,,,,,,,
33,1170.7,7,936,960,,,,,,,39,923,946,,,,,,,,,,,,,,,
34,1206.4,7,936,960,,,,,,,42,932,958,,,,,,,,,,,,,,,
35,1240.8,7,936,960,,,,,,,41,925,951,,,,,,,,,,,,,,,
36,1270.3,7,936,960,,,,,,,40,924,950,,,,,,,,,,,,,,,
37,1306.4,7,935,961,,,,,,,39,921,946,,,,,,,,,,,,,,,
38,1338.6,8,935,961,,,,,,,36,934,942,,,,,,,,,,,,,,,
39,1372.7,7,935,960,,,,,,,39,922,948,,,,,,,,,,,,,,,
40,1406.7,8,935,961,,,,,,,40,921,947,,,,,,,,,,,,,,,
41,1445.4,8,935,961,,,,,,,40,923,951,,,,,,,,,,,,,,,
42,1470.5,8,935,961,,,,,,,42,930,959,,,,,,,,,,,,,,,
43,1508.6,7,936,960,,,,,,,38,921,946,,,,,,,,,,,,,,,
44,1538.6,6,936,960,,,,,,,41,924,953,,,,,,,,,,,,,,,
