frame_no,timestamp,position_px_x-darkorange,position_px_y-darkorange,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,position_px_x-hotpink,position_px_y-hotpink,position_px_x-yellowneon,position_px_y-yellowneon
17,582.1,353.0,870.0,5.59842020013002,18.229002358959946,0.3406850332551536,-0.0013654697069647,6.82052118628936,13.654697069647655,991.0,858.0,81.0,342.0
18,614.2,353.0,870.0,5.59842020013002,18.229002358959946,1.026151508886356,1.024786039179373,20.50252765007704,6.847830580428309,992.0,858.0,81.0,342.0
21,714.1,353.0,870.0,5.80324045135429,18.36554919310945,1.0362911252835971,2.013678481934894,-20.29953232680895,12.94981592118372,992.0,858.0,82.0,343.0
25,845.9,352.0,870.0,5.734967034279533,18.63864286140848,1.0144229886020757,1.3709797599533091,20.369939530162156,-13.76402540542087,991.0,858.0,81.0,341.0
26,882.2,353.0,870.0,5.80324045135429,18.70691627848324,1.3665050679783315,0.7124727711755481,13.579446311857565,-0.6078052456865353,992.0,858.0,81.0,342.0
28,946.4,353.0,870.0,5.939787285503802,18.70691627848324,1.3613227838879285,0.947654518692726,-13.466461017010843,5.339642494762488,991.0,858.0,82.0,342.0
30,1014.2,353.0,870.0,6.008060702578558,18.775189695557994,1.0241012561213485,0.6827341707475654,-6.827341707475653,0.0,991.0,858.0,82.0,342.0
32,1082.3,353.0,870.0,6.008060702578558,18.84346311263275,1.027180743991832,1.0258125392408388,20.543614879836635,6.86156736986547,991.0,858.0,81.0,342.0
33,1114.2,353.0,870.0,6.076334119653315,18.84346311263275,1.9271561426715988,1.6117932506482788,24.88843943848066,18.581181598014265,991.0,858.0,82.0,342.0
34,1147.0,353.0,870.0,6.076334119653315,18.911736529707508,2.693551015411053,2.0364956699101806,42.82519405130501,28.320661038040704,991.0,858.0,81.0,342.0
35,1182.1,353.0,870.0,6.212880953802827,18.980009946782264,3.384057540422825,2.368027483394401,26.68838504864021,20.036527703352235,992.0,858.0,81.0,342.0
36,1219.6,353.0,870.0,6.417701205027097,19.116556780931777,3.813976831402782,2.74691008416328,10.914609683553222,2.958037254262838,991.0,858.0,82.0,342.0
37,1246.2,353.0,870.0,6.554248039176609,19.25310361508129,4.1144694089319,2.407026152474241,-14.17764579483636,-20.8502884057008,991.0,858.0,82.0,342.0
