frame_no,timestamp,position_px_x-darkorange,position_px_y-darkorange,position_px_x-green,position_px_y-green,position_px_x-hotpink,position_px_y-hotpink,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
8,376.3,308,768,338.0,561.0,932.0,748.0,1.906571487459951,29.971303782870432,0.0,0.0,0.0,0.0
9,386.8,309,768,338.0,561.0,932.0,748.0,1.906571487459951,29.971303782870432,0.0,0.0,0.0,0.0
10,407.3,309,768,338.0,561.0,932.0,749.0,1.906571487459951,29.971303782870432,0.0,0.0,0.0,0.0
11,443.0,309,768,339.0,561.0,933.0,748.0,1.906571487459951,29.971303782870432,0.0,0.0,0.0,0.0
12,475.1,308,768,338.0,562.0,934.0,747.0,1.906571487459951,29.971303782870432,0.2315716341940243,0.0,5.245110627271218,0.0
13,543.0,309,768,339.0,561.0,932.0,748.0,1.906571487459951,29.971303782870432,0.4390695814141966,0.0,6.471180271395679,0.0
15,607.1,309,768,338.0,562.0,934.0,747.0,1.9828343469583487,29.971303782870432,0.2529497043400999,0.0,-4.921200473542801,0.0
16,643.0,308,768,338.0,561.0,932.0,748.0,1.9828343469583487,29.971303782870432,0.3820754038742098,0.0,-7.611063822195416,0.0
19,743.4,309,768,338.0,561.0,931.0,748.0,1.9828343469583487,29.971303782870432,0.0,0.0,0.0,0.0
20,807.6,309,768,338.0,561.0,932.0,748.0,1.9828343469583487,29.971303782870432,0.2469812468341407,0.0,-4.949523984652122,0.0
22,875.8,308,768,338.0,561.0,932.0,748.0,1.9828343469583487,29.971303782870432,0.0,0.4350972840075373,0.0,6.572466525793616
23,907.4,309,768,338.0,561.0,931.0,748.0,1.9828343469583487,29.971303782870432,0.3815048587866849,0.3815048587866738,7.645387951636977,7.645387951636755
24,943.1,309,768,338.0,561.0,932.0,748.0,1.9828343469583487,29.971303782870432,0.5271138462313872,-0.351409230820931,10.584615386172434,-7.056410257448412
26,1007.3,309,768,338.0,561.0,931.0,748.0,2.059097206456747,30.047566642368828,0.3290932426748356,0.486575800043903,-8.694669555477804,-5.541865604144676
28,1144.2,308,768,338.0,561.0,931.0,749.0,1.9828343469583487,30.047566642368828,0.0,-0.4753293689722281,0.0,-5.641891619848404
31,1244.7,308,768,338.0,561.0,932.0,748.0,1.9828343469583487,29.971303782870432,0.3851466019893972,-0.3775201253776311,7.664608994813875,7.588344228696102
33,1307.3,309,768,338.0,562.0,930.0,748.0,1.9828343469583487,30.047566642368828,0.0,-0.2374728479176646,0.0,-4.792590270790411
34,1344.2,308,768,338.0,561.0,931.0,748.0,2.059097206456747,29.971303782870432,0.1895860167401012,0.2477300424374462,-11.595475029975605,4.979498340451181
36,1442.9,308,768,338.0,561.0,932.0,748.0,1.9828343469583487,29.971303782870432,0.0,-0.243185438983007,0.0,4.708333765401881
38,1507.4,309,768,338.0,561.0,930.0,749.0,1.9828343469583487,30.047566642368828,0.4328116792561417,0.0,6.552788482303426,0.0
42,1643.4,308,768,338.0,561.0,931.0,748.0,2.059097206456747,29.971303782870432,0.0189059595166824,0.0,-15.754966263902956,0.0
