frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,126.4,13,351,365,26.768263683937715,27.835943716915285,,,,,,,,,,,,,,,,,,,,,,,51,836,556,,,,,,,,,,,,,,,
1,126.4,16,982,745,74.89012802742688,56.815830326306546,,,,,,,,,,,,,,,,,,,,,,,36,852,557,,,,,,,,,,,,,,,
2,227.6,14,372,307,28.369783733404073,23.412697866008198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,251.0,7,308,342,23.488960725506598,26.08189794845213,73.61589914411782,635.9460693634217,1604.085753935959,10433.763775851003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,267.3,8,364,774,27.75968085741689,59.027453251760086,-62.850492930065684,2.9492949756826885,3855.858461967223,-180.9383420664228,13,364,755,27.75968085741689,57.578458921290526,,,,,13,982,745,74.89012802742688,56.815830326306546,,,,,,,,,,,,,,11,1,662,0.07626285949839805,50.4860129879395,,,,
5,277.6,8,364,774,27.75968085741689,59.027453251760086,-4.904176228030948,286.2812873113066,291.9152516685092,-17040.552816149222,14,364,755,27.75968085741689,57.578458921290526,,,,,14,982,745,74.89012802742688,56.815830326306546,,,,,,,,,,,,,,11,1,662,0.07626285949839805,50.4860129879395,,,,
6,290.2,6,362,774,27.60715513842009,59.027453251760086,61.47882271592914,481.9543104984148,-2223.3243472108907,-18290.48616692277,13,364,756,27.75968085741689,57.65472178078892,,,,,14,982,745,74.89012802742688,56.815830326306546,,,,,,,,,,,,,,10,2,662,0.1525257189967961,50.4860129879395,,,,
7,299.9,8,364,774,27.75968085741689,59.027453251760086,-0.5701340319211632,0.0,-34.97754797062354,0.0,14,364,756,27.75968085741689,57.65472178078892,0.0,1.6529171394321704,0.0,-42.11253858425912,14,981,744,74.81386516792848,56.73956746680815,-1.3678501234717428,-1.3678501234717428,59.601312569574816,59.601312569574816,,,,,,,,,,10,2,662,0.1525257189967961,50.4860129879395,1.3678501234717189,0.2850670159605816,-59.601312569573764,17.48877398531177
8,311.2,8,364,774,27.75968085741689,59.027453251760086,,,,,14,364,756,27.75968085741689,57.65472178078892,0.0,1.6954594409424584,0.0,-34.18265001900119,14,982,745,74.89012802742688,56.815830326306546,0.0,0.0,0.0,0.0,,,,,,,,,,11,1,663,0.07626285949839805,50.5622758474379,0.19451030526942745,1.6954594409426162,11.577994361275458,-34.18265001900436
9,342.9,6,364,774,27.75968085741689,59.027453251760086,,,,,14,364,756,27.75968085741689,57.65472178078892,0.0,0.0,0.0,0.0,14,981,745,74.81386516792848,56.815830326306546,-0.6837210964901247,0.0,28.9712329021239,0.0,,,,,,,,,,11,1,663,0.07626285949839805,50.5622758474379,-0.6837210964901127,0.9473564681373713,28.97123290212339,-18.966095458205626
10,378.4,6,362,774,27.60715513842009,59.027453251760086,,,,,14,364,756,27.75968085741689,57.65472178078892,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,0.20963466662833066,0.5444977022838482,-19.410617280400967,-10.879074970706254,,,,,,,,,,11,1,663,0.07626285949839805,50.5622758474379,-0.20963466662832697,0.5444977022838482,19.410617280400626,-10.879074970706254
11,410.4,,,,,,,,,,14,364,756,27.75968085741689,57.65472178078892,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,0.0,0.0,0.0,0.0,,,,,,,,,,11,2,663,0.1525257189967961,50.5622758474379,0.3865088531656422,0.3780775799039581,-7.707055895625965,7.622531852902383
12,442.8,,,,,,,,,,14,364,756,27.75968085741689,57.65472178078892,0.0,0.38226978061732364,0.0,7.653048661007479,13,982,745,74.89012802742688,56.815830326306546,-0.0007649218306323383,0.0,-15.298436612644577,0.0,,,,,,,,,,11,2,663,0.1525257189967961,50.5622758474379,-0.0007649218306322839,0.38226978061732364,-15.29843661264431,7.653048661007479
13,478.5,,,,,,,,,,14,364,756,27.75968085741689,57.65472178078892,0.0,0.382651858784592,0.0,7.645391783907931,14,981,745,74.81386516792848,56.815830326306546,0.0022901805458594303,0.0,15.267870305726222,0.0,,,,,,,,,,10,2,663,0.1525257189967961,50.5622758474379,-0.0022901805458594303,0.382651858784592,-15.267870305725951,7.645391783907931
14,510.7,,,,,,,,,,14,364,756,27.75968085741689,57.65472178078892,0.0,0.3841863104086915,0.0,7.660743976245095,14,982,745,74.89012802742688,56.815830326306546,0.0,-0.3841863104086915,0.0,-7.660743976245095,,,,,,,,,,11,2,664,0.1525257189967961,50.6385387069363,-0.38418631040868473,0.3788425023100074,-7.660743976244959,-7.6072791628515555
15,542.6,,,,,,,,,,13,364,757,27.75968085741689,57.73098464028732,0.0,0.4410091990626165,0.0,-6.475906006793196,14,981,745,74.81386516792848,56.815830326306546,-0.4410091990626165,0.0,6.475906006793196,0.0,,,,,,,,,,11,1,664,0.07626285949839805,50.6385387069363,-0.4410091990626086,0.6777943784455114,6.475906006793082,-1.7307120311840818
16,578.3,6,364,775,27.75968085741689,59.103716111258485,,,,,14,364,757,27.75968085741689,57.73098464028732,0.0,0.6840541842090785,0.0,-1.6052650218941689,14,982,745,74.89012802742688,56.815830326306546,0.435012068497759,0.0,-6.5960889840448615,0.0,,,,,,,,,,11,1,664,0.07626285949839805,50.6385387069363,-0.43501206849775126,0.6840541842090785,6.596088984044746,-1.6052650218941689
17,610.3,,,,,,,,,,14,364,757,27.75968085741689,57.73098464028732,0.0,0.6842563870056954,0.0,-1.6352404301205168,14,982,744,74.89012802742688,56.73956746680815,0.0,-0.1896878898939799,0.0,11.566334749632876,,,,,,,,,,11,1,664,0.07626285949839805,50.6385387069363,-0.4369721384498299,0.2472842485558577,6.60078758987658,4.96554715975618
18,678.8,,,,,,,,,,14,364,757,27.75968085741689,57.73098464028732,0.0,0.2947295838341114,0.0,4.327894035743195,14,981,745,74.81386516792848,56.815830326306546,0.0,0.0,0.0,0.0,,,,,,,,,,11,1,665,0.07626285949839805,50.7148015664347,0.2947295838341062,0.27515746156997334,4.327894035743118,-4.181724339969199
19,710.2,,,,,,,,,,13,364,758,27.75968085741689,57.80724749978572,0.0,0.28985856471686156,0.0,-4.371924053044673,14,982,745,74.89012802742688,56.815830326306546,0.0,0.0,0.0,0.0,,,,,,,,,,11,1,665,0.07626285949839805,50.7148015664347,0.2868062957182856,0.5766648604351523,4.348844514303039,-0.023079538741556903
20,742.7,,,,,,,,,,13,364,758,27.75968085741689,57.80724749978572,0.0,0.3217091741049102,0.0,-3.841303571401912,14,982,745,74.89012802742688,56.815830326306546,0.0,0.3217091741049102,0.0,-3.841303571401912,,,,,,,,,,11,1,665,0.07626285949839805,50.7148015664347,0.20100635729497698,0.5227155313998908,3.0363498080812215,-0.8049537633206371
21,810.4,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.2904115333784345,0.0,-4.393517902850746,14,981,745,74.81386516792848,56.815830326306546,0.28778140473371727,0.0,4.373577579539774,0.0,,,,,,,,,,10,2,665,0.1525257189967961,50.7148015664347,0.29041153337842934,0.28778140473371727,-4.39351790285067,4.373577579539774
22,842.8,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,0.0,-0.2737891000857652,0.0,-4.129549020901439,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,0.2922605790848333,0.2922605790848385,-4.26657779685888,-4.2665777968589556
23,910.2,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,-0.47557212477511096,0.0,-5.6784731316431145,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,0.17052522616988217,0.1705252261698852,-3.400303612559965,-3.400303612560025
24,942.6,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,0.2487214425588548,0.0,-4.964499851474152,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,-0.4329529420371062,0.2487214425588548,-6.5499688659168855,-4.964499851474152
25,979.8,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,744,74.89012802742688,56.73956746680815,0.0,0.028174671571438215,0.0,8.537779264072293,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
26,1010.5,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,981,745,74.81386516792848,56.815830326306546,-0.1843440817952961,0.0,11.485612572915597,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
27,1042.8,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,0.0,0.0,0.0,0.0,,,,,,,,,,11,1,666,0.07626285949839805,50.7910644259331,-0.4394578815936539,0.0,6.420129753011742,0.0
28,1110.2,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,-0.4107902290541308,0.25878888643632536,-6.300463635799547,-5.000751428721262,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,-0.41079022905412355,0.0,-6.300463635799437,0.0
29,1142.9,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,-0.18662512445227683,0.0,-11.520069410634342,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,-0.4344751548015449,0.0,-6.56306880364871,0.0
30,1179.7,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,-0.4363556729714755,0.0,-6.3748089550252045,0.0,,,,,,,,,,11,1,666,0.07626285949839805,50.7910644259331,0.43635567297146777,0.0,6.374808955025093,0.0
31,1213.7,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,981,745,74.81386516792848,56.815830326306546,0.45953577971293,0.0,23.118357525018116,0.0,,,,,,,,,,11,1,666,0.07626285949839805,50.7910644259331,-0.35590585807888214,0.0,7.361031190876567,0.0
32,1242.9,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,981,745,74.81386516792848,56.815830326306546,-0.38169523085612445,0.0,7.618667282557388,0.0,,,,,,,,,,11,1,666,0.07626285949839805,50.7910644259331,-0.38169523085611773,0.0,7.618667282557253,0.0
33,1280.4,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,981,745,74.81386516792848,56.815830326306546,0.01928022667660547,0.0,15.424181341283019,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,-0.01928022667660514,0.0,-15.424181341282747,0.0
34,1310.4,,,,,,,,,,13,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,983,745,74.96639088692528,56.815830326306546,0.43079342627474304,0.0,-23.712821918775862,0.0,,,,,,,,,,11,1,666,0.07626285949839805,50.7910644259331,0.0,0.0,0.0,0.0
35,1343.1,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,981,745,74.81386516792848,56.815830326306546,0.24010303882035136,0.0,4.792475824757521,0.0,,,,,,,,,,11,1,666,0.07626285949839805,50.7910644259331,0.24010303882034714,0.0,4.792475824757436,0.0
36,1378.6,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,0.6922287691363533,0.0,-1.7185083787626654,0.0,,,,,,,,,,11,1,666,0.07626285949839805,50.7910644259331,-0.19754253813876466,0.0,11.793584366493334,0.0
37,1410.8,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,-0.4324222396316758,0.0,6.517290725420884,0.0,,,,,,,,,,11,1,666,0.07626285949839805,50.7910644259331,0.0,0.0,0.0,0.0
38,1478.3,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,0.24037805695766373,0.0,-4.788407509116804,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,-0.19551582947383872,0.0,-11.23654192378385,0.0
39,1510.3,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,983,745,74.96639088692528,56.815830326306546,-0.1797694304748136,0.0,-11.52368144069317,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,0.2506289049770869,0.0,-4.98763990004153,0.0
40,1543.5,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,0.0,0.0,0.0,0.0,,,,,,,,,,11,1,666,0.07626285949839805,50.7910644259331,0.43865439320270644,0.0,6.611219189189244,0.0
41,1578.7,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,-0.3832235446737284,0.0,-7.633935152863109,0.0,,,,,,,,,,11,1,666,0.07626285949839805,50.7910644259331,0.0045666747537953,0.0,15.222249179314407,0.0
42,1610.8,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,-0.017698762049438394,0.0,14.74896837453149,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
43,1642.9,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,0.0,0.0,0.0,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,0.3868685978859706,0.0,-7.653186901799622,0.0
44,1678.5,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,981,745,74.81386516792848,56.815830326306546,0.0,0.0,15.313765707446848,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,0.3820784544007919,0.0,-7.656882853723289,0.0
45,1713.7,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,983,745,74.96639088692528,56.815830326306546,-0.4440936307616569,0.0,-23.03652656135788,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
46,1744.0,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,0.0,0.0,0.0,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
47,1778.3,,,,,,,,,,13,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,0.3828426113096004,0.0,-7.641569088015973,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
48,1811.1,,,,,,,,,,13,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,981,745,74.81386516792848,56.815830326306546,-0.03305067533698269,0.0,31.47683365426703,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,-0.3791431772955159,0.0,-7.785280847957217,0.0
49,1842.7,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,0.0,0.0,0.0,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
50,1878.5,,,,,,,,,,13,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,0.0,0.0,0.0,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
51,1910.6,,,,,,,,,,13,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,983,745,74.96639088692528,56.815830326306546,0.6400020351919449,0.0,-17.948135955193102,0.0,,,,,,,,,,11,1,666,0.07626285949839805,50.7910644259331,-0.19945079168660637,0.0,11.397188096377505,0.0
52,1978.2,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,0.0,0.0,0.0,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
53,2010.4,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,0.0,0.0,0.0,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
54,2045.1,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,-0.6902045413199133,0.0,-1.8318874873624111,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,0.2387154048313803,0.0,-4.881705620273617,0.0
55,2079.2,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,0.0,0.0,0.0,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,-0.17864114403216358,0.0,-3.5374483966765147,0.0
56,2110.6,,,,,,,,,,13,364,758,27.75968085741689,57.80724749978572,0.0,0.0,0.0,0.0,14,982,745,74.89012802742688,56.815830326306546,0.0,0.0,0.0,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
57,2142.9,,,,,,,,,,13,364,758,27.75968085741689,57.80724749978572,0.0,-0.16257661067935503,0.0,-3.324675065017479,14,981,745,74.81386516792848,56.815830326306546,-0.3332799782200878,0.0,9.130958307399723,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,0.0,-0.16257661067935503,0.0,-3.324675065017479
58,2242.4,,,,,,,,,,13,364,758,27.75968085741689,57.80724749978572,0.0,-0.30586708354973047,0.0,-3.7483711219329647,14,982,745,74.89012802742688,56.815830326306546,0.0,0.0,0.0,0.0,,,,,,,,,,11,1,666,0.07626285949839805,50.7910644259331,0.09345938664019443,-0.30586708354973047,6.872013723543642,-3.7483711219329647
59,2278.9,,,,,,,,,,14,364,758,27.75968085741689,57.80724749978572,0.0,-0.32485546073350163,0.0,-3.86043328263222,14,982,745,74.89012802742688,56.815830326306546,0.0,0.0,0.0,0.0,,,,,,,,,,11,2,666,0.1525257189967961,50.7910644259331,0.0,-0.6497109214670033,0.0,-7.72086656526444
60,2313.7,,,,,,,,,,14,364,757,27.75968085741689,57.73098464028732,0.0,-0.4553608732925869,0.0,-0.10371208502036963,14,982,745,74.89012802742688,56.815830326306546,0.21898936392158647,0.0,-2.6641041839609043,0.0,,,,,,,,,,11,2,665,0.1525257189967961,50.7148015664347,0.0,-0.6917323826635873,0.0,-2.8715283540016436
61,2378.4,,,,,,,,,,14,364,757,27.75968085741689,57.73098464028732,0.0,-1.1497784053978957,0.0,-8.66208949348123,14,982,745,74.89012802742688,56.815830326306546,0.0,0.0,0.0,0.0,,,,,,,,,,11,2,665,0.1525257189967961,50.7148015664347,0.09573888387532038,-1.3605863097024142,-6.838491705380025,-11.76220573325356
62,2410.6,6,363,775,27.68341799791849,59.103716111258485,,,,,14,364,757,27.75968085741689,57.73098464028732,0.0,-1.520464451918579,0.0,-14.2961193549544,14,982,745,74.89012802742688,56.815830326306546,0.0,0.0,0.0,0.0,,,,,,,,,,11,2,664,0.1525257189967961,50.6385387069363,0.0,-2.2437431856614505,0.0,-16.48615339213038
