frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,140.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,1037,819,70.79953350652232,55.91592858422545,,,,,,,,,,,,,
1,140.4,7,1037,859,70.79953350652232,58.6468652672157,,,,,,,,,,,,,,,,,,,,,,,69,1034,809,70.59471325529806,55.23319441347788,,,,,,,,,,,,,
2,235.2,7,1038,860,70.86780692359709,58.71513868429046,,,,,,,,,,,,,,,,,,,,,,,70,1034,807,,,,,,,,,,,,,,,
3,257.6,8,1036,859,70.73126008944757,58.6468652672157,,,,,,,,,,,,,,,,,,,,,,,63,1037,817,70.79953350652232,55.779381750075935,,,,,,,,,,,,,
4,277.1,7,1037,858,70.79953350652232,58.578591850140945,-846.6395775882681,14.14755552079971,-12386.826299755201,214.29400577282544,,,,,,,,,,,,,,,,,,,64,1037,817,70.79953350652232,55.779381750075935,,,,,,,,,,,,,
5,286.6,16,383,868,26.14871873963168,59.261326020888504,-406.6109306459219,4.966240374301285,18031.52685791229,-220.23238910427003,,,,,,,,,,15,1024,859,69.9119790845505,58.6468652672157,,,,,,,,,,,,,,14,113,344,7.7148961294474665,23.48605547371618,,,,
6,301.9,16,383,868,26.14871873963168,59.261326020888504,-525.4443449295387,7.241958812198785,21712.576236757784,-299.25449637185045,,,,,,,,,,15,1024,859,69.9119790845505,58.6468652672157,,,,,,,,,,,,,,14,114,345,7.783169546522223,23.554328890790938,,,,
7,317.7,16,384,869,26.216992156706436,59.32959943796326,-604.4485122893989,9.552128680000902,24317.420649453215,-440.66971221611686,,,,,,,,,,15,1023,859,69.84370566747575,58.6468652672157,,,,,,,,,,,,,,14,113,345,7.7148961294474665,23.554328890790938,,,,
8,331.7,16,383,868,26.14871873963168,59.261326020888504,0.0,0.0,0.0,0.0,,,,,,,,,,15,1024,859,69.9119790845505,58.6468652672157,0.0,0.0,0.0,0.0,,,,,,,,,,14,114,345,7.783169546522223,23.554328890790938,0.7717206354974661,0.05809981643945275,-32.909195543601946,-64.5553515993897
9,350.3,16,383,868,26.14871873963168,59.261326020888504,0.0,0.0,0.0,0.0,,,,,,,,,,15,1024,859,69.9119790845505,58.6468652672157,-0.4582330922403019,0.4582330922403496,-18.93525174546701,18.93525174546898,,,,,,,,,,14,113,344,7.7148961294474665,23.48605547371618,-0.3454998801181241,-0.8037329723584736,44.012723581926835,25.077471836457853
10,367.3,16,383,868,26.14871873963168,59.261326020888504,-0.8459952018029611,-0.5133522806230664,21.390523433703198,34.80354444902152,,,,,,,,,,15,1024,859,69.9119790845505,58.6468652672157,0.845995201802873,0.0,-21.39052343370097,0.0,,,,,,,,,,14,113,345,7.7148961294474665,23.554328890790938,0.33264292117989464,0.0,13.413021015318327,0.0
11,378.6,16,383,868,26.14871873963168,59.261326020888504,0.0,0.0,0.0,0.0,,,,,,,,,,15,1024,859,69.9119790845505,58.6468652672157,-0.21833981534707395,0.0,-9.310866326101229,0.0,,,,,,,,,,14,114,344,7.783169546522223,23.48605547371618,-0.21833981534709668,-0.772305590230335,-9.310866326102198,29.14360717850324
