frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,138.6,,,,,,,,,,,,,,,,,,,24,1088,30,98.77856087411558,2.7236735535142165,,,,
1,138.6,,,,,,,,,,,,,,,,,,,42,184,1015,16.705197794887194,92.150955227231,,,,
2,245.6,,,,,,,,,,,,,,,,,,,21,173,1027,,,,,,
3,268.1,,,,,,,,,,,,,,,,,,,16,174,1030,15.797306610382456,93.51279200398811,,,,
4,289.4,,,,,,,,,,,,,,,,,,,42,539,1024,48.935334844805425,92.96805729328526,,,,
5,306.9,12,269,996,24.422272863177476,90.425961976672,,,,,11,493,972,44.759035396083625,88.24702313386062,,,,,,,,,,,,,
6,317.3,12,269,996,24.422272863177476,90.425961976672,,,,,11,493,972,44.759035396083625,88.24702313386062,,,,,,,,,,,,,
7,328.6,13,269,995,24.422272863177476,90.33517285822153,,,,,11,493,972,44.759035396083625,88.24702313386062,,,,,,,,,,,,,
8,342.3,13,269,995,24.422272863177476,90.33517285822153,0.0,-1.2353946931618445,0.0,75.09998134722463,11,493,972,44.759035396083625,88.24702313386062,0.0,0.0,0.0,0.0,,,,,,,,,
9,353.2,13,269,995,24.422272863177476,90.33517285822153,0.0,-1.5145412455285108,0.0,56.51273304210858,11,493,971,44.759035396083625,88.15623401541015,0.0,-0.8351179668717957,0.0,94.36361207590888,,,,,,,,,
10,365.5,12,269,995,24.422272863177476,90.33517285822153,0.0,0.0,0.0,0.0,11,493,972,44.759035396083625,88.24702313386062,0.0,0.0,0.0,0.0,,,,,,,,,
11,375.2,13,269,995,24.422272863177476,90.33517285822153,0.0,0.0,0.0,0.0,11,493,972,44.759035396083625,88.24702313386062,0.0,0.0,0.0,0.0,,,,,,,,,
12,406.8,13,269,995,24.422272863177476,90.33517285822153,0.31681619459279803,0.31681619459279803,11.821499798238726,11.821499798238726,11,493,972,44.759035396083625,88.24702313386062,0.0,1.1027518468506272,0.0,-22.055036937012545,,,,,,,,,
13,439.6,13,269,995,24.422272863177476,90.33517285822153,0.3900911913660688,0.3900911913660688,10.528777094900638,10.528777094900638,11,493,972,44.759035396083625,88.24702313386062,0.0,0.0,0.0,0.0,,,,,,,,,
14,474.8,13,269,995,24.422272863177476,90.33517285822153,0.0,0.45303588164665143,0.0,9.097106057161673,11,493,972,44.759035396083625,88.24702313386062,0.0,0.0,0.0,0.0,,,,,,,,,
15,506.8,13,270,996,24.51306198162795,90.425961976672,0.4532636509520381,0.4532636509520381,-9.092550671053925,-9.092550671053925,11,493,972,44.759035396083625,88.24702313386062,0.0,-0.4559955201130355,0.0,-9.11991040226071,,,,,,,,,
16,539.0,13,270,996,24.51306198162795,90.425961976672,0.06724728949266323,0.06724728949266323,-17.02463025130719,-17.02463025130719,11,493,972,44.759035396083625,88.24702313386062,0.4068927812041738,0.0,8.186977489017584,0.0,,,,,,,,,
17,574.8,13,269,996,24.422272863177476,90.425961976672,0.0,-0.0009087999844879644,0.0,-18.17599968978447,11,493,972,44.759035396083625,88.24702313386062,0.0,0.0,0.0,0.0,,,,,,,,,
18,606.5,13,270,996,24.51306198162795,90.425961976672,0.0,-0.45123006527977105,0.0,-9.051756575321386,11,493,971,44.759035396083625,88.15623401541015,0.0,-0.4566774614133644,0.0,9.106230536657321,,,,,,,,,
19,646.3,13,269,995,24.422272863177476,90.33517285822153,-0.3917241312453553,-0.3917241312453553,8.46971094584552,8.46971094584552,11,494,972,44.8498245145341,88.24702313386062,-0.1353798597583943,0.0,-18.294575643026317,0.0,,,,,,,,,
20,674.7,13,269,995,24.422272863177476,90.33517285822153,0.0,-0.45485439223685553,0.0,9.087999844892227,11,493,972,44.759035396083625,88.24702313386062,0.0,0.0,0.0,0.0,,,,,,,,,
21,706.8,13,270,995,24.51306198162795,90.33517285822153,0.0,-0.06375658014128237,0.0,16.778047405600326,11,493,971,44.759035396083625,88.15623401541015,0.0,0.40535222604372145,0.0,8.082796132477002,,,,,,,,,
