frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,142.4,,,,,,,,,,,,,,,,,,,20,20,1,1.8157823690094779,0.09078911845047388,,,,
1,142.4,,,,,,,,,,,,,,,,,,,22,15,37,1.3618367767571082,3.359197382667534,,,,
2,254.0,,,,,,,,,,,,,,,,,,,15,490,125,,,,,,
3,277.1,,,,,,,,,,,,,,,,,,,18,467,140,42.39851831637131,12.710476583066345,,,,
4,295.6,,,,,,,,,,,,,,,,,,,6,196,1025,17.794667216292883,93.05884641173573,,,,
5,312.9,10,517,155,46.937974238895,14.072313359823452,,,,,11,149,900,13.52757864912061,81.7102066054265,,,,,,,,,,,,,
6,326.8,10,517,155,46.937974238895,14.072313359823452,,,,,11,149,900,13.52757864912061,81.7102066054265,,,,,,,,,,,,,
7,336.9,10,516,155,46.84718512044453,14.072313359823452,,,,,11,149,900,13.52757864912061,81.7102066054265,,,,,,,,,,,,,
8,346.9,10,515,156,46.756396001994055,14.163102478273927,-5.230143287798548,2.6150716438993005,6.493711273003881,-3.24685563650344,11,149,900,13.52757864912061,81.7102066054265,0.0,-1.2511217052656116,0.0,-73.59539442738891,,,,,,,,,
9,356.8,11,514,156,46.66560688354358,14.163102478273927,-6.44096557703918,2.5448688074306194,175.8630845338776,-32.09567606123699,11,149,900,13.52757864912061,81.7102066054265,0.0,-0.596820422626375,0.0,-39.78802817509167,,,,,,,,,
10,366.5,11,513,156,46.57481776509311,14.163102478273927,-6.6345182656544175,2.5425980915495523,173.45145792560567,-35.44607135821857,11,149,900,13.52757864912061,81.7102066054265,0.0,-0.3310920029980886,0.0,-22.371081283654622,,,,,,,,,
11,382.4,10,513,157,46.57481776509311,14.2538915967244,-3.6896190265100537,1.8448095132550268,80.29638795451693,-40.148193977258465,11,149,899,13.52757864912061,81.61941748697602,0.0,-1.8448095132553157,0.0,40.14819397726475,,,,,,,,,
12,411.0,10,513,157,46.57481776509311,14.2538915967244,-1.088203856562348,1.088203856562348,21.65579814054424,-21.65579814054424,11,149,899,13.52757864912061,81.61941748697602,-0.3165021833312853,-1.0882038565625183,-11.679047355397985,21.655798140547628,,,,,,,,,
13,443.0,10,513,157,46.57481776509311,14.2538915967244,0.0,0.6851885225923139,0.0,-13.113655934781129,11,149,899,13.52757864912061,81.61941748697602,0.0,-0.31799047022718246,0.0,22.713605016227323,,,,,,,,,
14,474.3,11,513,157,46.57481776509311,14.2538915967244,0.0,0.0,0.0,0.0,11,149,899,13.52757864912061,81.61941748697602,0.0,0.4354469164471986,0.0,9.476537898742077,,,,,,,,,
15,511.5,11,513,157,46.57481776509311,14.2538915967244,0.0,0.0,0.0,0.0,11,148,899,13.436789530670136,81.61941748697602,0.004516871564700118,0.45507762614832953,18.06748625880068,9.056271167130935,,,,,,,,,
16,547.5,11,513,157,46.57481776509311,14.2538915967244,0.0,0.0,0.0,0.0,11,149,900,13.52757864912061,81.7102066054265,0.0,0.4130267249505765,0.0,-8.722845299906577,,,,,,,,,
17,574.2,10,513,157,46.57481776509311,14.2538915967244,0.0,0.0,0.0,0.0,11,149,900,13.52757864912061,81.7102066054265,0.0,0.001815784184792858,0.0,-18.15784184793939,,,,,,,,,
18,611.5,10,513,157,46.57481776509311,14.2538915967244,0.0,0.0,0.0,0.0,11,149,900,13.52757864912061,81.7102066054265,0.45097564122102324,-0.011958039917490376,-9.138310865674224,-18.396984488447337,,,,,,,,,
19,642.2,10,513,157,46.57481776509311,14.2538915967244,0.0,-0.4409209639056963,0.0,-9.311952775199495,11,149,900,13.52757864912061,81.7102066054265,0.0,-0.4409209639057653,0.0,-9.311952775200954,,,,,,,,,
20,674.3,11,513,157,46.57481776509311,14.2538915967244,0.0,0.0,0.0,0.0,11,149,899,13.52757864912061,81.61941748697602,0.0,0.0009069842003036992,0.0,18.139684006091453,,,,,,,,,
21,710.2,10,513,157,46.57481776509311,14.2538915967244,0.0,0.0,0.0,0.0,11,149,899,13.52757864912061,81.61941748697602,0.0,-0.009226170756492007,0.0,18.452341512986308,,,,,,,,,
22,742.3,10,513,156,46.57481776509311,14.163102478273927,0.0,0.0027264054117352686,0.0,18.176036078245097,11,149,899,13.52757864912061,81.61941748697602,0.0,0.002726405411735757,0.0,18.17603607824794,,,,,,,,,
23,774.3,10,513,157,46.57481776509311,14.2538915967244,0.4566820309820113,0.0,9.133640619640225,0.0,11,149,900,13.52757864912061,81.7102066054265,0.0,-0.0036461493353608285,0.0,-18.230746676804745,,,,,,,,,
24,809.9,11,513,157,46.57481776509311,14.2538915967244,0.4485406104133438,0.0,8.997805625142309,0.0,11,149,900,13.52757864912061,81.7102066054265,0.0,0.45758354043988847,0.0,-9.088054427803145,,,,,,,,,
25,842.1,10,513,157,46.57481776509311,14.2538915967244,0.9069823845202454,0.9088018057316772,18.17599968978446,-0.018212424538857113,11,149,900,13.52757864912061,81.7102066054265,0.0,0.4553106134716257,0.0,-9.106212269432513,,,,,,,,,
26,873.9,10,514,157,46.66560688354358,14.2538915967244,0.9083676341889064,0.0,-0.06364858737325764,0.0,11,149,899,13.52757864912061,81.61941748697602,0.0,-0.006361676307958234,0.0,18.176218022736528,,,,,,,,,
27,910.6,10,514,157,46.66560688354358,14.2538915967244,1.3648577101840504,0.0,9.201143724822066,0.0,11,149,900,13.52757864912061,81.7102066054265,0.0,0.0,0.0,0.0,,,,,,,,,
28,942.1,10,515,158,46.756396001994055,14.344680715174874,1.3618367767571018,-1.1926223897340568e-15,-9.078911845047337,-18.15782369009471,11,149,900,13.52757864912061,81.7102066054265,0.0,0.0,0.0,0.0,,,,,,,,,
29,974.2,10,515,157,46.756396001994055,14.2538915967244,0.8759130994891443,0.0,-0.5835006588832127,0.0,11,149,900,13.52757864912061,81.7102066054265,0.0,0.06062571845797527,0.0,-16.84047734943775,,,,,,,,,
30,1010.2,10,516,157,46.84718512044453,14.2538915967244,0.9312365689525525,0.0,-17.908395556779855,0.0,11,149,900,13.52757864912061,81.7102066054265,0.0,0.0,0.0,0.0,,,,,,,,,
31,1042.1,11,516,157,46.84718512044453,14.2538915967244,0.4539455922523681,-0.4539455922523681,-9.07891184504736,9.07891184504736,11,149,900,13.52757864912061,81.7102066054265,0.0,0.0,0.0,0.0,,,,,,,,,
32,1081.7,10,516,157,46.84718512044453,14.2538915967244,0.39060434682180434,0.0,-8.445499390741714,0.0,11,149,899,13.52757864912061,81.61941748697602,0.0,-0.3906043468218654,0.0,8.445499390743036,,,,,,,,,
33,1114.2,10,516,157,46.84718512044453,14.2538915967244,-0.4932943548375748,0.0,-9.486429900722591,0.0,11,149,900,13.52757864912061,81.7102066054265,0.0,0.0,0.0,0.0,,,,,,,,,
34,1142.1,10,516,157,46.84718512044453,14.2538915967244,-0.9092546117951202,0.9092546117951202,-18.185092235902403,18.185092235902403,11,149,900,13.52757864912061,81.7102066054265,0.0,0.0,0.0,0.0,,,,,,,,,
35,1174.2,10,516,157,46.84718512044453,14.2538915967244,-0.8738461389319477,0.8738461389319477,-18.89397057150157,18.89397057150157,11,149,899,13.52757864912061,81.61941748697602,0.0,0.4369230694660422,0.0,9.446985285752264,,,,,,,,,
36,1210.0,10,515,157,46.756396001994055,14.2538915967244,-1.3746444166360932,1.7822142336934401,-8.913362621167156,37.20697773890273,11,149,900,13.52757864912061,81.7102066054265,0.0,0.0,0.0,0.0,,,,,,,,,
37,1242.0,10,514,159,46.66560688354358,14.435469833625348,-1.3603380006553336,2.6973273851083843,9.154393760222458,17.61216048308184,11,149,900,13.52757864912061,81.7102066054265,0.0,0.0,0.0,0.0,,,,,,,,,
38,1274.1,10,514,159,46.66560688354358,14.435469833625348,-1.3627473925257767,3.1749018247340404,9.10615768674021,27.173210325437292,11,149,900,13.52757864912061,81.7102066054265,-0.4530386080520615,0.0018157841847963798,-9.069842003044286,-18.157841847939377,,,,,,,,,
39,1309.8,10,513,161,46.57481776509311,14.617048070526296,-0.45939659272813643,3.179460356453606,27.25500237884164,-9.206053435091771,11,149,900,13.52757864912061,81.7102066054265,-0.45213343419946306,-0.45213343419953383,-9.060790264518301,-9.06079026451972,,,,,,,,,
