frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,135.7,21,569,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,135.7,21,613,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,249,24,653,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,270.4,,,,,,,,,,16,130,396,8.615887341,26.24531836,,,,,14,705,255,46.72461981,16.9003944,,,,,9,558,386,36.98203951,25.5825578,,,,,,,,,,,,,
4,301.1,,,,,,,,,,16,130,396,8.615887341,26.24531836,,,,,13,734,296,48.64662545,19.61771271,,,,,,,,,,,,,,,,,,,,,,
5,310.7,,,,,,,,,,16,129,396,8.549611284,26.24531836,,,,,10,749,325,49.6407663,21.53971835,,,,,10,558,386,36.98203951,25.5825578,,,,,,,,,,,,,
6,310.7,,,,,,,,,,16,129,396,8.549611284,26.24531836,-0.902394073,0,36.83241115,0,,,,,,,,,,8,555,382,36.78321134,25.31745357,,,,,,,,,,,,,
7,320.2,,,,,,,,,,16,130,396,8.615887341,26.24531836,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,341.6,,,,,,,,,,16,130,396,8.615887341,26.24531836,1.265863405,0,-56.89273731,0,11,740,472,49.04428179,31.28229865,-74.25952024,245.8968862,-3557.010646,-4491.713572,,,,,,,,,,,,,,,,,,
9,359.7,,,,,,,,,,16,129,396,8.549611284,26.24531836,0,0,0,0,13,709,519,46.98972404,34.39727331,,,,,,,,,,,,,,,,,,,,,,
10,369.3,,,,,,,,,,16,130,396,8.615887341,26.24531836,0,0,0,0,14,677,547,44.86889023,36.25300289,,,,,,,,,,,,,,,,,,,,,,
11,386.1,,,,,,,,,,16,130,396,8.615887341,26.24531836,0,0,0,0,14,637,570,42.21784797,37.77735219,-133.729086,103.0211494,884.2211722,-1929.667857,,,,,,,,,,,,,,,,,,
