frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,144.2,16,706,275,,,,,,,,,,,,,,,,,,,,,,,,,68,832,493,,,,,,,,,,,,,,,
1,144.2,15,721,298,,,,,,,,,,,,,,,,,,,,,,,,,28,432,597,,,,,,,,,,,,,,,
2,239.7,16,729,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,292.6,,,,,,,,,,16,129,396,8.549611284,26.24531836,,,,,10,743,416,49.24310996,27.57083949,,,,,,,,,,,,,,,,,,,,,,
6,306.7,,,,,,,,,,16,129,396,8.549611284,26.24531836,,,,,14,737,435,48.84545362,28.83008456,,,,,9,556,389,36.8494874,25.78138597,,,,,,,,,,,,,
7,323.3,,,,,,,,,,16,130,397,8.615887341,26.31159442,,,,,15,727,461,48.18269305,30.55326203,,,,,10,557,387,36.91576345,25.64883385,,,,,,,,,,,,,
8,339,,,,,,,,,,16,130,396,8.615887341,26.24531836,-0.297575685,0,-74.39392114,0,15,716,484,47.45365643,32.07761133,-74.12666449,104.423238,-1532.795507,314.4195913,,,,,,,,,,,,,,,,,,
9,351.9,,,,,,,,,,16,129,396,8.549611284,26.24531836,0,0,0,0,15,697,511,46.19441136,33.86706486,-60.18256062,84.19419649,-67.75146952,-1205.461088,,,,,,,,,,,,,,,,,,
10,360.1,,,,,,,,,,16,129,397,8.549611284,26.31159442,-1.278709847,-0.213313364,28.38423633,-11.59311761,15,678,531,44.93516629,35.19258598,-68.20292996,93.5626432,1089.406522,-1766.627309,,,,,,,,,,,,,,,,,,
11,377.4,,,,,,,,,,16,129,396,8.549611284,26.24531836,-1.247411487,0,24.92330643,0,15,656,548,43.47709304,36.31927894,-74.11040529,79.28362222,1533.642341,-1623.774578,,,,,,,,,,,,,,,,,,
12,409.5,,,,,,,,,,16,129,396,8.549611284,26.24531836,0,0.242227211,0,8.410667065,15,643,554,42.61550431,36.71693528,-34.33823042,28.48725643,965.1240457,-728.8076641,,,,,,,,,,,,,,,,,,
13,450.2,,,,,,,,,,16,129,396,8.549611284,26.24531836,0,-0.04086574,0,15.42103381,15,652,550,43.21198882,36.45183106,-4.099417477,3.138488801,333.5349312,-240.5681274,11,557,387,36.91576345,25.64883385,,,,,,,,,,,,,
14,477.5,,,,,,,,,,16,129,396,8.549611284,26.24531836,-0.332043706,0.332043706,-6.634239887,6.634239887,15,660,545,43.74219727,36.12045078,6.967615743,-5.64076644,86.29813943,-73.01640443,9,556,391,36.8494874,25.91393808,,,,,,,,,,,,,
15,509.5,,,,,,,,,,15,129,397,8.549611284,26.31159442,-0.331380282,0.331380282,-6.627605647,-6.627605647,15,664,542,44.0073015,35.92162261,13.91797186,-9.94140847,6.94E-13,-39.76563388,11,557,387,36.91576345,25.64883385,,,,,,,,,,,,,
16,545.6,,,,,,,,,,16,129,397,8.549611284,26.31159442,0,0.029295319,0,-13.95015207,15,669,538,44.33868178,35.65651838,13.51982207,-11.42007523,35.84115993,-64.64285851,10,557,387,36.91576345,25.64883385,0,-0.325545041,0,-6.824843628,,,,,,,,,
17,577.4,,,,,,,,,,16,128,397,8.483335228,26.31159442,-0.001986299,0.001986299,13.24199578,-13.24199578,15,677,531,44.86889023,35.19258598,11.59157259,-10.59494465,6.273569216,-26.16634249,8,558,383,36.98203951,25.38372963,,,,,,,,,,,,,
