frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,139.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,427,817,,,,,,,,,,,,,,,
1,139.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,428,296,,,,,,,,,,,,,,,
2,255.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,439,294,,,,,,,,,,,,,,,
3,278.0,12,456,492,28.565888229257098,30.821089931566867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,457,293,28.628532720987923,18.3548360771323,,,,
4,292.8,13,456,492,28.565888229257098,30.821089931566867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,470,294,29.442911113488673,18.417480568863127,,,,
5,309.6,13,456,492,28.565888229257098,30.821089931566867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,486,296,30.445222981181907,18.54276955232478,,,,
6,321.8,13,456,492,28.565888229257098,30.821089931566867,-1.2393083729947223,1.2393083729947223,-56.58942342441652,56.58942342441652,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,502,299,31.447534848875137,18.730703027517265,89.36764538675602,25.795939829107883,1141.8660370433274,786.0503472925517
7,331.1,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,518,303,32.449846716568366,18.98128099444057,92.71996715157407,32.68015498635302,742.0312890886082,937.8337985805022
8,341.4,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,534,309,33.4521585842616,19.357147944825535,84.07636901433213,31.20536073600808,-659.2046762864201,351.94825937325027
9,351.8,13,455,493,28.50324373752627,30.883734423297696,-1.1418583084874183,1.1418583084874183,63.08609439157008,-63.08609439157008,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,553,317,34.64240392714731,19.85830387867215,85.08898958872653,33.537905570995726,-1427.1097569119572,-269.91929783336127
10,360.7,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,567,325,35.51942681137889,20.359459812518764,84.5479363268888,40.03306320648445,-1294.1955339997749,-441.01567559864856
11,382.2,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,580,334,36.33380520387964,20.92326023809621,56.53422814326991,33.06100829715687,-690.9002683734927,-260.98514363066295
12,418.0,13,456,492,28.565888229257098,30.821089931566867,0.5695957349906344,-0.5695957349906344,-11.38053416564704,11.38053416564704,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,593,343,37.14818359638039,21.48706066367365,30.50665533676643,23.528808716206417,-221.9033624826086,-32.47033524184478
13,450.3,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,605,354,37.89991749715031,22.176150072712748,22.028289224346338,21.992238194657418,-101.33230311054778,38.31868872750964
14,482.7,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,615,366,38.52636241445858,22.927883973482672,18.79535711029488,22.648872210524857,-60.122040740437996,53.77845533947873
15,518.1,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,624,378,39.09016284003603,23.679617874252592,16.611799870182363,24.480927276581603,-55.716127359230754,51.49368310148899
16,549.9,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,632,392,39.59131877388264,24.55664075848417,14.405925034438493,25.28961882363738,-51.72721877515182,27.893773701807
17,581.7,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,640,406,40.09247470772926,25.43366364271575,12.588184880058622,26.569346327751475,-65.27537805221361,25.4230419782307
18,617.7,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,646,421,40.46834165811422,26.373331018678154,10.687932123523522,27.95884645766059,-63.237040244360365,18.344051458330018
19,650.8,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,651,435,40.78156411676836,27.25035390290973,8.712567967532328,28.50341604628845,-61.12425926064931,35.80884716342721
20,682.9,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,655,451,41.03214208369166,28.252665770602963,6.190563344115293,28.71524843033574,-61.15983016801036,16.98609048390896
21,717.5,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,658,467,41.22007555888415,29.254977638296193,4.085706381077907,29.12866879842974,-69.07209287078223,5.099282024017768
