frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,136.1,8,445,489,,,,,,,,,,,,,,,,,,,,,,,,,24,665,643,,,,,,,,,,,,,,,
1,136.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,637,678,,,,,,,,,,,,,,,
2,227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,603,707,,,,,,,,,,,,,,,
5,281.3,13,458,489,28.691177212718753,30.633156456374387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,453,752,28.377954754064618,47.10865778158188,,,,
6,292.5,13,458,489,28.691177212718753,30.633156456374387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,407,747,25.496308134446576,46.795435322927744,,,,
7,303.4,13,458,489,28.691177212718753,30.633156456374387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,362,734,22.677306006559363,45.981056930426995,,,,
8,315.5,13,458,489,28.691177212718753,30.633156456374387,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,315,710,19.733014895210495,44.477589128887146,-195.12782293539766,-84.99985655193478,3371.239551423561,-471.8143041986124
9,325.2,13,458,489,28.691177212718753,30.633156456374387,0.0,0.1898634634262034,0.0,11.612444246250979,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,280,681,17.54045768463155,42.66089886869317,-190.91850725407278,-114.62334227855015,3203.649641550655,722.634947911213
10,346.2,13,458,489,28.691177212718753,30.633156456374387,0.0,0.18680396588566464,0.0,8.72915728437685,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,250,646,15.661122932706743,40.46834165811422,-123.4925628671746,-114.0023454389637,1889.577018885431,691.561367286582
11,379.9,13,458,489,28.691177212718753,30.633156456374387,0.0,0.25224797385080244,0.0,7.8337880077889,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,226,607,14.157655131166894,38.02520648061197,-57.85563423240467,-94.33534554310658,891.8718989799501,181.89228583923975
12,414.0,13,458,490,28.691177212718753,30.695800948105212,0.0,0.37382818631429676,0.0,-7.469094631654279,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,211,564,13.21798775520449,35.33149333618641,-25.49995355912247,-83.45372283499498,521.9934596869635,-20.61649197528615
13,446.5,13,458,490,28.691177212718753,30.695800948105212,0.0,0.6261396702587614,0.0,0.03127550471779826,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,204,519,12.7794763130887,32.512491208299195,-6.46338298194916,-81.40754447637946,444.0058302716061,-41.61518657702575
